Time (s),Evaporation rate (atoms/s),Evaporation rate lb (atoms/s),Evaporation rate ub (atoms/s),DiMES temperature (K),Pebble rod temperature (K)
1.9730601999981443,1331657112619935.5,344315561578294.0,6014228052309084.0,650.2689270019531,1586.5903789009744
1.9740552000002936,1331657112619935.5,344315561578294.0,6014228052309084.0,650.2689270019531,1586.5903789009744
1.9750512000027811,1329028381475404.2,343584137970612.94,6004462077450748.0,650.1435607910156,1586.5364739544057
1.97604620000493,1341584834296834.5,347079935810817.56,6051068892756898.0,650.7278198242186,1586.7941865153412
1.9770411999998032,1357785337772524.2,351596979028708.3,6111065933227754.0,651.4343017578125,1587.127427269489
1.9780372000022908,1363744153548131.8,353260020058010.56,6133101417465441.0,651.6829284667969,1587.2501708112045
1.97903220000444,1364747977213304.5,353540252218466.75,6136811975427851.0,651.7242797851562,1587.270856286382
1.9800281999996512,1353883193305391.5,350508371092506.25,6096627025717865.0,651.268408203125,1587.0470952735368
1.9810232000018004,1358770141374330.2,351871772490954.25,6114708812293895.0,651.4757751464844,1587.147707068165
1.9820182000039497,1350991527194362.0,349701900544221.9,6085922320821742.0,651.1438049316406,1586.9875911785898
1.983014199999161,1346243464255460.2,348378153824675.7,6068336001591786.0,650.9359497070313,1586.8899367210297
1.98400920000131,1350991527194362.0,349701900544221.9,6085922320821742.0,651.1438049316406,1586.9875911785898
1.9850052000037977,1343437405238320.2,347596117460395.44,6057936888289585.0,650.8111022949219,1586.8322549320844
1.9860001999986707,1342508845945054.8,347337380738586.4,6054494710146913.0,650.7694458007813,1586.813172646226
1.98699520000082,1359757905875149.8,352147414238293.25,6118362194404274.0,651.5172180175781,1587.1680502023078
1.9879912000033073,1356804953047491.2,351323440724561.5,6107438949627430.0,651.3928588867186,1587.1072408388445
1.9889861999981804,1346243464255460.2,348378153824675.7,6068336001591786.0,650.9359497070313,1586.8899367210297
1.989982200000668,1358770141374330.2,351871772490954.25,6114708812293895.0,651.4757751464844,1587.147707068165
1.990977200002817,1363744153548131.8,353260020058010.56,6133101417465441.0,651.6829284667969,1587.2501708112045
1.991972200004966,1368801606548275.0,354672094581486.25,6151791579831498.0,651.8897766113281,1587.3544105556548
1.9929682000001776,1377065731791563.2,356980575413730.1,6182310085009122.0,652.2201904296875,1587.5248570358144
1.9939632000023264,1372906502046060.2,355818584642708.4,6166953816606030.0,652.055029296875,1587.4390565985964
1.9949592000048144,1363744153548131.8,353260020058010.56,6133101417465441.0,651.6829284667969,1587.2501708112045
1.9959541999996873,1373941791207797.0,356107790063869.8,6170776816285760.0,652.0963500976562,1587.460410378619
1.9969502000021748,1378113541448954.0,357273358474734.25,6186177676711877.0,652.2614501953125,1587.5464773909302
1.997945200004324,1377065731791563.2,356980575413730.1,6182310085009122.0,652.2201904296875,1587.5248570358144
1.998940199999197,1365756906770612.0,353821931039619.3,6140540972791831.0,651.7656921386719,1587.2916492302265
1.9999362000016845,1372906502046060.2,355818584642708.4,6166953816606030.0,652.055029296875,1587.4390565985964
2.0009312000038335,1388762895844991.8,360250111268294.06,6225463747328001.0,652.6733154296875,1587.7663246955171
2.001927199999045,1408706638080957.0,365829546720974.94,6298940676684160.0,653.4119934082031,1588.1785197202266
2.002922200001194,1431967986698473.5,372343559667192.75,6384505836298402.0,654.2286743164062,1588.6599122852663
2.003917200003343,1455066985657267.5,378817746628563.75,6469354762209431.0,655.0005859375,1589.1384697910437
2.0049131999985548,1485529084484749.8,387362676599215.8,6581100066562925.0,655.9701904296875,1589.7701865837273
2.0059082000007042,1405316657912342.8,364880779303093.5,6286459399407034.0,653.28916015625,1588.1084171675716
2.0069042000031914,1392019541116400.0,361160790102714.94,6237470118541992.0,652.7966979980469,1587.8335930104554
2.0078991999980644,1457552020242919.5,379514544443261.06,6478476739558430.0,655.0816101074219,1589.1899800680249
2.008894200000214,1453828237395012.5,378470424577446.4,6464807179890154.0,654.96005859375,1589.1127945344865
2.009890200002701,1396403236442630.8,362386888311970.0,6253626357982139.0,652.9610046386719,1587.9241670105494
2.01088520000485,1374980614072894.8,356398002749336.0,6174612452204844.0,652.1376708984375,1587.481839144187
2.0118812000000617,1369823433303399.8,354957458294158.2,6155566525453413.0,651.9311279296875,1587.3754781745808
2.012876200002211,1413269137424436.0,367106704916865.8,6315734088793648.0,653.5756896972656,1588.2728919626438
2.0138712000043597,1384465457477999.0,359048645334504.06,6209614943146514.0,652.5087036132813,1587.6775842141565
2.0148671999995713,1384465457477999.0,359048645334504.06,6209614943146514.0,652.5087036132813,1587.6775842141565
2.0158622000017203,1390931162049439.0,360856420668715.0,6233457936495537.0,652.7555908203125,1587.8111099200808
