x (cm),x error (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV),J_sat (A/cm^2),J_sat error (A/cm^2),V_sat (eV),V_sat error (eV),synthetic
-1.9538100000000007,0.3039710164841995,84335866979.83191,30229453388.03464,6.749342519972229,1.352073994085636,-0.010920828046716,0.1191080226561162,-11.29036697054606,3.675189548158759,False
-1.8008100000000007,0.2894048910314135,75809514139.68837,10057819605.569696,5.990781271466693,0.7431045143273156,-0.0092889397423029,0.0354923052568661,-14.068403410755954,1.345147719755209,False
-1.6707600000000005,0.2790929475481092,80727339822.79877,18337421427.488773,6.44387015393104,0.9652006175005684,-0.0102309363391591,0.0693713164016699,-12.064890665662336,2.190456764108948,False
-1.5407100000000007,0.312593694543971,76677745862.81738,15953314799.144615,5.67567862106895,0.9005715084710824,-0.0091644335399519,0.0529346183260715,-12.673023638446058,1.8224889317964903,False
-1.3877100000000007,0.2768558629150268,90737998817.79443,51747327526.15967,5.577933500536712,1.6631812798698835,-0.0107587326119367,0.1560346827474618,-9.47214191010925,4.411555985996411,False
-1.2515400000000003,0.273504429176138,85168667941.33922,52768865116.44956,5.057431358115898,1.746198695269201,-0.0096563023064812,0.1448353135518295,-9.865243814279218,4.333046312981917,False
-1.1184299999999996,0.2932234348354296,91409815170.98112,65838895792.21371,5.213519491178805,1.972806428598588,-0.0105084492843562,0.1756074467450136,-8.26320250218418,4.931865307767855,False
-0.9746100000000002,0.2822393273228286,79642596051.10204,49860747013.68339,6.5011580356926455,2.0975376648957784,-0.0101350126153526,0.1652561857566903,-7.331420855423445,5.583956803152673,False
-0.8384400000000003,0.2922314585550192,81699578048.21326,55845849867.37682,5.95655423289332,2.06719424807729,-0.0099842204212086,0.1579438596069998,-5.939336918371738,5.673500117215347,False
-0.69156,0.2936140212151997,63508768002.098434,32901735867.185425,4.626590355859839,1.533284572099201,-0.0069157922918015,0.0792146390002487,-9.228715471668076,3.783120734312776,False
-0.5492700000000008,0.2544768921360456,61847042947.34655,24177335909.32449,4.701994534757705,1.3922463516226695,-0.0067841873188075,0.0612130932634259,-10.497568496650407,2.8077170577744326,False
-0.4100400000000004,0.2806181123758189,79749283222.16127,62895916967.03445,5.743229036385963,1.9095941204557032,-0.0095835269236043,0.1815844706164045,-7.256806379497702,5.569569342654302,False
-0.2677500000000004,0.2729170617815077,81066108086.75096,68201211781.45267,7.120510760310576,2.4956956987717627,-0.0107628009621606,0.2270062888026073,-4.196314176123812,7.621481284817935,False
-0.14993999999999996,0.2818873978383426,88366946377.28983,70165625427.87965,5.1940877097608515,1.8522717719826227,-0.0101413522818348,0.1548775588784605,-4.058120400215847,5.136532183687923,False
0.0,0.313317803952068,97368853931.10793,80989572926.41893,2.4911482555476727,1.4345327576506608,-0.0080990293536493,0.0990355048475653,-7.872413654584595,2.5779286288038232,False
0.12087000000000003,0.216777134581741,83852775142.7953,62926859591.23089,3.991423696000366,2.606496824910984,-0.0085467971878989,0.08781797853183,-2.886607180150263,5.3946221329127795,False
0.25703999999999994,0.3177475190089531,71472712757.02902,52504729528.83392,5.603589838327492,2.51463156673095,-0.0084923303915937,0.1036659963580272,-0.4989690058912936,5.828933578465168,False
