x (cm),x error (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV),J_sat (A/cm^2),J_sat error (A/cm^2),V_sc (eV),V_sc error (eV),synthetic
-2.02266,0.4457100380990425,104777999756.05388,56863599211.560005,1.3290026890535882,0.9030301692732924,-0.0068398340518019,0.0662775770689803,-16.13363025297706,0.9083434166891866,True
-1.8589499999999992,0.2807740941854291,154347552984.33655,159271280709.00644,6.21989199200956,2.97113506112495,-0.019312975278906,0.4976882354293623,-6.909980800783285,8.217010844506637,True
-1.7013600000000002,0.1680235800932512,174913212376.30267,194470053506.22464,4.291085309001138,2.356951146074655,-0.0184802506564245,0.4595254807526993,-10.060071061971682,5.625867638819503,True
-1.5804900000000002,0.3757152312700542,201855793444.778,185540836967.4289,5.346890359393777,2.566444963779011,-0.0235598208215997,0.5288676116092937,-9.116593375961788,6.265046601348958,True
-1.4504400000000004,0.4805438669469947,156999455370.12738,143529365077.0914,3.6854331733803063,1.8883843260555349,-0.0155037458888692,0.3490520751417407,-14.367085386477392,4.253650767527404,True
-1.2882600000000002,0.2576983355315661,226643435399.88605,226457533789.3005,5.991894394199569,2.6281117525066,-0.0278738627522806,0.7575953988341418,-9.805877804420003,7.013183087875669,True
-1.1520900000000003,0.1778217117218473,247599386241.61688,228587804199.29205,5.580066019155451,2.3507758392913756,-0.029469447991531,0.7023444064559147,-9.66356706568105,6.090720530909314,True
-1.0174499999999993,0.3756993309682529,144613793915.65262,86185701001.68748,4.09254954597509,2.03105285394651,-0.0149590817193286,0.231491410485967,-15.748044539579633,3.462349671245546,True
-0.8445599999999995,0.3082254736367356,246045740184.46835,94574550970.1996,5.7214353013742745,1.4416241790260331,-0.0296230270147031,0.4247404641099923,-22.016652657476115,2.757977705908786,False
-0.7022699999999995,0.2158135910809326,256157240720.41895,116257878675.99104,4.703472167245832,1.4204863386682325,-0.0282047038530001,0.4577627783341553,-23.4412159411222,2.7129919126581115,False
-0.5722199999999997,0.2598803229185384,281055216190.623,149573401580.0125,5.801652297410483,1.7913372319913297,-0.0340554919173741,0.6735895513739322,-21.20341374738854,3.83547392049843,False
-0.41768999999999945,0.3959542160677581,302257920142.8236,178430519624.91708,4.941849745320798,1.6878919468004927,-0.034034490408695,0.7203989965820368,-22.373013592453372,3.49759594867157,False
-0.2769300000000001,0.3575038468752472,271228760977.0909,93919186280.2296,3.956433850202635,1.377536813292418,-0.0276374367601972,0.3080858635377992,-24.256708316404104,1.851569741864182,False
-0.1376999999999997,0.2530777587177798,347413580655.5154,259900530440.2156,6.554934207708138,2.098690895731133,-0.0445411642700819,1.2097069084412115,-17.393583869107434,5.609518571468767,False
0.0,0.3171673520928098,370231994512.153,410906823060.9715,6.888046135221419,2.783767858555084,-0.0485743542374059,1.9043026973497912,-15.184789951025762,7.954696345384093,False
0.15453000000000028,0.4243733302492571,363668660263.993,372149504311.3698,4.444548080450676,2.239476692932061,-0.0390334976341299,1.2428960710935566,-18.588155236894448,5.505975696136371,False
0.32894999999999985,0.3636341913642956,358121770980.42163,370329071230.7178,4.874587503585603,1.9093937247555992,-0.0400748201629839,1.1990474483197815,-14.746146285211408,5.144889229167605,False
0.45594,0.2173583956621621,324905246466.3972,334936604812.4553,6.541181795822148,3.394292270475953,-0.0416147981645107,1.286379267376979,-11.23370721356688,8.455278475000553,False
0.58446,0.2736693411475754,255248788708.38687,284358301063.4018,5.622553658627262,2.651090958028127,-0.0304858479636866,0.9762478007335784,-12.439920040056087,7.259860113931496,False
