,Photon Energy (eV),Reflectivity
76,1.533102551275638,34.63449966993806
77,1.5531170585292648,34.47772182730709
78,1.5731315657828915,34.22078148910521
79,1.5931460730365183,33.96384115090332
80,1.6131605802901452,33.712488277472076
81,1.633175087543772,33.5519052142738
82,1.653189594797399,33.39132215107554
83,1.6732041020510255,33.22734437546642
84,1.6932186093046524,33.010334619768905
85,1.7132331165582793,32.79332486407138
86,1.7332476238119061,32.577109239551284
87,1.753262131065533,32.424286138959886
88,1.7732766383191598,32.271463038368495
89,1.7932911455727865,32.118639937777104
90,1.8133056528264133,31.974465646941113
91,1.8333201600800402,31.845336755436538
92,1.853334667333667,31.716207863931963
93,1.8733491745872939,31.58707897242739
94,1.8933636818409205,31.461504631767934
95,1.9133781890945474,31.362473946562318
96,1.9333926963481742,31.263443261356706
97,1.953407203601801,31.164412576151086
98,1.973421710855428,31.060718973772598
99,1.9934362181090546,30.951782870006433
100,2.0134507253626817,30.842846766240264
101,2.0334652326163085,30.73391066247409
102,2.053479739869935,30.624974558707923
103,2.073494247123562,30.53273795397699
104,2.0935087543771886,30.45288007003502
105,2.1135232616308155,30.37302218609305
106,2.1335377688844424,30.293164302151077
107,2.153552276138069,30.213306418209108
108,2.173566783391696,30.132723775805427
109,2.193581290645323,30.043607634745207
110,2.21359579789895,29.954491493684987
111,2.2336103051525766,29.865375352624763
112,2.2536248124062035,29.776259211564543
113,2.27363931965983,29.694752864136984
114,2.2936538269134568,29.638466163819615
115,2.3136683341670836,29.582179463502243
116,2.3336828414207105,29.52589276318487
117,2.3536973486743373,29.4696060628675
118,2.373711855927964,29.413319362550126
119,2.393726363181591,29.359923300425724
120,2.413740870435218,29.324857066798707
121,2.4337553776888448,29.289790833171686
122,2.4537698849424716,29.254724599544673
123,2.473784392196098,29.219658365917653
124,2.493798899449725,29.176546630458084
125,2.5138134067033517,29.107925462731366
126,2.5338279139569786,29.039304295004648
127,2.5538424212106055,28.970683127277923
128,2.5738569284642323,28.902061959551204
129,2.593871435717859,28.860557253456662
130,2.613885942971486,28.870918505170952
131,2.633900450225113,28.881279756885245
