# T_fit 3346 -/+ 25 K
# I_fit 5.012E-04 -/+ 1.705E-05 
Wavelength (nm),Radiance (W/cm^2/ster/nm),Radiance error (W/cm^2/ster/nm)
268.0,4.645586800507865e-07,4.3627356758102354e-08
269.0,4.840134687461968e-07,4.523788131703353e-08
270.0,5.040950589020974e-07,4.6891008983847656e-08
271.0,5.248164774343132e-07,4.85872952040012e-08
272.0,5.461908051324577e-07,5.0327287442096664e-08
273.0,5.682311714894616e-07,5.2111524836819064e-08
274.0,5.909507494846498e-07,5.3940537861939325e-08
275.0,6.143627503247768e-07,5.5814848002492135e-08
276.0,6.384804181474714e-07,5.7734967422739976e-08
277.0,6.633170246915034e-07,5.970139865322489e-08
278.0,6.888858639382363e-07,6.171463428766769e-08
279.0,7.152002467286784e-07,6.377515666529209e-08
280.0,7.422734953604545e-07,6.588343759434059e-08
281.0,7.701189381689982e-07,6.803993805740175e-08
282.0,7.987499040972359e-07,7.024510793023217e-08
283.0,8.281797172580011e-07,7.249938572471898e-08
284.0,8.584216914933534e-07,7.480319831078126e-08
285.0,8.89489124934892e-07,7.71569606848957e-08
286.0,9.213952945692109e-07,7.956107570330591e-08
287.0,9.541534508124268e-07,8.201593387020073e-08
288.0,9.877768120977684e-07,8.45219130920814e-08
289.0,1.022278559480119e-06,8.707937848171705e-08
290.0,1.0576718312613042e-06,8.968868212508713e-08
291.0,1.0939697176398684e-06,9.2350162908342e-08
292.0,1.1311852553890067e-06,9.506414631627025e-08
293.0,1.1693314225662763e-06,9.783094425257523e-08
294.0,1.2084211332585302e-06,1.0065085487589618e-07
295.0,1.248467232365541e-06,1.0352416243240669e-07
296.0,1.2894824904256829e-06,1.0645113711139743e-07
297.0,1.331479598486841e-06,1.0943203489328145e-07
298.0,1.3744711630258223e-06,1.1246709743909386e-07
299.0,1.418469700919254e-06,1.1555655193165329e-07
300.0,1.4634876344690217e-06,1.1870061100372892e-07
301.0,1.5095372864850948e-06,1.2189947260555464e-07
302.0,1.5566308754285878e-06,1.251533199168412e-07
303.0,1.6047805106176904e-06,1.2846232127576097e-07
304.0,1.653998187499179e-06,1.3182663008070947e-07
305.0,1.7042957829879575e-06,1.3524638473384307e-07
306.0,1.7556850508770143e-06,1.3872170859646444e-07
307.0,1.808177617320237e-06,1.422527099190589e-07
308.0,1.8617849763901784e-06,1.458394818112858e-07
309.0,1.916518485713008e-06,1.49482102222274e-07
310.0,1.9723893621825946e-06,1.531806339030265e-07
311.0,2.0294086777557355e-06,1.569351243913229e-07
312.0,2.0875873553302985e-06,1.6074560603444346e-07
313.0,2.1469361647080683e-06,1.6461209596887503e-07
314.0,2.2074657186439195e-06,1.6853459613445175e-07
