#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Displacement: 10 in
#	Is baseline?: False
#	Ku: 5
#	Load cell error %: 9.8 %
#	Load cell range: 32 kg
#	Temperature stabilization time: 60 s
#	Ramping rate: 60 C/min
#	Sample name: XTBC007
#	Extruder speed: 0.508
#	Start position: 16 in
#	Setpoint temperature: 350 C
#	Tu: 32
#Data:
Time (s),Position (cm),Position (in),Force (N),Force error (N),Temperature (C)
17.761,49.49,19.5,2.39,0.234,350.92
18.102,49.66,19.6,3.42,0.335,351.58
18.445,49.84,19.6,3.3,0.323,351.58
18.78,50.01,19.7,3.05,0.299,350.75
19.121,50.18,19.8,4.12,0.404,350.0
19.465,50.35,19.8,3.96,0.388,350.5
19.803,50.53,19.9,3.93,0.385,351.17
20.143,50.7,20.0,5.07,0.497,350.92
20.478,50.87,20.0,4.95,0.486,350.0
20.816,51.04,20.1,4.94,0.485,349.58
21.168,51.21,20.2,5.72,0.561,350.25
21.499,51.39,20.2,5.34,0.524,350.92
21.841,51.56,20.3,5.34,0.524,350.25
22.181,51.73,20.4,6.24,0.612,349.42
22.513,51.91,20.4,5.88,0.576,349.5
22.854,52.08,20.5,5.84,0.573,350.17
23.196,52.25,20.6,6.73,0.66,350.17
23.535,52.42,20.6,6.69,0.656,349.25
23.872,52.6,20.7,6.71,0.658,348.67
24.215,52.77,20.8,7.42,0.728,349.25
24.558,52.94,20.8,7.48,0.733,349.92
24.891,53.12,20.9,7.67,0.751,349.67
25.231,53.28,21.0,8.56,0.839,348.83
25.574,53.46,21.0,8.62,0.845,348.5
25.915,53.63,21.1,8.78,0.86,349.17
26.251,53.8,21.2,10.19,0.999,349.75
26.591,53.98,21.3,9.99,0.979,349.08
26.931,54.15,21.3,10.04,0.984,348.25
27.273,54.32,21.4,10.9,1.069,348.33
27.661,54.49,21.5,11.08,1.086,349.0
27.946,54.69,21.5,11.05,1.083,349.0
28.287,54.84,21.6,12.18,1.194,348.0
28.629,55.01,21.7,12.43,1.218,347.58
28.97,55.18,21.7,12.64,1.239,348.25
29.311,55.36,21.8,13.42,1.315,349.08
29.642,55.53,21.9,13.74,1.347,348.58
29.995,55.7,21.9,13.67,1.34,347.67
30.324,55.88,22.0,14.72,1.443,347.67
30.666,56.04,22.1,15.52,1.521,348.42
31.008,56.22,22.1,15.53,1.522,348.83
31.34,56.39,22.2,16.87,1.654,347.83
31.683,56.56,22.3,16.96,1.662,347.08
32.02,56.74,22.3,16.68,1.634,347.33
32.361,56.91,22.4,17.51,1.716,348.0
32.703,57.08,22.5,18.06,1.77,347.92
33.044,57.25,22.5,17.7,1.735,347.08
33.385,57.43,22.6,18.49,1.812,346.67
33.716,57.6,22.7,19.01,1.863,347.25
34.056,57.77,22.7,18.83,1.845,347.92
34.396,57.94,22.8,19.59,1.92,347.5
34.74,58.11,22.9,20.21,1.981,346.75
35.08,58.29,22.9,20.08,1.968,346.67
35.412,58.46,23.0,20.74,2.033,347.25
35.752,58.63,23.1,21.3,2.088,347.75
36.094,58.8,23.2,21.49,2.106,347.08
36.435,58.98,23.2,22.34,2.189,346.42
36.776,59.15,23.3,23.01,2.255,346.5
37.117,59.32,23.4,22.62,2.216,347.08
37.458,59.5,23.4,24.08,2.359,347.42
37.789,59.67,23.5,25.03,2.452,346.67
38.132,59.84,23.6,24.94,2.444,345.92
38.471,60.01,23.6,25.79,2.528,346.17
38.813,60.18,23.7,26.41,2.588,346.83
39.156,60.36,23.8,26.17,2.565,346.83
39.489,60.53,23.8,27.06,2.652,346.17
39.827,60.7,23.9,27.66,2.711,345.92
40.168,60.87,24.0,27.56,2.7,346.5
40.508,61.05,24.0,28.15,2.759,347.0
40.849,61.22,24.1,28.99,2.841,346.5
41.19,61.39,24.2,28.92,2.834,345.83
41.53,61.56,24.2,29.32,2.873,345.92
41.862,61.74,24.3,29.88,2.928,346.5
42.203,61.91,24.4,29.91,2.931,346.75
42.546,62.08,24.4,30.32,2.972,346.08
42.886,62.25,24.5,30.94,3.032,345.5
43.227,62.43,24.6,30.69,3.008,345.75
43.568,62.6,24.6,31.26,3.064,346.25
43.898,62.77,24.7,31.72,3.109,346.17
44.238,62.94,24.8,31.6,3.097,345.5
44.579,63.11,24.8,32.17,3.153,345.42
44.92,63.29,24.9,33.04,3.238,346.0
45.26,63.46,25.0,33.08,3.242,346.5
45.602,63.63,25.1,33.11,3.244,346.0
45.943,63.81,25.1,33.87,3.319,345.25
46.284,63.98,25.2,33.38,3.271,345.42
46.707,64.15,25.3,33.82,3.315,346.0
46.963,64.37,25.3,34.8,3.411,346.33
47.297,64.5,25.4,34.82,3.412,345.67
47.637,64.67,25.5,35.25,3.455,345.0
47.979,64.84,25.5,36.02,3.53,345.33
48.322,65.01,25.6,36.14,3.541,345.92
48.667,65.19,25.7,36.09,3.537,345.92
48.991,65.36,25.7,37.12,3.638,345.25
49.332,65.53,25.8,35.74,3.503,345.08
49.676,65.7,25.9,31.24,3.061,345.75
50.013,65.88,25.9,31.45,3.082,346.5
