#DataThief G:\Shared drives\ARPA-E Project\Literature\Film Thickness\Smausz2017.png Thursday 30-May-2024 1:51:57 PM
# Smausz, T., Kondász, B., Gera, T. et al. Determination of UV–visible–NIR absorption coefficient of graphite bulk using direct and indirect methods. Appl. Phys. A 123, 633 (2017). https://doi.org/10.1007/s00339-017-1249-y
Wavelength (nm),alpha (1/um)
470.2779, 6.1459
471.4123, 6.1459
472.5468, 6.1459
473.6812, 6.1072
474.8157, 6.1072
475.9501, 6.1072
477.0845, 6.0685
478.2189, 6.0685
479.3534, 6.0685
480.4878, 6.0298
481.6221, 6.0298
482.7567, 6.0297
483.8911, 5.991
485.0255, 5.991
486.16, 5.991
487.2944, 5.9524
488.4288, 5.9524
489.5632, 5.9523
490.6977, 5.9523
491.8321, 5.9137
492.9665, 5.9136
494.101, 5.9136
495.2354, 5.8749
496.3698, 5.8749
497.5043, 5.8749
498.6387, 5.8362
499.7731, 5.8362
500.9075, 5.8362
502.042, 5.8362
503.1764, 5.7974
504.3108, 5.7974
505.4453, 5.7974
506.5796, 5.7588
507.7141, 5.7588
508.8486, 5.7588
509.983, 5.7588
511.1174, 5.7201
512.2518, 5.7201
513.3862, 5.7201
514.5207, 5.7201
515.6551, 5.6814
516.7896, 5.6814
517.924, 5.6814
519.0584, 5.6814
520.1929, 5.6427
521.3273, 5.6427
522.4617, 5.6427
523.596, 5.6427
524.7306, 5.604
525.865, 5.604
526.9994, 5.604
528.1339, 5.6038
529.2683, 5.5653
530.4027, 5.5653
531.5372, 5.5652
532.6716, 5.5652
533.806, 5.5265
534.9404, 5.5265
536.0749, 5.5265
537.2093, 5.5265
538.3437, 5.5265
539.4782, 5.5265
540.6126, 5.4878
541.7469, 5.4878
542.8815, 5.4878
544.0159, 5.4878
545.1503, 5.4491
546.2847, 5.4491
547.4192, 5.4491
548.5535, 5.4491
549.688, 5.4491
550.8225, 5.4104
551.9569, 5.4104
553.0913, 5.4104
554.2258, 5.4102
555.3602, 5.4102
556.4946, 5.3717
557.629, 5.3716
558.7635, 5.3716
559.8979, 5.3716
561.0323, 5.3329
562.1668, 5.3329
563.3012, 5.3329
564.4356, 5.3329
565.5701, 5.3329
566.7045, 5.3329
567.8389, 5.2942
568.9733, 5.2942
570.1078, 5.2942
571.2422, 5.2942
572.3766, 5.2942
573.511, 5.2941
574.6455, 5.2555
575.7799, 5.2555
576.9144, 5.2554
578.0488, 5.2554
579.1832, 5.2554
580.3176, 5.2554
581.4521, 5.2167
582.5865, 5.2167
583.7208, 5.2167
584.8554, 5.2167
585.9898, 5.2167
587.1242, 5.2167
588.2587, 5.178
589.3931, 5.178
590.5274, 5.178
591.6619, 5.178
592.7964, 5.178
593.9308, 5.1779
595.0652, 5.1779
596.1997, 5.1392
597.3341, 5.1392
598.4685, 5.1392
599.6029, 5.1392
600.7374, 5.1392
601.8718, 5.1005
603.0062, 5.1005
604.1407, 5.1005
605.2751, 5.1005
606.4095, 5.1005
607.544, 5.1005
608.6784, 5.1005
609.8128, 5.1004
610.9472, 5.0618
612.0817, 5.0618
613.2161, 5.0617
614.3505, 5.0617
615.4849, 5.0617
616.6194, 5.0617
617.7538, 5.023
618.8883, 5.023
620.0227, 5.023
621.1571, 5.023
622.2915, 5.023
623.426, 5.023
624.5604, 5.023
625.6947, 4.9843
626.8293, 4.9843
627.9637, 4.9843
629.0981, 4.9843
630.2326, 4.9842
631.367, 4.9842
632.5013, 4.9842
633.6358, 4.9842
634.7703, 4.9455
635.9047, 4.9455
637.0391, 4.9455
638.1736, 4.9455
639.308, 4.9455
640.4424, 4.9455
641.5769, 4.9455
642.7113, 4.9454
643.8457, 4.9068
644.9801, 4.9068
646.1146, 4.9066
647.249, 4.9066
648.3834, 4.9066
649.5179, 4.9066
650.6522, 4.9066
651.7867, 4.8679
652.9212, 4.8679
654.0556, 4.8679
655.19, 4.8679
656.3244, 4.8679
657.4588, 4.8679
658.5933, 4.8679
659.7277, 4.8679
660.8622, 4.8293
661.9966, 4.8293
663.131, 4.8292
664.2655, 4.8292
665.3999, 4.8292
666.5343, 4.8292
667.6686, 4.8292
668.8032, 4.8292
669.9376, 4.8292
671.072, 4.7905
672.2065, 4.7905
673.3409, 4.7905
674.4753, 4.7905
675.6098, 4.7905
676.7442, 4.7904
677.8786, 4.7904
679.013, 4.7904
680.1475, 4.7517
681.2819, 4.7517
682.4163, 4.7517
683.5508, 4.7517
684.6852, 4.7517
685.8195, 4.7517
686.9541, 4.7517
688.0885, 4.7517
689.2229, 4.7517
690.3573, 4.713
691.4918, 4.713
692.6261, 4.7128
693.7606, 4.7128
694.8951, 4.7128
696.0295, 4.7128
697.1639, 4.7128
698.2984, 4.7128
699.4328, 4.7128
700.5672, 4.6742
701.7016, 4.6742
702.8361, 4.6742
703.9705, 4.6742
705.1049, 4.6742
706.2394, 4.6741
707.3738, 4.6741
708.5082, 4.6741
709.6427, 4.6741
710.7771, 4.6741
711.9115, 4.6354
713.0459, 4.6354
714.1804, 4.6354
715.3148, 4.6354
716.4492, 4.6354
717.5836, 4.6354
718.7181, 4.6354
719.8525, 4.6353
720.987, 4.5967
722.1214, 4.5967
723.2558, 4.5966
724.3902, 4.5966
725.5247, 4.5966
726.6591, 4.5966
727.7934, 4.5966
728.928, 4.5966
