element	sp_num	obs_wl_vac(nm)	unc_obs_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref
C	1	"501.340"	"0.003"	"4800*"	""		"7.94613476"	"10.41919132"	"2s.2p3"	"3D*"	"1"	"2s2.2p.(2P*<3/2>).4f"	"2[3/2]"	"2"		""	"L17684"
C	1	"501.340"	"0.003"	"4800*"	"8.2e+04"	C	"7.94613476"	"10.41917726"	"2s.2p3"	"3D*"	"1"	"2s2.2p.(2P*<3/2>).4f"	"2[3/2]"	"1"		"T6070"	"L17684"
C	1	"501.368"	"0.003"	"4800*"	"4.4e+04"	C	"7.94627046"	"10.41919132"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<3/2>).4f"	"2[3/2]"	"2"		"T6070"	"L17684"
C	1	"501.368"	"0.003"	"4800*"	""		"7.94627046"	"10.41917726"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<3/2>).4f"	"2[3/2]"	"1"		""	"L17684"
N	2	"501.779"	"0.010"	"360"	"1.59e+07"	A	"20.653592"	"23.124489"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.3d"	"3F*"	"2"		"T7333"	"L3513"
C	1	"501.849"	"0.003"	"9300*"	""		"7.945771557"	"10.41633791"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).4f"	"2[5/2]"	"2"		""	"L17684"
C	1	"501.849"	"0.003"	"9300*"	"1.3e+05"	C	"7.945771557"	"10.416318591"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).4f"	"2[5/2]"	"3"		"T6070"	"L17684"
C	1	"501.9160"	"0.0014"	"3200"	"3.1e+04"	C	"7.94613476"	"10.41633791"	"2s.2p3"	"3D*"	"1"	"2s2.2p.(2P*<3/2>).4f"	"2[5/2]"	"2"		"T6070"	"L17684"
C	1	"501.947"	"0.003"	"4800*"	"7.7e+04"	C	"7.94627046"	"10.41633791"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<3/2>).4f"	"2[5/2]"	"2"		"T6070"	"L17684"
C	1	"501.947"	"0.003"	"4800*"	""		"7.94627046"	"10.416318591"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<3/2>).4f"	"2[5/2]"	"3"		""	"L17684"
C	1	"502.525"	"0.003"	"37000*"	"1.8e+05"	C	"7.945771557"	"10.41299796"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).4f"	"2[7/2]"	"4"		"T6070"	"L17684"
C	1	"502.525"	"0.003"	"37000*"	""		"7.945771557"	"10.41296443"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<3/2>).4f"	"2[7/2]"	"3"		""	"L17684"
C	1	"502.6317"	"0.0014"	"9400"	"7.1e+04"	C	"7.94627046"	"10.41296443"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<3/2>).4f"	"2[7/2]"	"3"		"T6070"	"L17684"
N	2	"502.706"	"0.010"	"360"	"1.04e+07"	A	"20.665518"	"23.131853"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.3d"	"3F*"	"3"		"T7333"	"L3513"
C	2	"503.347"	"0.003"	"68hql"	"3.15e+07"	B	"20.922118"	"23.385281"	"2p3"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2D"	"5/2"		"T5109LS"	"L1176"
C	2	"503.731"	"0.003"	"21hql"	"2.62e+07"	B	"20.919793"	"23.381096"	"2p3"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2D"	"3/2"		"T5109LS"	"L1176"
C	1	"504.048"	"0.003"	"37000*"	"4.7e+05"	C	"7.945771557"	"10.405550385"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<1/2>).4f"	"2[7/2]"	"4"		"T6070"	"L17684"
C	1	"504.048"	"0.003"	"37000*"	""		"7.945771557"	"10.40552565"	"2s.2p3"	"3D*"	"3"	"2s2.2p.(2P*<1/2>).4f"	"2[7/2]"	"3"		""	"L17684"
C	1	"504.1539"	"0.0014"	"12000"	"1.9e+05"	C	"7.94627046"	"10.40552565"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<1/2>).4f"	"2[7/2]"	"3"		"T6070"	"L17684"
C	2	"504.215"	"0.004"	"11hql"	"5.22e+06"	B	"20.922118"	"23.381096"	"2p3"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2D"	"3/2"		"T5109LS"	"L1176"
C	1	"504.2887"	"0.0014"	"25000"	"5.3e+05"	C	"7.94613476"	"10.40472588"	"2s.2p3"	"3D*"	"1"	"2s2.2p.(2P*<1/2>).4f"	"2[5/2]"	"2"		"T6070"	"L17684"
C	2	"504.317"	"0.004"	"11bl(C I)"	"3.4e+06"	C	"24.371800"	"26.830251"	"2s.2p.(3P*).3d"	"4D*"	"5/2"	"2s.2p.(3P*).4p"	"4P"	"5/2"		"T10528"	"L1176"
C	1	"504.321"	"0.003"	"25000*"	"5.7e+04"	C	"7.94627046"	"10.40472588"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<1/2>).4f"	"2[5/2]"	"2"		"T6070"	"L17684"
C	1	"504.321"	"0.003"	"25000*"	"3.3e+05"	C	"7.94627046"	"10.404712177"	"2s.2p3"	"3D*"	"2"	"2s2.2p.(2P*<1/2>).4f"	"2[5/2]"	"3"		"T6070"	"L17684"
O	2	"504.3382"	"0.0010"	"2"	"5.98e+04"	C	"26.2254001"	"28.6837551"	"2s2.2p2.(3P).3p"	"2D*"	"3/2"	"2s2.2p2.(3P).3d"	"4F"	"5/2"		"T6172"	"L10621"
C	2	"504.5757"	"0.0010"	"29"	"1.50e+07"	C+	"24.373054"	"26.830251"	"2s.2p.(3P*).3d"	"4D*"	"7/2"	"2s.2p.(3P*).4p"	"4P"	"5/2"		"T10528"	"L1176"
C	2	"504.6387"	"0.0020"	"9"	"6.0e+06"	C	"24.370757"	"26.827651"	"2s.2p.(3P*).3d"	"4D*"	"3/2"	"2s.2p.(3P*).4p"	"4P"	"3/2"		"T10528"	"L1176"
N	2	"504.651"	"0.010"	"550"	"3.37e+07"	B	"18.483133"	"20.939965"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.3p"	"3S"	"1"		"T7333"	"L3513"
C	1	"504.660"	"0.016"	"2500d,bl"	""		"8.643023685"	"11.099755"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.(2P*<3/2>).9d"	"2[3/2]*"	"1"		""	"L2138"
C	2	"504.8517"	"0.0010"	"18"	"1.17e+07"	C	"24.371800"	"26.827651"	"2s.2p.(3P*).3d"	"4D*"	"5/2"	"2s.2p.(3P*).4p"	"4P"	"3/2"		"T10528"	"L1176"
C	2	"505.0648"	"0.0020"	"11"	"9.5e+06"	C	"24.370757"	"26.825558"	"2s.2p.(3P*).3d"	"4D*"	"3/2"	"2s.2p.(3P*).4p"	"4P"	"1/2"		"T10528"	"L1176"
C	1	"505.355783"	"0.000015"	"160000"	"2.6e+06"	B	"7.68476777"	"10.13817190"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.4p"	"1D"	"2"		"T6070"	"L12175c183"
C	1	"505.4924"	"0.0014"	"2700"	"7.7e+05"	C	"8.53709962"	"10.989834"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.(2P*<3/2>).7d"	"2[3/2]*"	"1"		"T5520"	"L17684"
C	1	"505.590"	"0.016"	"1600bl(Fe)"	""		"8.647160399"	"11.09949"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.(2P*<3/2>).9d"	"2[3/2]*"	"2"		""	"L2138"
C	1	"505.9092"	"0.0014"	"970"	""		"8.647160399"	"11.097883"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.(2P*<3/2>).9d"	"2[5/2]*"	"2"		""	"L17684"
C	1	"506.008"	"0.016"	"830d,bl,i"	""		"8.647160399"	"[11.097328]"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.(2P*<3/2>).9d"	"2[7/2]*"	"4"		""	"L2138c153"
C	1	"506.1067"	"0.0014"	"1100"	""		"8.53709962"	"10.986862"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.(2P*<3/2>).8s"	"2[3/2]*"	"1"		""	"L17684"
C	1	"506.5559"	"0.0014"	"970"	""		"8.643023685"	"11.090616"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.(2P*<1/2>).10s"	"2[1/2]*"	"1"		""	"L17684"
O	2	"507.2214"	"0.0010"	"3"	"7.38e+04"	C	"26.2490334"	"28.6934114"	"2s2.2p2.(3P).3p"	"2D*"	"5/2"	"2s2.2p2.(3P).3d"	"4F"	"7/2"		"T6172"	"L10621"
C	1	"507.8007"	"0.0014"	"2600"	""		"8.53709962"	"10.9786886"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.(2P*<1/2>).8s"	"2[1/2]*"	"1"		""	"L17684"
C	1	"509.1051"	"0.0014"	"1100"	""		"8.53709962"	"10.972432"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.(2P*<1/2>).7d"	"2[5/2]*"	"2"		""	"L17684"
O	2	"509.2339"	"0.0010"	"2"	""		"26.2490334"	"28.6837551"	"2s2.2p2.(3P).3p"	"2D*"	"5/2"	"2s2.2p2.(3P).3d"	"4F"	"5/2"		""	"L10621"
C	2	"510.933"	"0.009"	"8h,bl"	"2.16e+07"	B	"25.067108"	"27.493785"	"2s.2p.(3P*).3d"	"2P*"	"3/2"	"2s.2p.(3P*).4f"	"2D"	"3/2"		"T2440"	"L1176"
O	2	"511.1724"	"0.0010"	"6"	"7.22e+05"	D	"28.941697"	"31.367183"	"2s2.2p2.(3P).3d"	"2P"	"3/2"	"2s2.2p2.(1S).3p"	"2P*"	"3/2"		"T5723LS"	"L10621"
C	2	"511.512"	"0.005"	"17h*"	"1.07e+08"	B	"25.067108"	"27.490999"	"2s.2p.(3P*).3d"	"2P*"	"3/2"	"2s.2p.(3P*).4f"	"2D"	"5/2"		"T10528"	"L1176"
C	2	"511.512"	"0.005"	"17h*"	"2.3e+06"	C	"25.067108"	"27.490983"	"2s.2p.(3P*).3d"	"2P*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"3/2"		"T10528"	"L1176"
C	2	"511.569"	"0.003"	"31h"	"1.16e+08"	B	"25.070170"	"27.493785"	"2s.2p.(3P*).3d"	"2P*"	"1/2"	"2s.2p.(3P*).4f"	"2D"	"3/2"		"T10528"	"L1176"
C	2	"511.818"	"0.004"	"10h"	""		"25.070170"	"27.492608"	"2s.2p.(3P*).3d"	"2P*"	"1/2"	"2s.2p.(3P*).4f"	"4D"	"1/2"		""	"L1176"
C	2	"512.088"	"0.003"	"31h"	"4.56e+07"	C+	"25.067108"	"27.488250"	"2s.2p.(3P*).3d"	"2P*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"5/2"		"T10528"	"L1176"
C	2	"512.153"	"0.005"	"13ql*"	"8.03e+05"	B	"20.149652"	"22.570504"	"2s2.4p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"		"T5109LS"	"L1176"
C	2	"512.153"	"0.005"	"13ql*"	"1.14e+07"	C	"25.070170"	"27.490983"	"2s.2p.(3P*).3d"	"2P*"	"1/2"	"2s.2p.(3P*).4f"	"4D"	"3/2"		"T10528"	"L1176"
C	2	"512.3247"	"0.0010"	"24"	"4.03e+06"	B	"20.150477"	"22.570504"	"2s2.4p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"		"T5109LS"	"L1176"
C	2	"512.358"	"0.004"	"10Hql*"	"1.22e+07"	B	"20.844740"	"23.264628"	"2s2.4d"	"2D"	"3/2"	"2s2.7f"	"2F*"	"5/2"		"T7476"	"L1176"
C	2	"512.358"	"0.004"	"10Hql*"	"1.30e+07"	B	"20.844765"	"23.264631"	"2s2.4d"	"2D"	"5/2"	"2s2.7f"	"2F*"	"7/2"		"T7476"	"L1176"
C	2	"512.358"	"0.004"	"10Hql*"	"8.2e+05"	C	"20.844765"	"23.264628"	"2s2.4d"	"2D"	"5/2"	"2s2.7f"	"2F*"	"5/2"		"T10276"	"L1176"
C	2	"512.6628"	"0.0010"	"17"	"3.21e+06"	B	"20.149652"	"22.568086"	"2s2.4p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"		"T5109LS"	"L1176"
B	2	"512.722"	"0.010"	"28*"	""		"21.582342"	"24.00050"	"1s2.2s.4d"	"3D"	"1"	"1s2.2s.7f"	"3F*"	"2,3,4"		""	"L12120"
B	2	"512.722"	"0.010"	"28*"	""		"21.582342"	"24.00050"	"1s2.2s.4d"	"3D"	"2"	"1s2.2s.7f"	"3F*"	"2,3,4"		""	"L12120"
B	2	"512.722"	"0.010"	"28*"	""		"21.582342"	"24.00050"	"1s2.2s.4d"	"3D"	"3"	"1s2.2s.7f"	"3F*"	"2,3,4"		""	"L12120"
C	2	"512.8359"	"0.0020"	"10"	"1.60e+06"	B	"20.150477"	"22.568086"	"2s2.4p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"		"T5109LS"	"L1176"
C	2	"513.4370"	"0.0010"	"130w*"	"3.70e+07"	B+	"20.701289"	"23.116074"	"2s.2p.(3P*).3s"	"4P*"	"1/2"	"2s.2p.(3P*).3p"	"4P"	"3/2"		"T2440"	"L1176"
C	2	"513.4710"	"0.0010"	"130w*"	"2.70e+07"	B+	"20.704213"	"23.118841"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	"2s.2p.(3P*).3p"	"4P"	"5/2"		"T2440"	"L1176"
C	2	"513.8691"	"0.0010"	"36"	"1.55e+07"	B	"20.701289"	"23.114048"	"2s.2p.(3P*).3s"	"4P*"	"1/2"	"2s.2p.(3P*).3p"	"4P"	"1/2"		"T5109LS"	"L1176"
C	2	"514.0602"	"0.0010"	"60"	"1.24e+07"	B	"20.704213"	"23.116074"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	"2s.2p.(3P*).3p"	"4P"	"3/2"		"T5109LS"	"L1176"
C	2	"514.4923"	"0.0010"	"130w,bl(Fe III)"	"7.55e+07"	B+	"20.704213"	"23.114048"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	"2s.2p.(3P*).3p"	"4P"	"1/2"		"T2440"	"L1176"
C	2	"514.6593"	"0.0010"	"290"	"6.35e+07"	B+	"20.709791"	"23.118841"	"2s.2p.(3P*).3s"	"4P*"	"5/2"	"2s.2p.(3P*).3p"	"4P"	"5/2"		"T2440"	"L1176"
C	2	"515.2525"	"0.0010"	"170"	"4.18e+07"	B+	"20.709791"	"23.116074"	"2s.2p.(3P*).3s"	"4P*"	"5/2"	"2s.2p.(3P*).3p"	"4P"	"3/2"		"T2440"	"L1176"
C	1	"515.5007"	"0.0014"	"3200"	""		"8.647160399"	"11.052284"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.(2P*<3/2>).8d"	"2[5/2]*"	"2"		""	"L17684"
C	1	"515.6728"	"0.0014"	"1500"	""		"8.64039604"	"11.044716"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.(2P*<1/2>).9s"	"2[1/2]*"	"0"		""	"L17684"
C	1	"515.674"	"0.016"	"1800w,bl,i"	""		"8.647160399"	"[11.051527]"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.(2P*<3/2>).8d"	"2[7/2]*"	"4"		""	"L2138c153"
B	3	"515.929"	"0.010"	"100*"	""		"33.02832"	"[35.43149]"	"1s2.5d"	"2D"	"3/2"	"1s2.7f"	"2F*"	"5/2"		""	"L12547"
B	3	"515.929"	"0.010"	"100*"	""		"33.02840"	"[35.43149]"	"1s2.5d"	"2D"	"5/2"	"1s2.7f"	"2F*"	"7/2"		""	"L12547"
C	1	"516.1357"	"0.0014"	"1500"	""		"8.643023685"	"11.045181"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.(2P*<1/2>).9s"	"2[1/2]*"	"1"		""	"L17684"
O	2	"516.1379"	"0.0010"	"15"	"3.12e+07"	B	"26.5536859"	"28.955839"	"2s2.2p2.(3P).3p"	"2P*"	"1/2"	"2s2.2p2.(3P).3d"	"2P"	"1/2"		"T6172,T6632"	"L10621"
B	3	"516.740"	"0.010"	"160*"	""		"33.03217"	"[35.43164]"	"1s2.5f"	"2F*"	"5/2"	"1s2.7g"	"2G"	"7/2,9/2"		""	"L12547"
B	3	"516.740"	"0.010"	"160*"	""		"33.03220"	"[35.43164]"	"1s2.5f"	"2F*"	"7/2"	"1s2.7g"	"2G"	"7/2,9/2"		""	"L12547"
O	2	"517.7338"	"0.0010"	"12"	"1.46e+07"	B	"26.5610940"	"28.955839"	"2s2.2p2.(3P).3p"	"2P*"	"3/2"	"2s2.2p2.(3P).3d"	"2P"	"1/2"		"T6172,T6632"	"L10621"
O	2	"519.1941"	"0.0010"	"14"	"1.18e+07"	B	"26.5536859"	"28.941697"	"2s2.2p2.(3P).3p"	"2P*"	"1/2"	"2s2.2p2.(3P).3d"	"2P"	"3/2"		"T6172,T6632"	"L10621"
O	2	"520.8100"	"0.0010"	"20"	"3.33e+07"	B	"26.5610940"	"28.941697"	"2s2.2p2.(3P).3p"	"2P*"	"3/2"	"2s2.2p2.(3P).3d"	"2P"	"3/2"		"T6172,T6632"	"L10621"
B	3	"522.832"	"0.010"	"20*"	""		"33.02832"	"[35.39988]"	"1s2.5d"	"2D"	"3/2"	"1s2.7p"	"2P*"	"3/2"		""	"L12547"
B	3	"522.832"	"0.010"	"20*"	""		"33.02832"	"[35.39988]"	"1s2.5d"	"2D"	"3/2"	"1s2.7p"	"2P*"	"1/2"		""	"L12547"
B	3	"522.832"	"0.010"	"20*"	""		"33.02840"	"[35.39988]"	"1s2.5d"	"2D"	"5/2"	"1s2.7p"	"2P*"	"3/2"		""	"L12547"
C	2	"525.0971"	"0.0020"	"8"	"2.76e+06"	B	"24.274339"	"26.635493"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).4p"	"4D"	"7/2"		"T5109LS"	"L1176"
C	2	"525.503"	"0.003"	"14bl(C III)"	"4.70e+06"	B	"24.271876"	"26.631221"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).4p"	"4D"	"5/2"		"T5109LS"	"L1176"
C	2	"525.7553"	"0.0020"	"8"	"5.40e+06"	B	"24.270232"	"26.628437"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).4p"	"4D"	"3/2"		"T5109LS"	"L1176"
C	2	"525.8703"	"0.0010"	"30"	"2.40e+07"	B	"24.277795"	"26.635493"	"2s.2p.(3P*).3d"	"4F*"	"9/2"	"2s.2p.(3P*).4p"	"4D"	"7/2"		"T5109LS"	"L1176"
C	2	"526.0524"	"0.0010"	"29"	"2.06e+07"	B+	"24.274339"	"26.631221"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).4p"	"4D"	"5/2"		"T2440"	"L1176"
C	2	"526.117"	"0.005"	"29*"	"2.48e+07"	B	"24.270232"	"26.626817"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).4p"	"4D"	"1/2"		"T2440"	"L1176"
C	2	"526.117"	"0.005"	"29*"	"2.01e+07"	B	"24.271876"	"26.628437"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).4p"	"4D"	"3/2"		"T2440"	"L1176"
B	2	"526.458"	"0.010"	"9*"	""		"21.685249"	"24.04031"	"1s2.2s.4f"	"3F*"	"2"	"1s2.2s.7g"	"3G"	"3,4,5"		""	"L12120"
B	2	"526.458"	"0.010"	"9*"	""		"21.685249"	"24.04031"	"1s2.2s.4f"	"3F*"	"3"	"1s2.2s.7g"	"3G"	"3,4,5"		""	"L12120"
B	2	"526.458"	"0.010"	"9*"	""		"21.685249"	"24.04031"	"1s2.2s.4f"	"3F*"	"4"	"1s2.2s.7g"	"3G"	"3,4,5"		""	"L12120"
C	1	"527.0422"	"0.0014"	"7200"	"1.3e+06"	C	"8.53709962"	"10.889554"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.6d"	"1P*"	"1"		"T5520"	"L17684"
C	1	"528.1707"	"0.0014"	"4500"	""		"8.53709962"	"10.884529"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.7s"	"1P*"	"1"		""	"L17684"
N	1	"528.267"	"0.010"	"185"	"2.45e+05"	C	"10.9239080"	"13.2709052"	"2s.2p4"	"4P"	"5/2"	"2s2.2p2.(3P).4p"	"4P*"	"5/2"		"T5475"	"L3513"
C	2	"528.794"	"0.004"	"6h"	"8.1e+06"	C	"26.635493"	"28.980146"	"2s.2p.(3P*).4p"	"4D"	"7/2"	"2s.2p.(3P*).6s"	"4P*"	"5/2"		"T10528"	"L1176"
C	1	"528.9787"	"0.0014"	"1000"	""		"8.643023685"	"10.986862"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.(2P*<3/2>).8s"	"2[3/2]*"	"1"		""	"L17684"
C	2	"529.156"	"0.010"	"5h*"	"5.3e+06"	C	"26.628437"	"28.97150"	"2s.2p.(3P*).4p"	"4D"	"3/2"	"2s.2p.(3P*).6s"	"4P*"	"1/2"		"T10528"	"L1176"
C	2	"529.156"	"0.010"	"5h*"	"6.6e+06"	C	"26.631221"	"28.97428"	"2s.2p.(3P*).4p"	"4D"	"5/2"	"2s.2p.(3P*).6s"	"4P*"	"3/2"		"T10528"	"L1176"
C	1	"529.2696"	"0.0014"	"1600"	""		"8.643023685"	"10.985590"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.(2P*<3/2>).7d"	"2[5/2]*"	"2"		""	"L17684"
B	3	"529.29"	"0.05"	"bl*"	""		"32.94528"	"[35.28713]"	"1s2.5p"	"2P*"	"1/2"	"1s2.7s"	"2S"	"1/2"		""	"L2393"
B	3	"529.29"	"0.05"	"bl*"	""		"32.94555"	"[35.28713]"	"1s2.5p"	"2P*"	"3/2"	"1s2.7s"	"2S"	"1/2"		""	"L2393"
N	1	"529.415"	"0.010"	"140"	""		""	""	""	""	""	""	""	""		""	"L3513"
C	1	"529.8404"	"0.0014"	"1000"	"1.1e+05"	D	"8.643023685"	"10.983051"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.(2P*<3/2>).8s"	"2[3/2]*"	"2"		"T5520LS"	"L17684"
C	1	"530.1593"	"0.0014"	"1800"	""		"8.53709962"	"10.8757182"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.7s"	"3P*"	"1"		""	"L17684"
C	1	"530.2025"	"0.0014"	"4700"	""		"8.647160399"	"10.985590"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.(2P*<3/2>).7d"	"2[5/2]*"	"2"		""	"L17684"
C	1	"530.2320"	"0.0014"	"1600"	"1.9e+05"	D	"8.64039604"	"10.9786886"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.(2P*<1/2>).8s"	"2[1/2]*"	"1"		"T5520LS"	"L17684"
C	1	"530.3827"	"0.0014"	"1600"	"8.e+05"	D	"8.64039604"	"10.978030"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.(2P*<1/2>).8s"	"2[1/2]*"	"0"		"T5520LS"	"L17684"
C	1	"530.461"	"0.016"	"1100bl,i"	""		"8.647160399"	"[10.984525]"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.(2P*<3/2>).7d"	"2[7/2]*"	"4"		""	"L2138c153"
C	1	"530.7791"	"0.0014"	"1000"	"6.e+05"	D	"8.647160399"	"10.983051"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.(2P*<3/2>).8s"	"2[3/2]*"	"2"		"T5520LS"	"L17684"
C	1	"530.8313"	"0.0014"	"3500"	"6.e+05"	D	"8.643023685"	"10.9786886"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.(2P*<1/2>).8s"	"2[1/2]*"	"1"		"T5520LS"	"L17684"
N	3	"531.583"	"0.010"	"90"	"1.14e+07"	B	"39.35199"	"41.68434"	"2s.2p.(3P*).3p"	"4P"	"5/2"	"2s.2p.(3P*).3d"	"4P*"	"5/2"		"T7192LS"	"L3513"
C	1	"531.8944"	"0.0014"	"5100"	""		"7.68476777"	"10.01574721"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.4p"	"3D"	"1"		""	"L17684"
N	3	"532.230"	"0.010"	"200"	"5.68e+07"	B	"39.80721"	"42.13671"	"2s.2p.(3P*).3p"	"2D"	"5/2"	"2s.2p.(3P*).3d"	"2F*"	"7/2"		"T7192LS"	"L3513"
O	2	"532.4006"	"0.0010"	"2"	""		"30.811970"	"33.140757"	"2s2.2p2.(3P).4p"	"2P*"	"3/2"	"2s2.2p2.(3P).6s"	"2P"	"3/2"		""	"L10621"
N	3	"532.866"	"0.010"	"150"	"5.29e+07"	B	"39.79622"	"42.12296"	"2s.2p.(3P*).3p"	"2D"	"3/2"	"2s.2p.(3P*).3d"	"2F*"	"5/2"		"T7192LS"	"L3513"
O	1	"533.058"	"0.010"	"135*"	"2.71e+06"	C+	"10.7402250"	"13.0661304"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).5d"	"5D*"	"0"		"T5713LS"	"L3760"
O	1	"533.058"	"0.010"	"135*"	"2.03e+06"	C+	"10.7402250"	"13.0661288"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).5d"	"5D*"	"1"		"T5713LS"	"L3760"
O	1	"533.116"	"0.010"	"160"	"1.58e+06"	C+	"10.7404756"	"13.0661255"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).5d"	"5D*"	"2"		"T5713LS"	"L3760"
O	1	"533.222"	"0.010"	"190"	"2.71e+06"	C+	"10.7409314"	"13.0661186"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).5d"	"5D*"	"4"		"T5713LS"	"L3760"
C	2	"533.437"	"0.003"	"13ql"	"6.87e+06"	B	"20.149652"	"22.473900"	"2s2.4p"	"2P*"	"1/2"	"2s2.6s"	"2S"	"1/2"		"T5109LS"	"L1176"
C	2	"533.627"	"0.003"	"18ql"	"1.38e+07"	B	"20.150477"	"22.473900"	"2s2.4p"	"2P*"	"3/2"	"2s2.6s"	"2S"	"1/2"		"T5109LS"	"L1176"
C	2	"534.388"	"0.004"	"35*"	"1.04e+07"	B	"20.950632"	"23.270759"	"2s2.4f"	"2F*"	"5/2"	"2s2.7g"	"2G"	"7/2"		"T7476"	"L21568,L1176"
C	2	"534.388"	"0.004"	"35*"	"1.08e+07"	B	"20.950654"	"23.270763"	"2s2.4f"	"2F*"	"7/2"	"2s2.7g"	"2G"	"9/2"		"T7476"	"L21568,L1176"
C	2	"534.388"	"0.004"	"35*"	"3.9e+05"	D+	"20.950654"	"23.270759"	"2s2.4f"	"2F*"	"7/2"	"2s2.7g"	"2G"	"7/2"		"T7476"	"L21568,L1176"
O	2	"534.5590"	"0.0010"	"2"	"1.46e+04"	C	"22.9662478"	"25.2856211"	"2s2.2p2.(3P).3s"	"4P"	"1/2"	"2s2.2p2.(3P).3p"	"2S*"	"1/2"		"T6172"	"L10621"
B	2	"534.914"	"0.010"	"15"	"5.96e+06"	C	"20.821325"	"23.139161"	"1s2.2s.4s"	"1S"	"0"	"1s2.2p.3s"	"1P*"	"1"		"u27"	"L12120"
C	2	"536.916"	"0.004"	"6h"	"3.2e+06"	C	"25.989855"	"28.299002"	"2s.2p.(3P*).4s"	"4P*"	"5/2"	"2s.2p.(3P*).5p"	"4D"	"7/2"		"T10528"	"L1176"
