element	sp_num	obs_wl_vac(nm)	unc_obs_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref
C	1	"437.26098"	"0.00003"	"33000"	"1.27e+06"	B	"7.68476777"	"10.52024138"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.5p"	"1P"	"1"		"T5520"	"L12175c183"
O	2	"437.2846"	"0.0010"	"11"	""		"28.8832609"	"31.7185870"	"2s2.2p2.(3P).3d"	"2F"	"7/2"	"2s2.2p2.(3P).4f G"	"2[4]*"	"9/2"		""	"L10621"
C	2	"437.358"	"0.004"	"75u*"	"3.57e+07"	C+	"24.656151"	"27.490999"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	"2s.2p.(3P*).4f"	"2D"	"5/2"		"T10528"	"L1176"
C	2	"437.358"	"0.004"	"75u*"	"8.42e+07"	C+	"24.656151"	"27.490983"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"3/2"		"T10528"	"L1176"
C	2	"437.372"	"0.004"	"120u*"	"1.45e+08"	C+	"24.657857"	"27.492608"	"2s.2p.(3P*).3d"	"4P*"	"1/2"	"2s.2p.(3P*).4f"	"4D"	"1/2"		"T10528"	"L1176"
C	2	"437.372"	"0.004"	"120u*"	"3.51e+07"	C+	"24.653514"	"27.488250"	"2s.2p.(3P*).3d"	"4P*"	"5/2"	"2s.2p.(3P*).4f"	"4D"	"5/2"		"T10528"	"L1176"
C	2	"437.5501"	"0.0007"	"190"	"1.72e+08"	B	"24.653514"	"27.487106"	"2s.2p.(3P*).3d"	"4P*"	"5/2"	"2s.2p.(3P*).4f"	"4D"	"7/2"		"T10528"	"L1176"
O	2	"437.5524"	"0.0010"	"9"	""		"28.8832609"	"31.7168283"	"2s2.2p2.(3P).3d"	"2F"	"7/2"	"2s2.2p2.(3P).4f D"	"2[2]*"	"5/2"		""	"L10621"
C	2	"437.6238"	"0.0007"	"50"	"6.54e+07"	C+	"24.657857"	"27.490983"	"2s.2p.(3P*).3d"	"4P*"	"1/2"	"2s.2p.(3P*).4f"	"4D"	"3/2"		"T10528"	"L1176"
C	2	"437.7792"	"0.0017"	"61h"	"1.19e+08"	B+	"24.656151"	"27.488250"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"5/2"		"T2440"	"L1176"
O	2	"437.9257"	"0.0010"	"8"	""		"31.373797"	"34.204965"	"2s2.2p2.(1D).3d"	"2D"	"3/2"	"2s2.2p2.(1D).4f F"	"2[3]*"	"5/2"		""	"L10621"
O	2	"437.9657"	"0.0010"	"9*"	""		"31.374055"	"34.204965"	"2s2.2p2.(1D).3d"	"2D"	"5/2"	"2s2.2p2.(1D).4f F"	"2[3]*"	"7/2"		""	"L10621"
O	2	"437.9657"	"0.0010"	"9*"	""		"31.374055"	"34.204965"	"2s2.2p2.(1D).3d"	"2D"	"5/2"	"2s2.2p2.(1D).4f F"	"2[3]*"	"5/2"		""	"L10621"
N	3	"438.034"	"0.010"	"300"	""		""	""	""	""	""	""	""	""		""	"L3513"
O	2	"439.7177"	"0.0010"	"15"	"3.91e+07"	B	"26.2490334"	"29.0686699"	"2s2.2p2.(3P).3p"	"2D*"	"5/2"	"2s2.2p2.(3P).3d"	"2D"	"5/2"		"T6172n"	"L10621"
O	2	"439.9090"	"0.0010"	"4"	""		"28.8832609"	"31.7016866"	"2s2.2p2.(3P).3d"	"2F"	"7/2"	"2s2.2p2.(3P).4f D"	"2[3]*"	"7/2"		""	"L10621"
O	2	"440.6187"	"0.0010"	"7"	""		"28.941697"	"31.7555502"	"2s2.2p2.(3P).3d"	"2P"	"3/2"	"2s2.2p2.(3P).4f F"	"2[3]*"	"5/2"		""	"L10621"
O	2	"440.7225"	"0.0010"	"8"	"4.30e+06"	B	"26.2490334"	"29.0622429"	"2s2.2p2.(3P).3p"	"2D*"	"5/2"	"2s2.2p2.(3P).3d"	"2D"	"3/2"		"T6172n"	"L10621"
C	2	"441.0399"	"0.0007"	"36"	""		"24.601624"	"27.412802"	"2s.2p.(3P*).3d"	"2D*"	"3/2"	"2s.2p.(3P*).4f"	"4F"	"5/2"		""	"L1176"
C	2	"441.1218"	"0.0007"	"100"	"1.48e+08"	B	"24.602961"	"27.413617"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	"2s.2p.(3P*).4f"	"2F"	"7/2"		"T10528"	"L1176"
C	2	"441.2402"	"0.0007"	"140"	"1.86e+08"	B+	"24.601624"	"27.411529"	"2s.2p.(3P*).3d"	"2D*"	"3/2"	"2s.2p.(3P*).4f"	"2F"	"5/2"		"T2440"	"L1176"
