Gray value,Temperature [K],Temperature error [K]
72,3099.6101925184757,9.364381246279383
73,3105.81475330181,9.38312614290577
74,3111.9804810847354,9.40175371928923
75,3118.078642814624,9.42017716862424
76,3124.109828749946,9.438398274169021
77,3130.108450092809,9.456520997259242
78,3136.0132559355256,9.474360289835426
79,3141.8877166551083,9.492107905302442
80,3147.699104203163,9.509664967381157
81,3153.4553246010714,9.527055361332541
82,3159.1753865707906,9.544336515319609
83,3164.8190301357663,9.561386797993253
84,3170.442826705434,9.578377119955993
85,3175.986286203558,9.595124731732803
86,3181.5061827248737,9.6118011562685
87,3186.96425521557,9.628290801255499
88,3192.3852633647834,9.64466846938001
89,3197.7598212005005,9.660905804231119
90,3203.0867366131765,9.676999204269416
91,3208.379601406951,9.692989732347284
92,3213.6170131438844,9.708812728531372
93,3218.8299573839436,9.724561804785328
94,3223.982256959086,9.740127664528961
95,3229.1170055649036,9.755640500196083
96,3234.1883955569047,9.770961920111494
97,3239.2466273790847,9.78624358724799
98,3244.241129646903,9.801332717966474
99,3249.2244789131596,9.816388153816192
100,3254.1459424351438,9.831256623671129
101,3259.05600014453,9.846090634877735
102,3263.9081084993354,9.860749572505545
103,3268.7464237668073,9.875366839174644
104,3273.532702273582,9.88982689508635
105,3278.300783626857,9.904231974703496
106,3283.0246061612056,9.918503341876754
107,3287.7239227918208,9.932700673087071
108,3292.3885182932195,9.94679310662604
109,3297.02050126359,9.960787012880937
110,3301.628959949101,9.974709848788825
111,3306.195003357313,9.988504541864994
112,3310.7502826557043,10.002266714971917
113,3315.2517447596915,10.015866298367648
114,3319.753206863679,10.02946588176338
115,3324.1948792820262,10.042884831667752
116,3328.633083584722,10.056293303881336
117,3333.028405322216,10.069572221517268
118,3337.404641619187,10.082793479212045
119,3341.7561720492113,10.095940096825412
120,3346.0716974402308,10.108977937885893
121,3350.3818853227544,10.121999653543066
122,3354.6379251886997,10.134857780026284
123,3358.893965054645,10.147715906509502
124,3363.1068623069973,10.160443692770384
125,3367.3046112534043,10.173125713756509
126,3371.4819149332916,10.185745966565836
127,3375.6225377018345,10.198255400911886
128,3379.7631604703774,10.210764835257939
129,3383.85099541615,10.223114789776888
130,3387.935627765275,10.235455068777267
131,3391.9931150720313,10.247713338586196
132,3396.022864627903,10.259887808543514
133,3400.0519117149556,10.272060156238537
134,3404.0278587938446,10.284072080948171
135,3408.0038058727337,10.296084005657805
136,3411.9534876758635,10.308016579081158
137,3415.8766860790433,10.31986914223276
138,3419.7998844822228,10.331721705384359
139,3423.674000443205,10.3434259832121
140,3427.5454782253883,10.355122290711142
141,3431.3983934406724,10.36676251794765
142,3435.2191536529763,10.378305600160049
143,3439.0399138652797,10.389848682372445
144,3442.82343371202,10.401279255927552
145,3446.5944551203984,10.412672069850146
146,3450.36074856009,10.424050599879426
147,3454.0829863401523,10.435296031239131
148,3457.805224120215,10.446541462598837
149,3461.50782555505,10.45772756965272
150,3465.182211964121,10.468828434936922
151,3468.856598373192,10.479929300221123
152,3472.4986506971204,10.490932479447494
153,3476.12609572439,10.501891527868247
154,3479.75354075166,10.512850576289003
155,3483.3380617251855,10.52367994478908
156,3486.9194537207404,10.534499860183505
157,3490.4945266452914,10.545300684728977
158,3494.0307329288025,10.555984087398196
159,3497.5669392123136,10.566667490067413
160,3501.089313671327,10.577309104747211
161,3504.5811811211242,10.587858553236025
162,3508.073048570922,10.59840800172484
163,3511.545415751757,10.60889853701437
164,3514.9937713750082,10.619316529833862
165,3518.442126998259,10.62973452265335
166,3521.8670710477963,10.64008178564289
167,3525.2727225324606,10.650370762937948
168,3528.6783740171245,10.660659740233005
169,3532.0583762479,10.670871227335045
170,3535.422112497117,10.681033572498842
171,3538.785848746333,10.691195917662638
172,3542.123291669448,10.701278826795916
173,3545.4458833189838,10.711316868033183
174,3548.7684749685195,10.721354909270453
175,3552.0656461609155,10.73131615154355
176,3555.347846080273,10.741232163384511
177,3558.630045999631,10.751148175225472
178,3561.889141812968,10.760994386141897
179,3565.1316855907357,10.770790590908566
180,3568.3742293685036,10.780586795675237
181,3571.5973584865333,10.790324345880766
182,3574.80096490053,10.80000291510734
183,3578.0045713145264,10.809681484333916
184,3581.193758165539,10.819316489926099
185,3584.35912963829,10.828879545735015
186,3587.5245011110414,10.838442601543932
187,3590.6816891416597,10.847980933962718
188,3593.8095121817205,10.857430550397947
189,3596.9373352217813,10.866880166833177
190,3600.064390038085,10.87632746235071
191,3603.155335667697,10.885665666669778
192,3606.2462812973085,10.895003870988848
193,3609.3372269269203,10.904342075307916
194,3612.399717848561,10.913594313741877
195,3615.4544420181246,10.92282308766805
196,3618.5091661876886,10.932051861594225
197,3621.5456748009783,10.941225603628332
198,3624.5648187907973,10.950346884564341
199,3627.5839627806163,10.95946816550035
200,3630.5961244934615,10.968568351943992
201,3633.5803153031893,10.977584034148608
202,3636.5645061129176,10.986599716353226
203,3639.5486969226454,10.995615398557842
204,3642.50374094459,11.004543024001782
205,3645.4535916708137,11.013454959730556
206,3648.4034423970375,11.022366895459328
207,3651.337814096299,11.031232066756191
208,3654.253924298656,11.04004206736754
209,3657.1700345010127,11.04885206797889
210,3660.0851652979677,11.057659109661534
211,3662.968121354191,11.0663689466894
212,3665.8510774104147,11.075078783717265
213,3668.7340334666383,11.08378862074513
214,3671.5987157450286,11.092443249984981
215,3674.4490911952994,11.101054656179151
216,3677.2994666455706,11.109666062373325
217,3680.14815885114,11.118272383236073
218,3682.9665147321025,11.126787053571306
219,3685.7848706130644,11.135301723906538
220,3688.6032264940263,11.143816394241771
221,3691.4057085068043,11.152283107271312
222,3694.192593675595,11.160702699926269
223,3696.979478844386,11.169122292581227
224,3699.766364013177,11.177541885236185
225,3702.5249087621414,11.185875857287437
226,3705.2808602107734,11.194201994594481
227,3708.0368116594054,11.202528131901527
228,3710.7840160130586,11.210827842939754
229,3713.5095591734726,11.219062112306563
230,3716.235102333887,11.227296381673375
231,3718.960645494301,11.235530651040184
232,3721.6676943130215,11.243709046262905
233,3724.363343353126,11.251853001066845
234,3727.05899239323,11.259996955870784
235,3729.754641433334,11.268140910674726
236,3732.4235747131365,11.276204153211893
237,3735.089832824127,11.284259313668057
238,3737.7560909351173,11.292314474124222
239,3740.4177713847344,11.300355804787717
240,3743.055131059989,11.308323658791508
241,3745.692490735244,11.3162915127953
242,3748.329850410499,11.32425936679909
243,3750.9567888302186,11.332195736647186
244,3753.5657321360427,11.340077740592275
245,3756.1746754418664,11.347959744537361
246,3758.7836187476905,11.35584174848245
247,3761.3776462810124,11.363678689670733
248,3763.9586451194978,11.371476269243196
249,3766.5396439579836,11.37927384881566
250,3769.1206427964694,11.387071428388126
251,3771.6835225557575,11.394814267540053
252,3774.237038920024,11.402528818489499
253,3776.7905552842903,11.410243369438943
254,3779.344071648557,11.417957920388389
255,3781.8775011731373,11.425611786021562
