Time (s),Pressure (Torr),Laser output power (W),Laser peak power (W)
15.997361898422241,0.0,0.0,0.0
16.0293710231781,0.0,0.0,0.0
16.059649229049683,0.0,0.0,0.0
16.101494789123535,0.0,0.0,0.0
16.13938570022583,0.0,0.0,0.0
16.167781114578247,0.0,0.0,0.0
16.197846174240112,0.0,0.0,0.0
16.230493783950806,0.0,0.0,0.0
16.26143765449524,0.0,0.0,0.0
16.296292781829834,0.0,0.0,0.0
16.336174488067627,0.0,0.0,0.0
16.36850595474243,0.0,0.0,0.0
16.40072512626648,0.0,0.0,0.0
16.430149793624878,0.0,0.0,0.0
16.46038556098938,0.0,0.0,0.0
16.49199414253235,0.0,0.0,0.0
16.520487785339355,0.0,0.0,0.0
16.553544998168945,0.0,0.0,0.0
16.583120346069336,0.0,0.0,0.0
16.61572289466858,0.0,0.0,0.0
16.646170377731323,0.0,0.0,0.0
16.67765212059021,0.0,0.0,0.0
16.71896004676819,0.0,0.0,0.0
16.751758098602295,0.0,0.0,0.0
16.78161859512329,0.0,0.0,0.0
16.813321352005005,0.0,0.0,0.0
16.843376874923706,0.0,0.0,0.0
16.87176203727722,0.0,0.0,0.0
16.90463376045227,0.0,0.0,0.0
16.93182373046875,0.0,0.0,0.0
16.964431285858154,0.0,0.0,0.0
16.994361639022827,0.0,0.0,0.0
17.024957418441772,0.0,0.0,0.0
17.06740951538086,0.0,0.0,0.0
17.10008716583252,0.0,0.0,0.0
17.131519079208374,0.0,0.0,0.0
17.162708044052124,0.0,0.0,0.0
17.194605112075806,0.0,0.0,0.0
17.227450132369995,0.0,0.0,0.0
17.258696794509888,0.0,0.0,0.0
17.289854049682617,0.0,0.0,0.0
17.319074392318726,0.0,0.0,0.0
17.348376035690308,0.0,0.0,0.0
17.38034462928772,0.0,0.0,0.0
17.397167444229126,0.0,0.0,0.0
17.41358518600464,0.0,0.0,0.0
17.43560552597046,0.0,0.0,0.0
17.451174020767212,0.0,0.0,0.0
17.467384576797485,0.0,0.0,0.0
17.483893394470215,0.0,0.0,0.0
17.502342700958252,0.0,0.0,0.0
17.532199144363403,0.0,0.0,0.0
17.54943823814392,0.0,0.0,0.0
17.566823959350586,0.0,0.0,0.0
17.583670139312744,0.0,0.0,0.0
17.600204944610596,0.0,0.0,0.0
17.616285800933838,0.0,0.0,0.0
17.63204312324524,0.0,0.0,0.0
17.648391723632812,0.0,0.0,0.0
17.66537094116211,0.0,0.0,0.0
17.68342685699463,0.0,0.0,0.0
17.700031280517578,0.0,0.0,0.0
17.722283124923706,0.0,0.0,0.0
17.74137806892395,0.0,0.0,0.0
17.7574622631073,0.0,0.0,0.0
17.7735595703125,0.0,0.0,0.0
17.79053831100464,0.0,0.0,0.0
17.80756139755249,0.0,0.0,0.0
17.82549786567688,0.0,0.0,0.0
17.841509342193604,0.0,0.0,0.0
17.87335705757141,0.0,0.0,0.0
17.9057195186615,0.0,0.0,0.0
17.934853076934814,0.0,0.0,0.0
17.951079845428467,0.0,0.0,0.0
17.96729826927185,0.0,0.0,0.0
17.982935428619385,0.0,0.0,0.0
17.998409271240234,0.0,0.0,0.0
18.014567852020264,0.0,0.0,0.0
18.032529830932617,0.0,0.0,0.0
18.048311948776245,0.0,0.0,0.0
18.06561589241028,0.0,0.0,0.0
18.081950426101685,0.0,0.0,0.0
18.098655700683594,0.0,0.0,0.0
18.11589503288269,0.0,0.0,0.0
18.13331413269043,0.0,0.0,0.0
18.150457620620728,0.0,0.0,0.0
18.16573667526245,0.0,0.0,0.0
18.18190026283264,0.0,0.0,0.0
18.198434352874756,0.0,0.0,0.0
18.21541666984558,0.0,0.0,0.0
18.23097586631775,0.0,0.0,0.0
18.248172283172607,0.0,0.0,0.0
18.264705419540405,0.0,0.0,0.0
18.280888080596924,0.0,0.0,0.0
18.296713829040527,0.0,0.0,0.0
18.312944889068604,0.0,0.0,0.0
18.333983898162842,0.0,0.0,0.0
18.349961280822754,0.0,0.0,0.0
18.365714073181152,0.0,0.0,0.0
18.382052183151245,0.0,0.0,0.0
