# S/XB Table for B I 821.2 nm (2s2p² ²D → 4f ²F)
# Generated by standalone CR model
# WARNING: Uses simplified atomic physics - validate with ADAS
#
# Te range: 2.00 - 50.00 eV
# ne range: 1.00e+18 - 3.16e+19 m^-3
#
# Format: Te(eV)  ne(m^-3)  S/XB(ph/ion)
#============================================================
   3.022   1.26748e+19   2.40159e-02
   3.022   1.40300e+19   2.65196e-02
   3.022   1.55302e+19   2.92769e-02
   3.022   1.71907e+19   3.23120e-02
   3.022   1.90288e+19   3.56508e-02
   3.022   2.10634e+19   3.93213e-02
   3.022   2.33156e+19   4.33537e-02
   3.022   2.58086e+19   4.77801e-02
   3.022   2.85682e+19   5.26350e-02
   3.022   3.16228e+19   5.79547e-02
   3.282   1.00000e+18   1.89186e-03
   3.282   1.10692e+18   2.09372e-03
   3.282   1.22528e+18   2.31706e-03
   3.282   1.35629e+18   2.56418e-03
   3.282   1.50131e+18   2.83757e-03
   3.282   1.66184e+18   3.14002e-03
   3.282   1.83953e+18   3.47459e-03
   3.282   2.03621e+18   3.84468e-03
   3.282   2.25393e+18   4.25401e-03
   3.282   2.49493e+18   4.70672e-03
   3.282   2.76170e+18   5.20735e-03
   3.282   3.05699e+18   5.76093e-03
   3.282   3.38386e+18   6.37297e-03
   3.282   3.74567e+18   7.04958e-03
   3.282   4.14617e+18   7.79746e-03
   3.282   4.58949e+18   8.62398e-03
   3.282   5.08022e+18   9.53728e-03
   3.282   5.62341e+18   1.05463e-02
   3.282   6.22469e+18   1.16607e-02
   3.282   6.89025e+18   1.28914e-02
   3.282   7.62699e+18   1.42501e-02
   3.282   8.44249e+18   1.57497e-02
   3.282   9.34519e+18   1.74043e-02
   3.282   1.03444e+19   1.92293e-02
   3.282   1.14505e+19   2.12416e-02
   3.282   1.26748e+19   2.34593e-02
   3.282   1.40300e+19   2.59024e-02
   3.282   1.55302e+19   2.85925e-02
   3.282   1.71907e+19   3.15528e-02
   3.282   1.90288e+19   3.48085e-02
   3.282   2.10634e+19   3.83867e-02
   3.282   2.33156e+19   4.23164e-02
   3.282   2.58086e+19   4.66287e-02
   3.282   2.85682e+19   5.13566e-02
   3.282   3.16228e+19   5.65351e-02
   3.564   1.00000e+18   1.85293e-03
   3.564   1.10692e+18   2.05062e-03
   3.564   1.22528e+18   2.26934e-03
   3.564   1.35629e+18   2.51134e-03
   3.564   1.50131e+18   2.77907e-03
   3.564   1.66184e+18   3.07524e-03
   3.564   1.83953e+18   3.40286e-03
   3.564   2.03621e+18   3.76525e-03
   3.564   2.25393e+18   4.16606e-03
   3.564   2.49493e+18   4.60932e-03
   3.564   2.76170e+18   5.09948e-03
   3.564   3.05699e+18   5.64146e-03
   3.564   3.38386e+18   6.24065e-03
   3.564   3.74567e+18   6.90301e-03
   3.564   4.14617e+18   7.63510e-03
   3.564   4.58949e+18   8.44412e-03
   3.564   5.08022e+18   9.33801e-03
   3.564   5.62341e+18   1.03255e-02
   3.564   6.22469e+18   1.14161e-02
   3.564   6.89025e+18   1.26203e-02
   3.564   7.62699e+18   1.39496e-02
   3.564   8.44249e+18   1.54166e-02
   3.564   9.34519e+18   1.70350e-02
   3.564   1.03444e+19   1.88198e-02
   3.564   1.14505e+19   2.07875e-02
   3.564   1.26748e+19   2.29556e-02
   3.564   1.40300e+19   2.53437e-02
   3.564   1.55302e+19   2.79725e-02
   3.564   1.71907e+19   3.08647e-02
   3.564   1.90288e+19   3.40447e-02
   3.564   2.10634e+19   3.75387e-02
   3.564   2.33156e+19   4.13747e-02
   3.564   2.58086e+19   4.55827e-02
   3.564   2.85682e+19   5.01944e-02
   3.564   3.16228e+19   5.52435e-02
   3.871   1.00000e+18   1.81777e-03
   3.871   1.10692e+18   2.01169e-03
   3.871   1.22528e+18   2.22625e-03
   3.871   1.35629e+18   2.46362e-03
   3.871   1.50131e+18   2.72623e-03
   3.871   1.66184e+18   3.01673e-03
   3.871   1.83953e+18   3.33807e-03
   3.871   2.03621e+18   3.69350e-03
   3.871   2.25393e+18   4.08659e-03
   3.871   2.49493e+18   4.52131e-03
   3.871   2.76170e+18   5.00201e-03
   3.871   3.05699e+18   5.53349e-03
   3.871   3.38386e+18   6.12105e-03
   3.871   3.74567e+18   6.77051e-03
   3.871   4.14617e+18   7.48830e-03
   3.871   4.58949e+18   8.28146e-03
   3.871   5.08022e+18   9.15776e-03
   3.871   5.62341e+18   1.01257e-02
   3.871   6.22469e+18   1.11947e-02
   3.871   6.89025e+18   1.23748e-02
   3.871   7.62699e+18   1.36775e-02
   3.871   8.44249e+18   1.51149e-02
   3.871   9.34519e+18   1.67004e-02
   3.871   1.03444e+19   1.84487e-02
   3.871   1.14505e+19   2.03757e-02
   3.871   1.26748e+19   2.24987e-02
   3.871   1.40300e+19   2.48366e-02
   3.871   1.55302e+19   2.74095e-02
   3.871   1.71907e+19   3.02396e-02
   3.871   1.90288e+19   3.33504e-02
   3.871   2.10634e+19   3.67673e-02
   3.871   2.33156e+19   4.05175e-02
   3.871   2.58086e+19   4.46298e-02
   3.871   2.85682e+19   4.91348e-02
   3.871   3.16228e+19   5.40649e-02
   4.204   1.00000e+18   1.78597e-03
   4.204   1.10692e+18   1.97648e-03
   4.204   1.22528e+18   2.18726e-03
   4.204   1.35629e+18   2.42045e-03
   4.204   1.50131e+18   2.67842e-03
   4.204   1.66184e+18   2.96379e-03
   4.204   1.83953e+18   3.27944e-03
   4.204   2.03621e+18   3.62856e-03
   4.204   2.25393e+18   4.01467e-03
   4.204   2.49493e+18   4.44165e-03
   4.204   2.76170e+18   4.91376e-03
   4.204   3.05699e+18   5.43573e-03
   4.204   3.38386e+18   6.01274e-03
   4.204   3.74567e+18   6.65051e-03
   4.204   4.14617e+18   7.35532e-03
   4.204   4.58949e+18   8.13409e-03
   4.204   5.08022e+18   8.99442e-03
   4.204   5.62341e+18   9.94464e-03
   4.204   6.22469e+18   1.09939e-02
   4.204   6.89025e+18   1.21522e-02
   4.204   7.62699e+18   1.34306e-02
   4.204   8.44249e+18   1.48410e-02
   4.204   9.34519e+18   1.63966e-02
   4.204   1.03444e+19   1.81116e-02
   4.204   1.14505e+19   2.00015e-02
   4.204   1.26748e+19   2.20833e-02
   4.204   1.40300e+19   2.43753e-02
   4.204   1.55302e+19   2.68971e-02
   4.204   1.71907e+19   2.96703e-02
   4.204   1.90288e+19   3.27176e-02
   4.204   2.10634e+19   3.60638e-02
   4.204   2.33156e+19   3.97350e-02
   4.204   2.58086e+19   4.37592e-02
   4.204   2.85682e+19   4.81660e-02
   4.204   3.16228e+19   5.29862e-02
   4.565   1.00000e+18   1.75717e-03
   4.565   1.10692e+18   1.94459e-03
   4.565   1.22528e+18   2.15194e-03
   4.565   1.35629e+18   2.38134e-03
   4.565   1.50131e+18   2.63511e-03
   4.565   1.66184e+18   2.91582e-03
   4.565   1.83953e+18   3.22631e-03
   4.565   2.03621e+18   3.56971e-03
   4.565   2.25393e+18   3.94948e-03
   4.565   2.49493e+18   4.36942e-03
   4.565   2.76170e+18   4.83375e-03
   4.565   3.05699e+18   5.34707e-03
   4.565   3.38386e+18   5.91450e-03
   4.565   3.74567e+18   6.54163e-03
   4.565   4.14617e+18   7.23465e-03
   4.565   4.58949e+18   8.00033e-03
   4.565   5.08022e+18   8.84612e-03
   4.565   5.62341e+18   9.78021e-03
   4.565   6.22469e+18   1.08115e-02
   4.565   6.89025e+18   1.19500e-02
   4.565   7.62699e+18   1.32062e-02
   4.565   8.44249e+18   1.45920e-02
   4.565   9.34519e+18   1.61202e-02
   4.565   1.03444e+19   1.78047e-02
   4.565   1.14505e+19   1.96608e-02
   4.565   1.26748e+19   2.17048e-02
   4.565   1.40300e+19   2.39547e-02
   4.565   1.55302e+19   2.64296e-02
   4.565   1.71907e+19   2.91505e-02
   4.565   1.90288e+19   3.21395e-02
   4.565   2.10634e+19   3.54204e-02
   4.565   2.33156e+19   3.90189e-02
   4.565   2.58086e+19   4.29617e-02
   4.565   2.85682e+19   4.72775e-02
   4.565   3.16228e+19   5.19960e-02
   4.958   1.00000e+18   1.73104e-03
   4.958   1.10692e+18   1.91565e-03
   4.958   1.22528e+18   2.11990e-03
   4.958   1.35629e+18   2.34585e-03
   4.958   1.50131e+18   2.59580e-03
   4.958   1.66184e+18   2.87228e-03
   4.958   1.83953e+18   3.17808e-03
   4.958   2.03621e+18   3.51628e-03
   4.958   2.25393e+18   3.89029e-03
   4.958   2.49493e+18   4.30384e-03
   4.958   2.76170e+18   4.76108e-03
   4.958   3.05699e+18   5.26654e-03
   4.958   3.38386e+18   5.82524e-03
   4.958   3.74567e+18   6.44270e-03
   4.958   4.14617e+18   7.12497e-03
   4.958   4.58949e+18   7.87872e-03
   4.958   5.08022e+18   8.71126e-03
   4.958   5.62341e+18   9.63062e-03
   4.958   6.22469e+18   1.06456e-02
   4.958   6.89025e+18   1.17658e-02
   4.958   7.62699e+18   1.30018e-02
   4.958   8.44249e+18   1.43651e-02
   4.958   9.34519e+18   1.58683e-02
   4.958   1.03444e+19   1.75249e-02
   4.958   1.14505e+19   1.93498e-02
   4.958   1.26748e+19   2.13592e-02
   4.958   1.40300e+19   2.35703e-02
   4.958   1.55302e+19   2.60021e-02
   4.958   1.71907e+19   2.86747e-02
   4.958   1.90288e+19   3.16098e-02
   4.958   2.10634e+19   3.48306e-02
   4.958   2.33156e+19   3.83616e-02
   4.958   2.58086e+19   4.22290e-02
   4.958   2.85682e+19   4.64603e-02
   4.958   3.16228e+19   5.10843e-02
   5.385   1.00000e+18   1.70730e-03
   5.385   1.10692e+18   1.88936e-03
   5.385   1.22528e+18   2.09078e-03
   5.385   1.35629e+18   2.31360e-03
   5.385   1.50131e+18   2.56008e-03
   5.385   1.66184e+18   2.83271e-03
   5.385   1.83953e+18   3.13424e-03
   5.385   2.03621e+18   3.46772e-03
   5.385   2.25393e+18   3.83647e-03
   5.385   2.49493e+18   4.24421e-03
   5.385   2.76170e+18   4.69499e-03
   5.385   3.05699e+18   5.19328e-03
   5.385   3.38386e+18   5.74403e-03
   5.385   3.74567e+18   6.35266e-03
   5.385   4.14617e+18   7.02512e-03
   5.385   4.58949e+18   7.76797e-03
   5.385   5.08022e+18   8.58841e-03
   5.385   5.62341e+18   9.49431e-03
   5.385   6.22469e+18   1.04943e-02
   5.385   6.89025e+18   1.15979e-02
   5.385   7.62699e+18   1.28154e-02
   5.385   8.44249e+18   1.41580e-02
   5.385   9.34519e+18   1.56381e-02
   5.385   1.03444e+19   1.72691e-02
   5.385   1.14505e+19   1.90654e-02
   5.385   1.26748e+19   2.10428e-02
   5.385   1.40300e+19   2.32183e-02
   5.385   1.55302e+19   2.56102e-02
   5.385   1.71907e+19   2.82382e-02
   5.385   1.90288e+19   3.11234e-02
   5.385   2.10634e+19   3.42883e-02
   5.385   2.33156e+19   3.77568e-02
   5.385   2.58086e+19   4.15540e-02
   5.385   2.85682e+19   4.57066e-02
   5.385   3.16228e+19   5.02421e-02
   5.848   1.00000e+18   1.68571e-03
   5.848   1.10692e+18   1.86545e-03
   5.848   1.22528e+18   2.06430e-03
   5.848   1.35629e+18   2.28426e-03
   5.848   1.50131e+18   2.52758e-03
   5.848   1.66184e+18   2.79670e-03
   5.848   1.83953e+18   3.09435e-03
   5.848   2.03621e+18   3.42351e-03
   5.848   2.25393e+18   3.78748e-03
   5.848   2.49493e+18   4.18991e-03
   5.848   2.76170e+18   4.63479e-03
   5.848   3.05699e+18   5.12655e-03
   5.848   3.38386e+18   5.67003e-03
   5.848   3.74567e+18   6.27059e-03
   5.848   4.14617e+18   6.93408e-03
   5.848   4.58949e+18   7.66697e-03
   5.848   5.08022e+18   8.47631e-03
   5.848   5.62341e+18   9.36988e-03
   5.848   6.22469e+18   1.03562e-02
   5.848   6.89025e+18   1.14444e-02
   5.848   7.62699e+18   1.26449e-02
   5.848   8.44249e+18   1.39685e-02
   5.848   9.34519e+18   1.54275e-02
   5.848   1.03444e+19   1.70348e-02
   5.848   1.14505e+19   1.88047e-02
   5.848   1.26748e+19   2.07526e-02
   5.848   1.40300e+19   2.28951e-02
   5.848   1.55302e+19   2.52501e-02
   5.848   1.71907e+19   2.78368e-02
   5.848   1.90288e+19   3.06756e-02
   5.848   2.10634e+19   3.37885e-02
   5.848   2.33156e+19   3.71986e-02
   5.848   2.58086e+19   4.09303e-02
   5.848   2.85682e+19   4.50092e-02
   5.848   3.16228e+19   4.94619e-02
   6.351   1.00000e+18   1.66606e-03
   6.351   1.10692e+18   1.84368e-03
   6.351   1.22528e+18   2.04018e-03
   6.351   1.35629e+18   2.25754e-03
   6.351   1.50131e+18   2.49797e-03
   6.351   1.66184e+18   2.76390e-03
   6.351   1.83953e+18   3.05799e-03
   6.351   2.03621e+18   3.38321e-03
   6.351   2.25393e+18   3.74282e-03
   6.351   2.49493e+18   4.14039e-03
   6.351   2.76170e+18   4.57989e-03
   6.351   3.05699e+18   5.06566e-03
   6.351   3.38386e+18   5.60250e-03
   6.351   3.74567e+18   6.19567e-03
   6.351   4.14617e+18   6.85095e-03
   6.351   4.58949e+18   7.57470e-03
   6.351   5.08022e+18   8.37387e-03
   6.351   5.62341e+18   9.25612e-03
   6.351   6.22469e+18   1.02298e-02
   6.351   6.89025e+18   1.13040e-02
   6.351   7.62699e+18   1.24888e-02
   6.351   8.44249e+18   1.37949e-02
   6.351   9.34519e+18   1.52343e-02
   6.351   1.03444e+19   1.68198e-02
   6.351   1.14505e+19   1.85653e-02
   6.351   1.26748e+19   2.04859e-02
   6.351   1.40300e+19   2.25977e-02
   6.351   1.55302e+19   2.49184e-02
   6.351   1.71907e+19   2.74666e-02
   6.351   1.90288e+19   3.02622e-02
   6.351   2.10634e+19   3.33265e-02
   6.351   2.33156e+19   3.66820e-02
   6.351   2.58086e+19   4.03522e-02
   6.351   2.85682e+19   4.43620e-02
   6.351   3.16228e+19   4.87368e-02
   6.898   1.00000e+18   1.64814e-03
   6.898   1.10692e+18   1.82383e-03
   6.898   1.22528e+18   2.01818e-03
   6.898   1.35629e+18   2.23317e-03
   6.898   1.50131e+18   2.47097e-03
   6.898   1.66184e+18   2.73397e-03
   6.898   1.83953e+18   3.02482e-03
   6.898   2.03621e+18   3.34644e-03
   6.898   2.25393e+18   3.70205e-03
   6.898   2.49493e+18   4.09519e-03
   6.898   2.76170e+18   4.52975e-03
   6.898   3.05699e+18   5.01005e-03
   6.898   3.38386e+18   5.54079e-03
   6.898   3.74567e+18   6.12718e-03
   6.898   4.14617e+18   6.77493e-03
   6.898   4.58949e+18   7.49028e-03
   6.898   5.08022e+18   8.28011e-03
   6.898   5.62341e+18   9.15194e-03
   6.898   6.22469e+18   1.01140e-02
   6.898   6.89025e+18   1.11752e-02
   6.898   7.62699e+18   1.23455e-02
   6.898   8.44249e+18   1.36355e-02
   6.898   9.34519e+18   1.50568e-02
   6.898   1.03444e+19   1.66221e-02
   6.898   1.14505e+19   1.83449e-02
   6.898   1.26748e+19   2.02401e-02
   6.898   1.40300e+19   2.23235e-02
   6.898   1.55302e+19   2.46121e-02
   6.898   1.71907e+19   2.71243e-02
   6.898   1.90288e+19   2.98795e-02
   6.898   2.10634e+19   3.28983e-02
   6.898   2.33156e+19   3.62025e-02
   6.898   2.58086e+19   3.98149e-02
   6.898   2.85682e+19   4.37594e-02
   6.898   3.16228e+19   4.80605e-02
   7.491   1.00000e+18   1.63179e-03
   7.491   1.10692e+18   1.80571e-03
   7.491   1.22528e+18   1.99811e-03
   7.491   1.35629e+18   2.21093e-03
   7.491   1.50131e+18   2.44631e-03
   7.491   1.66184e+18   2.70664e-03
   7.491   1.83953e+18   2.99453e-03
   7.491   2.03621e+18   3.31285e-03
   7.491   2.25393e+18   3.66480e-03
   7.491   2.49493e+18   4.05386e-03
   7.491   2.76170e+18   4.48391e-03
   7.491   3.05699e+18   4.95917e-03
   7.491   3.38386e+18   5.48433e-03
   7.491   3.74567e+18   6.06449e-03
   7.491   4.14617e+18   6.70530e-03
   7.491   4.58949e+18   7.41293e-03
   7.491   5.08022e+18   8.19415e-03
   7.491   5.62341e+18   9.05637e-03
   7.491   6.22469e+18   1.00077e-02
   7.491   6.89025e+18   1.10570e-02
   7.491   7.62699e+18   1.22139e-02
   7.491   8.44249e+18   1.34889e-02
   7.491   9.34519e+18   1.48934e-02
   7.491   1.03444e+19   1.64399e-02
   7.491   1.14505e+19   1.81416e-02
   7.491   1.26748e+19   2.00131e-02
   7.491   1.40300e+19   2.20698e-02
   7.491   1.55302e+19   2.43286e-02
   7.491   1.71907e+19   2.68071e-02
   7.491   1.90288e+19   2.95242e-02
   7.491   2.10634e+19   3.25002e-02
   7.491   2.33156e+19   3.57560e-02
   7.491   2.58086e+19   3.93138e-02
   7.491   2.85682e+19   4.31965e-02
   7.491   3.16228e+19   4.42714e-02
