##############################
# IMAGE_MIN_X: 200
# IMAGE_MIN_Y: 260 
# DIMES_X_PIXELS: 122 - 143 
# DIMES_Y_PIXELS: 334 - 320 
# PIXEL_SCALE: 0
# DiMES SPOT DIAMETER: 3.52 cm
##############################
time (ms),T_mean (C),T_max (C)
2037.761200001114,173.8136670897607,382.29571533203125
2038.7572000036016,174.42320988453974,382.8201904296875
2039.7521999984747,173.1442668681242,382.0935363769531
2040.7472000006237,173.4419799597085,382.1744689941406
2041.7432000031113,173.17553596756085,382.1744689941406
2042.7382000052603,174.07763163248697,382.21490478515625
2043.734200000472,173.65055110178838,382.5783386230469
2044.729200002621,173.83196995534053,382.33612060546875
2045.72420000477,174.646713101134,382.4976806640625
2046.7201999999816,172.0166483249794,381.07867431640625
2047.7152000021306,174.0558731182903,382.3765563964844
2048.711200004618,174.35817204689494,382.457275390625
2049.706199999491,174.82964278240593,382.7395935058594
2050.7012000016402,173.34581367336975,381.48541259765625
2051.697200004128,173.64600797899726,381.72894287109375
2052.692199999001,172.55763203108393,380.7933349609375
2053.6882000014884,174.33142307826452,381.4041442871094
2054.6832000036375,174.98356742599384,381.8910827636719
2055.6781999985105,175.3690024135875,381.72894287109375
2056.674200000998,174.5334262977652,381.81005859375
2057.669200003147,175.36671162300368,383.0616455078125
2058.6651999983587,173.97177767591413,382.5783386230469
2059.6602000005078,175.6998909152284,383.70379638671875
2060.655200002657,174.30481745921026,383.3027648925781
2061.6512000051443,175.56062166382665,383.5835876464844
2062.6462000000174,174.6066452337771,382.9007263183594
2063.642200002505,175.15769745703457,382.94097900390625
2064.637200004654,175.46551461771233,383.4632873535156
2065.632199999527,174.83712192457548,383.222412109375
2066.6282000020146,176.14521732460074,382.9007263183594
2067.6232000041637,176.51630386041134,383.1822814941406
2068.6191999993753,176.31120092690398,383.5434875488281
2069.6142000015243,176.55158171361808,383.3027648925781
2070.610200004012,173.9237521943592,382.13397216796875
2071.605199998885,175.67215765090216,383.0214538574219
2072.600200001034,176.18363900736077,382.6993103027344
2073.5962000035215,176.60836247035436,381.5260314941406
2074.5911999983946,176.47900380244872,382.4976806640625
2075.587200000882,177.00679825763314,383.98388671875
2076.582200003031,177.55963383888712,383.1822814941406
2077.57720000518,176.77953120640345,382.3765563964844
2078.573200000392,176.74676072516408,383.5434875488281
2079.568200002541,175.318829335323,383.8638916015625
2080.5642000050284,176.05472263673536,383.8638916015625
2081.5591999999015,175.1562251914926,383.98388671875
2082.5542000020505,177.2785892616324,383.9438781738281
2083.550200004538,176.9692457549426,383.8638916015625
2084.545199999411,177.0802987546337,384.2634582519531
2085.5412000018987,176.46177014201677,384.2634582519531
2086.5362000040477,176.89869311066712,384.70184326171875
2087.531199998921,176.900247690629,384.62225341796875
2088.5272000014083,177.0158919250073,384.9404602050781
2089.5222000035574,177.83907992823595,385.4165344238281
2090.518199998769,176.36427379789808,385.21832275390625
2091.513200000918,177.15494620394546,385.25799560546875
2092.508200003067,176.68475632440476,384.8211669921875
2093.5041999982786,177.54762486049108,385.0198669433594
2094.4992000004277,175.84401796302018,383.8638916015625
2095.495200002915,177.05977028567776,383.5033874511719
2096.4902000050643,177.26828454465283,383.6236267089844
2097.4851999999373,177.36630643468325,383.1822814941406
2098.481200002425,178.6846968462678,383.5033874511719
2099.476200004574,179.3543607231711,383.8238830566406
2100.4721999997855,178.84302837345876,384.5823974609375
2101.4672000019345,179.33147939046225,384.5027160644531
2102.4622000040836,177.97068184573635,381.97210693359375
2103.458199999295,179.59107078500347,381.97210693359375
2104.453200001444,180.7094978280619,384.06378173828125
2105.4492000039318,180.1490225240487,384.90069580078125
2106.444199998805,180.12534467217063,383.9438781738281
2107.4402000012924,180.06268518149446,383.6236267089844
2108.4352000034414,178.92090201864437,384.2634582519531
2109.4301999983145,179.29638531743262,383.4632873535156
2110.426200000802,179.54057908869115,384.62225341796875
2111.421200002951,180.76334147550622,387.1108703613281
2112.4171999981627,180.7024892171224,387.3850402832031
2113.4122000003117,180.43532531115474,387.34588623046875
2114.4072000024607,181.29033162642497,388.3212585449219
2115.4032000049483,182.11571642817285,389.1746826171875
2116.3981999998214,188.69870638685163,391.1737976074219
2117.394200002309,193.7063407638446,393.07269287109375
2118.389200004458,189.24771870723387,392.23992919921875
2119.384199999331,179.76080176943825,388.9423828125
2120.3802000018186,182.41088317040683,390.138916015625
2121.3752000039676,184.66611823257134,390.56134033203125
2122.371199999179,192.9354701139489,393.52508544921875
2123.3662000013283,184.75435487915868,391.0591125488281
2124.3612000034773,180.0763160030858,389.135986328125
2125.357199998689,181.49673124559882,389.8309631347656
2126.352200000838,178.7149178641183,388.7873229980469
2127.3482000033255,177.78174642965095,387.6195983886719
2128.3431999981985,180.4314725188171,388.3601379394531
2129.3382000003476,177.6125565094202,388.08770751953125
2130.334200002835,189.2908486087306,390.4078674316406
2131.329200004984,192.74390743541068,392.50537109375
2132.3252000001958,182.19276355561755,390.44622802734375
2133.320200002345,180.5493629092262,389.5996398925781
2134.315200004494,179.68978466630793,389.1746826171875
2135.3111999997054,183.90543277247423,391.40283203125
2136.3062000018544,189.65435770255368,393.9386901855469
2137.302200004342,190.36408228452513,394.0888366699219
2138.297199999215,190.56532759893508,393.4497985839844
2139.292200001364,181.6290151894498,390.4078674316406
2140.2882000038517,187.71015634342115,393.148193359375
2141.2831999987247,191.86672044611302,395.61968994140625
2142.2792000012123,187.64237804802096,393.60040283203125
2143.2742000033613,183.81451545767231,391.8219299316406
2144.270199998573,184.95187985167212,392.23992919921875
2145.265200000722,189.13225861633717,394.0513000488281
2146.260200002871,192.01174386991124,396.10205078125
2147.2561999980826,188.77762027662627,394.94940185546875
2148.2512000002316,191.1631923338183,396.4721374511719
2149.247200002719,188.9162092662993,395.02398681640625
2150.242200004868,190.498207403689,396.13909912109375
2151.2371999997413,187.19219773480683,394.9120788574219
2152.233200002229,187.51793172408122,395.02398681640625
2153.228200004378,187.31955739754397,395.02398681640625
2154.2241999995895,189.61490345649977,396.2502136230469
