Gray value,Temperature [K],Temperature error [K]
67,2548.462798944402,7.6992833804966825
68,2553.15888533983,7.713470952688308
69,2557.817717623015,7.727545974691888
70,2562.416997039861,7.741441078670276
71,2566.9637997549926,7.755177642764328
72,2571.474558915756,7.768805313944882
73,2575.91287317406,7.782214118350635
74,2580.342872706382,7.795597802738314
75,2584.676105280431,7.808689139820033
76,2589.0093378544802,7.821780476901753
77,2593.264041306871,7.834634565881786
78,2597.4954705067635,7.847418339899588
79,2601.686640236448,7.86008048409803
80,2605.8194214968253,7.872566228087085
81,2609.9522027572025,7.88505197207614
82,2613.990479718913,7.8972522045888605
83,2618.0276509125492,7.909449096412535
84,2622.0174182657074,7.921502774216639
85,2625.9619047584806,7.93341965183831
86,2629.906391251254,7.945336529459981
87,2633.7631433956985,7.956988348627488
88,2637.6177628568657,7.968633724643099
89,2641.439091931726,7.980178525473493
90,2645.2065589126196,7.99156060094447
91,2648.974025893513,8.002942676415447
92,2652.679977610346,8.01413890516721
93,2656.362907903827,8.025265582791018
94,2660.044817422429,8.036389176502807
95,2663.6457322147216,8.047268073156259
96,2667.2466470070144,8.05814696980971
97,2670.828829565628,8.068969273612169
98,2674.3501593914857,8.07960773230056
99,2677.8714892173434,8.090246190988953
100,2681.36226718386,8.100792347987491
101,2684.806355695377,8.111197449230746
102,2688.2504442068944,8.121602550474002
103,2691.6576411933493,8.13189619695876
104,2695.026748752148,8.142074769643951
105,2698.3958563109463,8.152253342329143
106,2701.72682612146,8.162316695230997
107,2705.0231332234193,8.172275326958971
108,2708.3194403253783,8.182233958686943
109,2711.5810941675936,8.192087897787292
110,2714.8067047087743,8.201832944739499
111,2718.0323152499545,8.211577991691705
112,2721.2311473195778,8.221242136917153
113,2724.3880917115,8.23077973326737
114,2727.5450361034214,8.240317329617588
115,2730.6871476441534,8.249810113728559
116,2733.7773857861303,8.25914618062275
117,2736.867623928107,8.26848224751694
118,2739.9578620700836,8.277818314411128
119,2742.9841699782564,8.286961238605004
120,2746.009594094059,8.296101492731296
121,2749.0350182098614,8.305241746857588
