Wavelength (nm),Transmission (%)
1778,0.9105425477
1777,0.9072131515
1776,0.9166272283
1775,0.9061716795
1774,0.8988340497
1773,0.8939024806
1772,0.9109612703
1771,0.9038486481
1770,0.9033608437
1769,0.9101191759
1768,0.9024020433
1767,0.9079504013
1766,0.9080935121
1765,0.9016591311
1764,0.903188169
1763,0.8982539177
1762,0.9100859761
1761,0.9014568329
1760,0.9099235535
1759,0.9086383581
1758,0.9013126493
1757,0.9048135281
1756,0.9068943262
1755,0.9205076098
1754,0.9003663659
1753,0.9040430188
1752,0.9036394954
1751,0.9048444033
1750,0.9012846351
1749,0.9060240984
1748,0.8950170279
1747,0.9071471095
1746,0.9134824276
1745,0.9073649645
1744,0.906694591
1743,0.8879075646
1742,0.9138045907
1741,0.9117658138
1740,0.9066745639
1739,0.9119545817
1738,0.9130046964
1737,0.9092218876
1736,0.8972476125
1735,0.9059746861
1734,0.909574151
1733,0.9079396725
1732,0.9092391729
1731,0.903360188
1730,0.8982770443
1729,0.9098985195
1728,0.9173226357
1727,0.9053584933
1726,0.9110971093
1725,0.917467773
1724,0.9079116583
1723,0.9089307785
1722,0.9071077108
1721,0.911308527
1720,0.9047988653
1719,0.9116447568
1718,0.9059332609
1717,0.9040247798
1716,0.9025349021
1715,0.9063944221
1714,0.9068296552
1713,0.912552774
1712,0.9055423737
1711,0.9015945792
1710,0.9070701003
1709,0.9097322822
1708,0.9082825184
1707,0.900608778
1706,0.9053964019
1705,0.9119794965
1704,0.9050988555
1703,0.9102877378
1702,0.9100253582
1701,0.9122077227
1700,0.9125468135
1699,0.9031216502
1698,0.910425365
1697,0.9134114981
1696,0.8982648849
1695,0.9013422728
1694,0.9123480916
1693,0.90800488
1692,0.9061017036
1691,0.9054480195
1690,0.9171750546
1689,0.9032946825
1688,0.9113730788
1687,0.9129318595
1686,0.9070129991
1685,0.908901453
1684,0.9026914835
1683,0.9061630964
1682,0.9121130109
1681,0.9039422274
1680,0.9087193012
1679,0.8945127726
1678,0.9115036726
1677,0.9076731205
1676,0.9116994143
1675,0.9080249667
1674,0.9164017439
1673,0.8963515759
1672,0.9137425423
1671,0.916649282
1670,0.901545763
1669,0.9101359844
1668,0.9130945206
1667,0.9037957788
1666,0.9149316549
1665,0.9058189392
1664,0.9099881053
1663,0.9059034586
1662,0.9110290408
1661,0.9045214653
1660,0.9117285609
1659,0.9137266278
1658,0.9017581344
1657,0.9099407792
1656,0.9086007476
1655,0.9144630432
1654,0.9161261916
1653,0.9153523445
1652,0.8987961411
1651,0.9070826769
1650,0.9101685286
1649,0.897559166
1648,0.9042901993
1647,0.9146140814
1646,0.9091842771
1645,0.9139794707
1644,0.9115716219
1643,0.9105541706
1642,0.9123131633
1641,0.9055541754
1640,0.9065067172
1639,0.9097803235
1638,0.9130381346
1637,0.9016988873
1636,0.9074420929
1635,0.9074015617
1634,0.9056209326
1633,0.9065805078
1632,0.9087297916
1631,0.9082078934
1630,0.9106932282
1629,0.9019960761
1628,0.9021738768
1627,0.913633883
1626,0.9067746997
1625,0.9054197073
1624,0.9090587497
1623,0.9129242301
1622,0.9078688025
1621,0.9050182104
1620,0.9125987291
1619,0.9150970578
1618,0.9086641669
1617,0.9132964611
1616,0.9098294973
1615,0.9073876143
1614,0.9166035056
1613,0.9017423987
1612,0.904992342
1611,0.9056581855
1610,0.9158890843
1609,0.9039272666
1608,0.9047521949
1607,0.9139974713
1606,0.9047271013
1605,0.9087303877
1604,0.9120759368
1603,0.9078120589
1602,0.9079084992
1601,0.920224309
1600,0.8933185339
1599,0.908156693
1598,0.9184284806
1597,0.9091738462
1596,0.9070262313
1595,0.9051294923
1594,0.9017364979
1593,0.9028342366
1592,0.9055458307
1591,0.9148232937
1590,0.9119959474
1589,0.9099797606
1588,0.9153942466
1587,0.9067626595
1586,0.9021158218
1585,0.9060919285
1584,0.9103943706
1583,0.900454998
1582,0.9175075293
1581,0.9065179229
1580,0.8991430402
1579,0.910841465
1578,0.9110290408
1577,0.9039365053
1576,0.9071443081
1575,0.9093346
1574,0.9071619511
1573,0.9063977599
1572,0.8989377022
1571,0.9133105278
1570,0.8994239569
1569,0.9024941325
1568,0.9080269337
1567,0.909932971
1566,0.8950058222
1565,0.9063594937
1564,0.9086299539
1563,0.9042419195
1562,0.8997667432
1561,0.8976121545
1560,0.9093185067
1559,0.9123930931
1558,0.9099295139
1557,0.9050378799
1556,0.9098359346
1555,0.9030911922
1554,0.9015450478
1553,0.9043300748
1552,0.9118555188
1551,0.9064657688
1550,0.8935762644
1549,0.9001811743
1548,0.9097077847
1547,0.9027835131
1546,0.8937124014
1545,0.9090588689
