x (cm),x error (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV),J_sat (A/cm^2),J_sat error (A/cm^2),V_sat (eV),V_sat error (eV),synthetic
-3.064590000000001,0.2264435290319129,140898258680.54428,49161793478.30366,0.3185611085086097,0.1344579326218472,-0.0061309125892004,0.0116991108385867,-4.5879925214908726,0.1492495973626191,True
-2.9115900000000003,0.2909540977894971,93854446238.50294,36590474137.68249,1.0501676711785874,0.4002427073631096,-0.0056200235374704,0.0162720316613491,-4.674253606184822,0.4501144024336332,True
-2.77848,0.4533195439668341,100751519781.80132,37973977105.21087,1.394244287025877,0.5856116180029847,-0.0066690434073409,0.018974345986036,-4.064380284586453,0.7363280569666744,True
-2.5979400000000004,0.1352556548122953,108816472441.55876,44915702020.23659,1.270957179565083,0.7743313346900367,-0.0069645429082149,0.0185472591808757,-3.7827818406383815,0.8402911085617242,True
-2.449530000000001,0.4130463381473678,128387427704.62498,52936309488.23078,0.6195470505061952,0.4676655749301152,-0.0065333754741251,0.0154173428461539,-4.746388609371765,0.3331017253225097,True
-2.314890000000001,0.2070327050106725,111183024692.9308,50427468366.464264,1.0142299702425048,0.6516787183194441,-0.0065800371965111,0.0210002256673568,-4.931297918652448,0.6556601226394845,True
-2.1618900000000005,0.3186776603692438,146841323778.3891,54664936623.81036,0.9243788867284984,0.5004412330986332,-0.0084285913860745,0.0252002877727408,-6.329776541738022,0.80686656799719,True
-2.05173,0.3207509618506945,159163360901.14807,76191468122.05745,0.2007263760182916,0.1388558946819497,-0.0064078343887892,0.0236539889813667,-7.222682215622836,0.1317898391199348,True
-1.880370000000001,0.2153189170496103,171755606943.55316,88491557113.32664,0.5298254408551522,0.3720511128301301,-0.0083827531367385,0.0366040465814866,-7.428293829581622,0.3417097449477628,True
-1.7533800000000008,0.4275753452624197,168714276291.76202,100420363601.2278,0.6439594307165826,0.8148942694783021,-0.0086786283348757,0.0439038670130281,-8.739901511265808,0.5064758740576583,True
-1.6034400000000009,0.1947554183705431,205642965286.8524,96397540130.61543,0.4320683890116011,0.2556848558853144,-0.0095484239254671,0.0389305852030947,-7.760266699402581,0.3134221477596748,True
-1.4580899999999994,0.3946864275392764,166796385364.1407,74538222381.63255,1.874828349818706,0.959187398393853,-0.0123622263830851,0.0504303548999164,-4.608320108163885,1.0745302085758777,True
-1.3234499999999993,0.1926605154147746,179765913478.3544,228826366111.46408,1.6181183825958634,4.84282085884544,-0.0125827742751393,0.0962796342749284,-9.963233945665865,5.872542091190112,True
-1.15362,0.3188541634673619,197133745399.25623,117995730936.05826,1.618127755387386,1.1259673636388337,-0.0137984719156225,0.1094065163793814,-9.963287470126744,1.9111761084515315,True
-1.0419300000000007,0.2503555512872037,224747850506.46063,116779325943.23103,1.394606881705514,0.5037621354991741,-0.0148781539150506,0.0942124813078672,-8.399156414916101,0.7934910294339579,True
-0.8812800000000003,0.2977570227944109,204881381551.7268,108949163664.1621,1.9705441081083743,0.8943894149535938,-0.0154879074627571,0.1018519430730899,-7.234253671610771,1.4445908965853214,True
-0.7619400000000001,0.2969783427315723,200605340754.7457,108856313239.36064,3.7300356167652593,1.5428748778253398,-0.019843050989131,0.1608449612523556,-4.675977644792368,3.68897228724902,True
-0.5859899999999998,0.2968432398332298,230795101580.49146,109487038253.4491,2.7861847884541797,0.5650045500556007,-0.0201217858539591,0.1426842163322111,-6.817320640037515,1.5300163147302177,True
-0.44216999999999995,0.2688282368019022,293561046994.4258,128015350933.18687,2.744297949405081,0.9022010536208982,-0.0254303735203701,0.1697206675753416,-7.9171320538774514,1.825883158180161,True
-0.28917000000000037,0.2994525852243031,278563443199.8248,156042996801.17218,3.4505608405284462,1.109293490674526,-0.0266285454516011,0.2479686895872208,-6.812218142908396,2.6212403008183873,True
-0.13922999999999952,0.2899971734498298,320508041279.73706,163440242883.14136,4.05221179255162,0.9704417789714066,-0.0328885029245162,0.3547922008484999,-9.471116320730324,2.524984419703149,False
0.0,0.2833787499996128,348338801504.1357,166690058760.55713,3.369410266026867,1.1907007211034977,-0.0329547626595243,0.2817736764680375,-8.775327424333796,2.300951264964567,False
0.16371000000000002,0.2994525852243031,278563443199.8248,156042996801.17218,3.4505608405284462,1.109293490674526,-0.0266285454516011,0.2479686895872208,-6.812218142908396,2.6212403008183873,False
0.28917000000000037,0.2688282368019022,293561046994.4258,128015350933.18687,2.744297949405081,0.9022010536208982,-0.0254303735203701,0.1697206675753416,-7.9171320538774514,1.825883158180161,False
0.44216999999999995,0.2968432398332298,230795101580.49146,109487038253.4491,2.7861847884541797,0.5650045500556007,-0.0201217858539591,0.1426842163322111,-6.817320640037515,1.5300163147302177,False
0.5859899999999998,0.2969783427315723,200605340754.7457,108856313239.36064,3.7300356167652593,1.5428748778253398,-0.019843050989131,0.1608449612523556,-4.675977644792368,3.68897228724902,False
0.7619400000000001,0.2977570227944109,204881381551.7268,108949163664.1621,1.9705441081083743,0.8943894149535938,-0.0154879074627571,0.1018519430730899,-7.234253671610771,1.4445908965853214,False
0.8812800000000003,0.2503555512872037,224747850506.46063,116779325943.23103,1.394606881705514,0.5037621354991741,-0.0148781539150506,0.0942124813078672,-8.399156414916101,0.7934910294339579,False
1.0419300000000007,0.3188541634673619,197133745399.25623,117995730936.05826,1.618127755387386,1.1259673636388337,-0.0137984719156225,0.1094065163793814,-9.963287470126744,1.9111761084515315,False
1.15362,0.1926605154147746,179765913478.3544,228826366111.46408,1.6181183825958634,4.84282085884544,-0.0125827742751393,0.0962796342749284,-9.963233945665865,5.872542091190112,False
1.3234499999999993,0.3946864275392764,166796385364.1407,74538222381.63255,1.874828349818706,0.959187398393853,-0.0123622263830851,0.0504303548999164,-4.608320108163885,1.0745302085758777,False
1.4580899999999994,0.1947554183705431,205642965286.8524,96397540130.61543,0.4320683890116011,0.2556848558853144,-0.0095484239254671,0.0389305852030947,-7.760266699402581,0.3134221477596748,False
1.6034400000000009,0.4275753452624197,168714276291.76202,100420363601.2278,0.6439594307165826,0.8148942694783021,-0.0086786283348757,0.0439038670130281,-8.739901511265808,0.5064758740576583,False
1.7533800000000008,0.2153189170496103,171755606943.55316,88491557113.32664,0.5298254408551522,0.3720511128301301,-0.0083827531367385,0.0366040465814866,-7.428293829581622,0.3417097449477628,False
1.880370000000001,0.3207509618506945,159163360901.14807,76191468122.05745,0.2007263760182916,0.1388558946819497,-0.0064078343887892,0.0236539889813667,-7.222682215622836,0.1317898391199348,False
2.05173,0.3186776603692438,146841323778.3891,54664936623.81036,0.9243788867284984,0.5004412330986332,-0.0084285913860745,0.0252002877727408,-6.329776541738022,0.80686656799719,False
2.1618900000000005,0.2070327050106725,111183024692.9308,50427468366.464264,1.0142299702425048,0.6516787183194441,-0.0065800371965111,0.0210002256673568,-4.931297918652448,0.6556601226394845,False
2.314890000000001,0.4130463381473678,128387427704.62498,52936309488.23078,0.6195470505061952,0.4676655749301152,-0.0065333754741251,0.0154173428461539,-4.746388609371765,0.3331017253225097,False
2.449530000000001,0.1352556548122953,108816472441.55876,44915702020.23659,1.270957179565083,0.7743313346900367,-0.0069645429082149,0.0185472591808757,-3.7827818406383815,0.8402911085617242,False
2.5979400000000004,0.4533195439668341,100751519781.80132,37973977105.21087,1.394244287025877,0.5856116180029847,-0.0066690434073409,0.018974345986036,-4.064380284586453,0.7363280569666744,False
2.77848,0.2909540977894971,93854446238.50294,36590474137.68249,1.0501676711785874,0.4002427073631096,-0.0056200235374704,0.0162720316613491,-4.674253606184822,0.4501144024336332,False
2.9115900000000003,0.2264435290319129,140898258680.54428,49161793478.30366,0.3185611085086097,0.1344579326218472,-0.0061309125892004,0.0116991108385867,-4.5879925214908726,0.1492495973626191,False
3.064590000000001,0.4606811831831416,132395907877.82623,49312294596.40904,0.1299317510762583,0.0582141839201623,-0.0050537674827805,0.0059151520668912,-2.616057222853519,0.0662927960778283,False
