Time (s),TC1 (C),TC2 (C)
35.825,407.5,18.0
35.885,407.5,18.0
35.945,407.5,18.0
36.005,407.5,18.0
36.065,407.5,18.0
36.125,407.5,18.0
36.185,407.25,18.0
36.245,407.5,18.0
36.305,407.5,18.0
36.365,407.25,18.0
36.425,407.25,18.0
36.485,407.5,18.0
36.545,407.5,18.0
36.605,407.5,18.0
36.665,407.25,18.0
36.725,407.5,18.0
36.785,407.5,18.0
36.845,407.5,18.0
36.905,407.5,18.0
36.965,407.5,18.0
37.025,407.5,18.0
37.085,407.5,18.0
37.145,407.25,18.0
37.205,407.25,18.0
37.265,407.5,18.0
37.325,407.5,18.0
37.385,407.5,18.0
37.445,407.5,18.0
37.505,407.5,18.0
37.565,407.5,18.0
37.625,407.5,18.0
37.685,407.5,18.0
37.745,407.5,18.0
37.805,407.5,18.0
37.865,407.5,18.0
37.925,407.5,18.0
37.985,407.5,18.0
38.045,407.75,18.0
38.105,407.5,18.0
38.165,407.5,18.0
38.225,407.5,18.0
38.285,407.5,18.0
38.345,407.5,18.0
38.405,407.5,18.0
38.465,407.5,18.0
38.525,407.5,18.0
38.585,407.5,18.0
38.645,407.5,18.0
38.705,407.5,18.0
38.765,407.5,18.0
38.825,407.5,18.0
38.885,407.5,18.0
38.945,407.5,18.0
39.005,407.5,18.0
39.065,407.5,18.0
39.125,407.5,18.0
39.185,407.5,18.0
39.245,407.5,18.0
39.305,407.5,18.0
39.365,407.5,18.0
39.425,407.5,18.0
39.485,407.5,18.0
39.545,407.5,18.0
39.605,407.5,18.0
39.665,407.5,18.0
39.725,407.75,18.0
39.785,407.5,18.0
39.845,407.5,18.0
39.905,407.5,18.0
39.965,407.75,18.0
40.025,407.75,18.0
40.085,407.5,18.0
40.145,407.5,18.0
40.205,407.5,18.0
40.265,407.5,18.0
40.325,407.5,18.0
40.385,407.5,18.0
40.445,407.5,18.0
40.505,407.5,18.0
40.565,407.5,18.0
40.625,407.5,18.0
40.685,407.5,18.0
40.745,407.5,18.0
40.805,407.5,18.0
40.865,407.75,18.0
40.925,407.5,18.0
40.985,407.5,18.0
41.045,407.75,18.0
41.105,407.75,18.0
41.165,407.75,18.0
41.225,407.75,18.0
41.285,407.5,18.0
41.345,407.75,18.0
41.405,407.75,18.0
41.465,407.75,18.0
41.525,407.75,18.0
41.585,407.75,18.0
41.645,407.5,18.0
41.705,407.5,18.0
41.765,407.75,18.0
41.825,407.75,18.0
41.885,407.75,18.0
41.945,407.75,18.0
42.005,407.5,18.0
42.065,407.5,18.0
42.125,407.75,18.0
42.185,407.75,18.0
42.245,407.75,18.0
42.305,407.75,18.0
42.365,407.75,18.0
42.425,407.5,18.0
42.485,407.75,18.0
42.545,407.75,18.0
42.605,407.75,18.0
42.665,407.75,18.0
42.725,407.75,18.0
42.785,407.75,18.0
42.845,407.75,18.0
42.905,407.75,18.0
42.965,407.75,18.0
43.025,407.75,18.0
43.085,407.75,18.0
43.145,407.75,18.0
43.205,407.75,18.0
43.265,407.75,18.0
43.325,407.75,18.0
43.385,407.75,18.0
43.445,407.75,18.0
43.505,407.75,18.0
43.565,407.75,18.0
43.625,407.5,18.0
43.685,407.5,18.0
43.745,407.75,18.0
43.805,407.75,18.0
43.865,407.75,18.0
43.925,407.75,18.0
43.985,407.5,18.0
44.045,407.75,18.0
44.105,407.5,18.0
44.165,407.75,18.0
44.225,407.75,18.0
44.285,407.5,18.0
44.345,407.75,18.0
44.405,407.75,18.0
44.465,407.5,18.0
44.525,407.5,18.0
44.585,407.5,18.0
44.645,407.75,18.0
44.705,407.75,18.0
44.765,407.75,18.0
44.825,407.75,18.0
44.885,407.75,18.0
44.945,407.75,18.0
45.005,407.75,18.0
45.065,407.75,18.0
45.125,407.75,18.0
45.185,407.75,18.0
45.245,407.75,18.0
45.305,407.75,18.0
45.365,407.75,18.0
