#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Bake Time: 60 min
#	Baking Position: 18 in
#	DC Voltage: 0
#	Voltage Mode: PID
#	Sample Length: 5 cm
#	Sample Name: R4N32_CYREZ
#	Ramping rate: 25 C/min
#	Temperature setpoint: 800 C
#	Stabilization Time: 5 min
#Data:
Time (s),Baking Pressure (Torr),Outgassing Pressure (Torr),Baking Temperature (C),Outgassing Temperature (C),Position (in),DC Voltage (V),Is Baking?
5799.6753759384155,0.042,0.028999999999999998,800.75,210.0,8.61755905511811,195.73964923356723,0.0
5801.114119052887,0.042,0.028999999999999998,800.75,211.0,8.747874015748032,88.84806496757926,0.0
5802.748381614685,0.042,0.028999999999999998,801.0,212.25,8.643622047244094,200.0,0.0
5803.7584438323975,0.042,0.028999999999999998,801.5,212.25,8.61755905511811,0,0.0
5805.059926509857,0.042,0.028999999999999998,802.0,211.75,8.643622047244094,39.83121667552176,0.0
5806.415729522705,0.042,0.028999999999999998,801.5,211.25,8.565433070866142,200.0,0.0
5807.444301843643,0.042,0.028999999999999998,801.75,210.5,8.61755905511811,84.8929892457614,0.0
5808.445956468582,0.042,0.028999999999999998,802.0,210.75,8.61755905511811,0,0.0
5809.47162270546,0.042,0.028999999999999998,801.75,210.25,8.604527559055118,130.13780697243774,0.0
5810.533968448639,0.042,0.028999999999999998,801.5,210.0,8.591496062992125,158.98054951125368,0.0
5811.556119680405,0.042,0.028999999999999998,801.5,210.0,8.591496062992125,34.293807887214086,0.0
5812.975107908249,0.042,0.028999999999999998,801.5,210.25,8.604527559055118,84.75213732927472,0.0
5813.997700691223,0.042,0.028999999999999998,801.25,210.25,8.68271653543307,58.74483484740112,0.0
5815.577003002167,0.042,0.028999999999999998,800.75,210.75,8.61755905511811,43.1998571927458,0.0
5816.602406978607,0.042,0.028999999999999998,800.75,210.75,8.591496062992125,24.896853071936476,0.0
5817.701085090637,0.042,0.028999999999999998,800.5,210.0,8.604527559055118,87.45234973694777,0.0
5819.311461687088,0.042,0.028999999999999998,800.0,210.25,8.604527559055118,200.0,0.0
5820.332230091095,0.042,0.028999999999999998,799.5,210.5,8.578464566929133,200.0,0.0
5821.361286878586,0.042,0.028999999999999998,800.0,210.5,8.656653543307085,17.825355085901776,0.0
5822.368880748749,0.042,0.028999999999999998,800.5,210.0,8.604527559055118,0,0.0
5823.391733646393,0.042,0.028999999999999998,800.75,210.5,8.61755905511811,86.58871370476002,0.0
5824.4157683849335,0.042,0.028999999999999998,800.75,210.25,8.565433070866142,177.94288486909375,0.0
5825.431090831757,0.042,0.028999999999999998,800.75,210.0,8.6305905511811,118.42839574545081,0.0
5826.442736148834,0.042,0.028999999999999998,801.0,210.25,7.405629921259842,0,0.0
5827.4625124931335,0.042,0.028999999999999998,801.0,210.0,8.61755905511811,41.87885870138224,0.0
5828.555754184723,0.042,0.028999999999999998,800.5,210.0,8.565433070866142,160.78137893696464,0.0
5829.838245630264,0.042,0.028999999999999998,799.75,210.75,8.552401574803149,110.97862498958041,0.0
5831.012059926987,0.042,0.028999999999999998,799.5,210.25,9.047598425196849,137.92729589293697,0.0
5832.213111877441,0.042,0.028999999999999998,799.75,210.25,8.6305905511811,45.61137575827236,0.0
5833.271591186523,0.042,0.028999999999999998,799.75,210.0,8.6305905511811,52.40856713121682,0.0
5834.289395332336,0.042,0.028999999999999998,799.25,210.25,8.552401574803149,164.7022597957121,0.0
5835.609916448593,0.042,0.028999999999999998,798.5,210.0,8.6305905511811,115.05263802542348,0.0
5836.747520685196,0.042,0.028999999999999998,798.25,210.0,8.695748031496061,147.44278700537419,0.0
