# "Outgoing Spectral Radiance Values for OL 455-12-1 (Cal: 12-2) S/N: 04203031","[W/(sr cm^2 nm)]",140129,350.00,2500.00,1.00
# 6.145A Lamp current, 8,902 ft-L
Wavelength [nm],Spectral radiance [W/(sr cm^2 nm)]
786.00,8.2619300E-05
787.00,8.2674330E-05
788.00,8.2728520E-05
789.00,8.2782250E-05
790.00,8.2835900E-05
791.00,8.2897320E-05
792.00,8.2958960E-05
793.00,8.3020760E-05
794.00,8.3082650E-05
795.00,8.3144560E-05
796.00,8.3206400E-05
797.00,8.3268120E-05
798.00,8.3329640E-05
799.00,8.3390890E-05
800.00,8.3451800E-05
801.00,8.3510990E-05
802.00,8.3569770E-05
803.00,8.3628150E-05
804.00,8.3686140E-05
805.00,8.3743750E-05
806.00,8.3800980E-05
807.00,8.3857840E-05
808.00,8.3914350E-05
809.00,8.3970500E-05
810.00,8.4026300E-05
811.00,8.4082380E-05
812.00,8.4138100E-05
813.00,8.4193410E-05
814.00,8.4248300E-05
815.00,8.4302740E-05
816.00,8.4356680E-05
817.00,8.4410110E-05
818.00,8.4462990E-05
819.00,8.4515300E-05
820.00,8.4567000E-05
821.00,8.4616240E-05
822.00,8.4664930E-05
823.00,8.4713150E-05
824.00,8.4760960E-05
825.00,8.4808470E-05
826.00,8.4855740E-05
827.00,8.4902860E-05
828.00,8.4949900E-05
829.00,8.4996960E-05
830.00,8.5044100E-05
831.00,8.5093530E-05
832.00,8.5143080E-05
833.00,8.5192700E-05
834.00,8.5242350E-05
835.00,8.5291970E-05
836.00,8.5341530E-05
837.00,8.5390970E-05
838.00,8.5440240E-05
839.00,8.5489300E-05
840.00,8.5538100E-05
841.00,8.5584870E-05
842.00,8.5631390E-05
843.00,8.5677710E-05
844.00,8.5723890E-05
845.00,8.5769990E-05
846.00,8.5816060E-05
847.00,8.5862160E-05
848.00,8.5908340E-05
849.00,8.5954670E-05
850.00,8.6001200E-05
851.00,8.6049210E-05
852.00,8.6097470E-05
853.00,8.6145940E-05
854.00,8.6194600E-05
855.00,8.6243460E-05
856.00,8.6292470E-05
857.00,8.6341630E-05
858.00,8.6390920E-05
859.00,8.6440310E-05
860.00,8.6489800E-05
861.00,8.6539050E-05
862.00,8.6588380E-05
863.00,8.6637770E-05
864.00,8.6687240E-05
865.00,8.6736790E-05
866.00,8.6786400E-05
867.00,8.6836090E-05
868.00,8.6885850E-05
869.00,8.6935690E-05
870.00,8.6985600E-05
871.00,8.7036130E-05
872.00,8.7086700E-05
873.00,8.7137280E-05
874.00,8.7187830E-05
875.00,8.7238320E-05
876.00,8.7288730E-05
877.00,8.7339010E-05
878.00,8.7389140E-05
879.00,8.7439080E-05
880.00,8.7488800E-05
881.00,8.7533770E-05
882.00,8.7578720E-05
883.00,8.7623900E-05
884.00,8.7669540E-05
885.00,8.7715890E-05
886.00,8.7763180E-05
887.00,8.7811660E-05
888.00,8.7861560E-05
889.00,8.7913130E-05
890.00,8.7966600E-05
891.00,8.8034660E-05
892.00,8.8104360E-05
893.00,8.8175160E-05
894.00,8.8246570E-05
895.00,8.8318060E-05
896.00,8.8389130E-05
897.00,8.8459250E-05
898.00,8.8527910E-05
899.00,8.8594600E-05
900.00,8.8658800E-05
901.00,8.8709800E-05
902.00,8.8757900E-05
903.00,8.8803210E-05
904.00,8.8845820E-05
905.00,8.8885850E-05
906.00,8.8923390E-05
907.00,8.8958560E-05
908.00,8.8991440E-05
909.00,8.9022160E-05
910.00,8.9050800E-05
911.00,8.9077380E-05
912.00,8.9102100E-05
913.00,8.9125080E-05
914.00,8.9146420E-05
915.00,8.9166230E-05
916.00,8.9184620E-05
917.00,8.9201710E-05
918.00,8.9217590E-05
919.00,8.9232390E-05
920.00,8.9246200E-05
921.00,8.9259040E-05
922.00,8.9271120E-05
923.00,8.9282570E-05
924.00,8.9293490E-05
925.00,8.9304000E-05
926.00,8.9314220E-05
927.00,8.9324270E-05
928.00,8.9334250E-05
929.00,8.9344290E-05
930.00,8.9354500E-05
931.00,8.9364890E-05
932.00,8.9375690E-05
933.00,8.9387030E-05
934.00,8.9399010E-05
935.00,8.9411770E-05
936.00,8.9425440E-05
937.00,8.9440120E-05
938.00,8.9455940E-05
939.00,8.9473030E-05
940.00,8.9491500E-05
941.00,8.9511370E-05
942.00,8.9532890E-05
943.00,8.9556170E-05
944.00,8.9581340E-05
945.00,8.9608540E-05
946.00,8.9637890E-05
947.00,8.9669520E-05
948.00,8.9703570E-05
949.00,8.9740150E-05
950.00,8.9779400E-05
951.00,8.9830920E-05
952.00,8.9884790E-05
953.00,8.9940570E-05
954.00,8.9997810E-05
955.00,9.0056070E-05
956.00,9.0114900E-05
957.00,9.0173850E-05
958.00,9.0232480E-05
959.00,9.0290340E-05
960.00,9.0347000E-05
961.00,9.0392290E-05
962.00,9.0436070E-05
963.00,9.0478480E-05
964.00,9.0519660E-05
965.00,9.0559760E-05
966.00,9.0598920E-05
967.00,9.0637280E-05
968.00,9.0674980E-05
969.00,9.0712180E-05
970.00,9.0749000E-05
971.00,9.0797230E-05
972.00,9.0844670E-05
973.00,9.0890760E-05
974.00,9.0934940E-05
975.00,9.0976640E-05
976.00,9.1015310E-05
977.00,9.1050390E-05
978.00,9.1081300E-05
979.00,9.1107490E-05
980.00,9.1128400E-05
981.00,9.1124180E-05
982.00,9.1114720E-05
983.00,9.1100620E-05
984.00,9.1082510E-05
985.00,9.1060980E-05
986.00,9.1036630E-05
987.00,9.1010090E-05
988.00,9.0981940E-05
989.00,9.0952810E-05
990.00,9.0923300E-05
991.00,9.0905610E-05
992.00,9.0888040E-05
993.00,9.0870510E-05
994.00,9.0852920E-05
995.00,9.0835170E-05
996.00,9.0817160E-05
997.00,9.0798810E-05
998.00,9.0780010E-05
999.00,9.0760670E-05
1000.00,9.0740700E-05
1001.00,9.0722830E-05
1002.00,9.0703970E-05
1003.00,9.0683830E-05
1004.00,9.0662160E-05
1005.00,9.0638690E-05
1006.00,9.0613140E-05
1007.00,9.0585260E-05
1008.00,9.0554770E-05
1009.00,9.0521410E-05
1010.00,9.0484900E-05
1011.00,9.0423050E-05
1012.00,9.0358850E-05
1013.00,9.0293360E-05
1014.00,9.0227650E-05
1015.00,9.0162780E-05
1016.00,9.0099800E-05
1017.00,9.0039780E-05
1018.00,8.9983780E-05
1019.00,8.9932870E-05
1020.00,8.9888100E-05
1021.00,8.9890450E-05
1022.00,8.9898650E-05
1023.00,8.9911330E-05
1024.00,8.9927160E-05
1025.00,8.9944760E-05
1026.00,8.9962780E-05
1027.00,8.9979860E-05
1028.00,8.9994640E-05
1029.00,9.0005780E-05
1030.00,9.0011900E-05
1031.00,8.9978810E-05
1032.00,8.9939990E-05
1033.00,8.9896070E-05
1034.00,8.9847680E-05
1035.00,8.9795460E-05
1036.00,8.9740030E-05
1037.00,8.9682040E-05
1038.00,8.9622120E-05
1039.00,8.9560890E-05
1040.00,8.9499000E-05
1041.00,8.9448030E-05
1042.00,8.9396990E-05
1043.00,8.9345860E-05
1044.00,8.9294600E-05
1045.00,8.9243190E-05
1046.00,8.9191590E-05
1047.00,8.9139770E-05
1048.00,8.9087700E-05
1049.00,8.9035360E-05
1050.00,8.8982700E-05
1051.00,8.8927940E-05
1052.00,8.8872910E-05
1053.00,8.8817700E-05
1054.00,8.8762380E-05
1055.00,8.8707020E-05
1056.00,8.8651700E-05
1057.00,8.8596510E-05
1058.00,8.8541510E-05
1059.00,8.8486780E-05
1060.00,8.8432400E-05
1061.00,8.8383090E-05
1062.00,8.8333990E-05
1063.00,8.8284920E-05
1064.00,8.8235650E-05
1065.00,8.8185990E-05
1066.00,8.8135730E-05
1067.00,8.8084660E-05
1068.00,8.8032590E-05
1069.00,8.7979300E-05
1070.00,8.7924600E-05
1071.00,8.7860890E-05
1072.00,8.7795790E-05
1073.00,8.7729560E-05
1074.00,8.7662440E-05
1075.00,8.7594660E-05
1076.00,8.7526480E-05
1077.00,8.7458120E-05
1078.00,8.7389850E-05
1079.00,8.7321890E-05
1080.00,8.7254500E-05
1081.00,8.7196500E-05
1082.00,8.7139030E-05
1083.00,8.7081810E-05
1084.00,8.7024560E-05
1085.00,8.6967000E-05
1086.00,8.6908860E-05
1087.00,8.6849860E-05
1088.00,8.6789710E-05
1089.00,8.6728150E-05
1090.00,8.6664900E-05
1091.00,8.6599260E-05
1092.00,8.6531400E-05
1093.00,8.6461060E-05
1094.00,8.6387990E-05
1095.00,8.6311930E-05
1096.00,8.6232630E-05
1097.00,8.6149850E-05
1098.00,8.6063310E-05
1099.00,8.5972780E-05
1100.00,8.5878000E-05
1101.00,8.5782030E-05
1102.00,8.5681110E-05
1103.00,8.5574770E-05
1104.00,8.5462560E-05
1105.00,8.5344040E-05
1106.00,8.5218740E-05
1107.00,8.5086210E-05
1108.00,8.4945990E-05
1109.00,8.4797640E-05
1110.00,8.4640700E-05
1111.00,8.4431040E-05
1112.00,8.4214520E-05
1113.00,8.3993350E-05
1114.00,8.3769710E-05
1115.00,8.3545790E-05
1116.00,8.3323790E-05
1117.00,8.3105890E-05
1118.00,8.2894300E-05
1119.00,8.2691210E-05
1120.00,8.2498800E-05
1121.00,8.2373710E-05
1122.00,8.2260390E-05
1123.00,8.2157740E-05
1124.00,8.2064640E-05
1125.00,8.1980010E-05
1126.00,8.1902720E-05
1127.00,8.1831670E-05
1128.00,8.1765750E-05
1129.00,8.1703870E-05
1130.00,8.1644900E-05
1131.00,8.1575600E-05
1132.00,8.1507750E-05
1133.00,8.1440980E-05
1134.00,8.1374900E-05
1135.00,8.1309160E-05
1136.00,8.1243390E-05
1137.00,8.1177200E-05
1138.00,8.1110240E-05
1139.00,8.1042130E-05
1140.00,8.0972500E-05
1141.00,8.0879170E-05
1142.00,8.0784900E-05
1143.00,8.0690650E-05
1144.00,8.0597360E-05
1145.00,8.0505990E-05
1146.00,8.0417490E-05
1147.00,8.0332810E-05
1148.00,8.0252900E-05
1149.00,8.0178710E-05
1150.00,8.0111200E-05
1151.00,8.0098520E-05
1152.00,8.0091570E-05
1153.00,8.0088410E-05
1154.00,8.0087160E-05
1155.00,8.0085890E-05
1156.00,8.0082700E-05
1157.00,8.0075670E-05
1158.00,8.0062900E-05
1159.00,8.0042480E-05
1160.00,8.0012500E-05
1161.00,7.9929570E-05
1162.00,7.9835770E-05
1163.00,7.9731700E-05
1164.00,7.9617980E-05
1165.00,7.9495200E-05
1166.00,7.9363970E-05
1167.00,7.9224890E-05
1168.00,7.9078560E-05
1169.00,7.8925600E-05
1170.00,7.8766600E-05
1171.00,7.8573910E-05
1172.00,7.8378100E-05
1173.00,7.8181490E-05
1174.00,7.7986400E-05
1175.00,7.7795140E-05
1176.00,7.7610040E-05
1177.00,7.7433410E-05
1178.00,7.7267560E-05
1179.00,7.7114820E-05
1180.00,7.6977500E-05
1181.00,7.6928380E-05
1182.00,7.6895050E-05
1183.00,7.6875550E-05
1184.00,7.6867920E-05
1185.00,7.6870210E-05
1186.00,7.6880470E-05
1187.00,7.6896740E-05
1188.00,7.6917080E-05
1189.00,7.6939510E-05
1190.00,7.6962100E-05
1191.00,7.6956210E-05
1192.00,7.6948180E-05
1193.00,7.6937670E-05
1194.00,7.6924340E-05
1195.00,7.6907870E-05
1196.00,7.6887900E-05
1197.00,7.6864110E-05
1198.00,7.6836150E-05
1199.00,7.6803700E-05
1200.00,7.6766400E-05
1201.00,7.6707830E-05
1202.00,7.6644720E-05
1203.00,7.6577710E-05
1204.00,7.6507440E-05
1205.00,7.6434550E-05
1206.00,7.6359670E-05
1207.00,7.6283450E-05
1208.00,7.6206520E-05
1209.00,7.6129530E-05
1210.00,7.6053100E-05
1211.00,7.5991970E-05
1212.00,7.5931830E-05
1213.00,7.5872470E-05
1214.00,7.5813670E-05
1215.00,7.5755220E-05
1216.00,7.5696900E-05
1217.00,7.5638490E-05
1218.00,7.5579780E-05
1219.00,7.5520560E-05
1220.00,7.5460600E-05
1221.00,7.5396270E-05
1222.00,7.5330990E-05
1223.00,7.5264740E-05
1224.00,7.5197520E-05
1225.00,7.5129330E-05
1226.00,7.5060140E-05
1227.00,7.4989970E-05
1228.00,7.4918790E-05
1229.00,7.4846600E-05
1230.00,7.4773400E-05
1231.00,7.4697360E-05
1232.00,7.4620390E-05
1233.00,7.4542600E-05
1234.00,7.4464100E-05
1235.00,7.4384970E-05
1236.00,7.4305340E-05
1237.00,7.4225290E-05
1238.00,7.4144930E-05
1239.00,7.4064370E-05
1240.00,7.3983700E-05
1241.00,7.3907160E-05
1242.00,7.3830470E-05
1243.00,7.3753470E-05
1244.00,7.3676040E-05
1245.00,7.3598000E-05
1246.00,7.3519220E-05
1247.00,7.3439550E-05
1248.00,7.3358840E-05
1249.00,7.3276940E-05
1250.00,7.3193700E-05
1251.00,7.3104160E-05
1252.00,7.3013280E-05
1253.00,7.2921200E-05
1254.00,7.2828070E-05
1255.00,7.2734030E-05
1256.00,7.2639220E-05
1257.00,7.2543790E-05
1258.00,7.2447880E-05
1259.00,7.2351640E-05
1260.00,7.2255200E-05
1261.00,7.2147010E-05
1262.00,7.2039620E-05
1263.00,7.1933890E-05
1264.00,7.1830680E-05
1265.00,7.1730830E-05
1266.00,7.1635190E-05
1267.00,7.1544630E-05
1268.00,7.1459990E-05
1269.00,7.1382130E-05
1270.00,7.1311900E-05
1271.00,7.1292090E-05
1272.00,7.1279080E-05
1273.00,7.1271170E-05
1274.00,7.1266680E-05
1275.00,7.1263930E-05
1276.00,7.1261210E-05
1277.00,7.1256850E-05
1278.00,7.1249150E-05
1279.00,7.1236430E-05
1280.00,7.1217000E-05
1281.00,7.1149470E-05
1282.00,7.1074250E-05
1283.00,7.0992070E-05
1284.00,7.0903650E-05
1285.00,7.0809690E-05
1286.00,7.0710930E-05
1287.00,7.0608070E-05
1288.00,7.0501830E-05
1289.00,7.0392940E-05
1290.00,7.0282100E-05
1291.00,7.0182280E-05
1292.00,7.0081220E-05
1293.00,6.9978880E-05
1294.00,6.9875250E-05
1295.00,6.9770300E-05
1296.00,6.9664000E-05
1297.00,6.9556340E-05
1298.00,6.9447290E-05
1299.00,6.9336810E-05
1300.00,6.9224900E-05
1301.00,6.9107010E-05
1302.00,6.8987910E-05
1303.00,6.8867840E-05
1304.00,6.8747060E-05
1305.00,6.8625800E-05
1306.00,6.8504320E-05
1307.00,6.8382880E-05
1308.00,6.8261710E-05
1309.00,6.8141070E-05
1310.00,6.8021200E-05
1311.00,6.7911510E-05
1312.00,6.7802540E-05
1313.00,6.7693990E-05
1314.00,6.7585540E-05
1315.00,6.7476890E-05
1316.00,6.7367740E-05
1317.00,6.7257790E-05
1318.00,6.7146710E-05
1319.00,6.7034220E-05
1320.00,6.6920000E-05
1321.00,6.6802150E-05
1322.00,6.6682060E-05
1323.00,6.6559520E-05
1324.00,6.6434320E-05
1325.00,6.6306260E-05
1326.00,6.6175110E-05
1327.00,6.6040690E-05
1328.00,6.5902760E-05
1329.00,6.5761140E-05
1330.00,6.5615600E-05
1331.00,6.5505820E-05
1332.00,6.5389300E-05
1333.00,6.5263400E-05
1334.00,6.5125500E-05
1335.00,6.4972980E-05
1336.00,6.4803210E-05
1337.00,6.4613560E-05
1338.00,6.4401410E-05
1339.00,6.4164130E-05
1340.00,6.3899100E-05
1341.00,6.3514960E-05
1342.00,6.3103180E-05
1343.00,6.2666530E-05
1344.00,6.2207760E-05
1345.00,6.1729610E-05
1346.00,6.1234840E-05
1347.00,6.0726210E-05
1348.00,6.0206450E-05
1349.00,5.9678330E-05
1350.00,5.9144600E-05
1351.00,5.8571730E-05
1352.00,5.8000940E-05
1353.00,5.7437200E-05
1354.00,5.6885440E-05
1355.00,5.6350630E-05
1356.00,5.5837700E-05
1357.00,5.5351610E-05
1358.00,5.4897320E-05
1359.00,5.4479760E-05
1360.00,5.4103900E-05
1361.00,5.3936770E-05
1362.00,5.3811400E-05
1363.00,5.3722940E-05
1364.00,5.3666490E-05
1365.00,5.3637190E-05
1366.00,5.3630170E-05
1367.00,5.3640560E-05
