time (s),T1 (C),T2 (C),T3 (C),T4 (C),T5 (C)
7.25,38.0,38.0,39.5,46.0,45.5
7.300000000000001,38.0,38.0,39.5,46.0,45.5
7.3500000000000005,38.0,38.00000000000004,39.5,46.0,45.5
7.4,38.0,38.25,39.5,46.0,45.5
7.45,38.0,38.25,39.5,46.0,45.5
7.5,38.0,38.25,39.75,45.75,45.5
7.550000000000001,38.0,38.25,39.75,46.0,45.5
7.6000000000000005,38.0,38.25,39.75,45.99999999999996,45.5
7.65,38.0,38.25,39.75,45.75,45.5
7.7,38.0,38.25,39.75,45.75,45.5
7.75,38.0,38.25,39.75,45.75,45.5
7.800000000000001,38.0,38.25000000000004,39.75,45.75,45.5
7.8500000000000005,38.0,38.5,39.75,45.75,45.5
7.9,38.0,38.5,39.75,45.75,45.5
7.95,38.0,38.5,39.5,45.75,45.5
8.0,38.0,38.5,39.5,45.75,45.5
8.05,38.25,38.5,39.75,45.5,45.5
8.1,38.25,38.5,40.0,45.5,45.5
8.15,38.25,38.5,40.0,45.5,45.5
8.200000000000001,38.25,38.5,40.0,45.5,45.5
8.25,38.25,38.5,40.0,45.5,45.5
8.3,38.0,38.5,40.0,45.5,45.5
8.35,38.25,38.75,40.0,45.5,45.5
8.4,38.25,38.75,40.0,45.5,45.5
8.450000000000001,38.25,38.75,40.0,45.5,45.5
8.5,38.25,38.75,40.0,45.5,45.5
8.55,38.25,38.75,40.0,45.5,45.5
8.6,38.25,38.75,40.0,45.5,45.5
8.65,38.25,39.0,40.0,45.5,45.5
8.700000000000001,38.25,39.0,40.0,45.5,45.5
8.75,38.25,39.0,40.0,45.5,45.5
8.8,38.25,39.0,40.0,45.5,45.5
8.85,38.25,39.0,40.0,45.5,45.5
8.9,38.25,39.0,40.0,45.5,45.5
8.950000000000001,38.25,39.0,40.0,45.25,45.5
9.0,38.25,39.0,40.25,45.25,45.5
9.05,38.25,39.0,40.25,45.25,45.5
9.1,38.25,39.0,40.25,45.25,45.5
9.15,38.25,39.0,40.25,45.25,45.5
9.200000000000001,38.25,39.0,40.25,45.25,45.5
9.25,38.25,39.25,40.25,45.25,45.5
9.3,38.25,39.25,40.25,45.25,45.5
9.35,38.25,39.25,40.25,45.25,45.5
9.4,38.25,39.25,40.25,45.25,45.5
9.450000000000001,38.25,39.25,40.25,45.25,45.5
9.5,38.5,39.25,40.25,45.25,45.5
9.55,38.5,39.25,40.25,45.25,45.5
9.600000000000001,38.5,39.25,40.25,45.25,45.5
9.65,38.5,39.25,40.25,45.0,45.5
9.700000000000001,38.5,39.25,40.25,45.0,45.5
9.75,38.5,39.25,40.25,45.0,45.5
9.8,38.5,39.25,40.25,45.0,45.5
9.850000000000001,38.5,39.25,40.25,45.0,45.5
9.9,38.5,39.25,40.25,45.0,45.5
9.950000000000001,38.25,39.25,40.25,45.0,45.5
10.0,38.5,39.25,40.25,45.0,45.5
10.05,38.5,39.25,40.25,45.0,45.5
10.100000000000001,38.5,39.25,40.25,45.0,45.5
10.15,38.5,39.25,40.25,44.75,45.5
10.200000000000001,38.5,39.25,40.5,44.75,45.5
10.25,38.5,39.25,40.5,45.0,45.5
10.3,38.5,39.25,40.5,44.75,45.5
10.350000000000001,38.5,39.5,40.5,44.75,45.5
10.4,38.5,39.5,40.5,44.75,45.5
10.450000000000001,38.5,39.25,40.5,44.75,45.5
10.5,38.5,39.25,40.5,44.75,45.5
10.55,38.5,39.25,40.5,44.75,45.5
10.600000000000001,38.5,39.5,40.5,44.75,45.5
10.65,38.5,39.5,40.5,44.75,45.5
10.700000000000001,38.5,39.5,40.5,44.75,45.5
10.75,38.5,39.5,40.5,44.5,45.5
10.8,38.5,39.5,40.5,44.5,45.5
10.850000000000001,38.5,39.5,40.5,44.75,45.5
10.9,38.5,39.5,40.5,44.5,45.5
10.950000000000001,38.5,39.5,40.5,44.5,45.5
11.0,38.5,39.5,40.5,44.5,45.5
11.05,38.5,39.5,40.5,44.5,45.5
11.100000000000001,38.5,39.75,40.5,44.5,45.5
11.15,38.5,39.75,40.5,44.5,45.5
11.200000000000001,38.5,39.5,40.5,44.5,45.5
11.25,38.5,39.5,40.5,44.5,45.5
11.3,38.5,39.5,40.5,44.5,45.5
11.350000000000001,38.5,39.5,40.5,44.5,45.5
11.4,38.5,39.75,40.5,44.5,45.5
11.450000000000001,38.5,39.75,40.5,44.5,45.5
11.5,38.5,39.75,40.5,44.25,45.5
11.55,38.5,39.75,40.5,44.25,45.5
11.600000000000001,38.5,39.75,40.75,44.25,45.5
11.65,38.5,39.75,40.75,44.5,45.5
11.700000000000001,38.5,39.75,40.75,44.25,45.5
