t (s),q (A)
0.3241599999999989,0.7424106451211051
0.32418000000000025,0.7424396364447285
0.3241999999999994,0.7424686049530573
0.3242200000000003,0.7424975488080632
0.32423999999999975,0.7425264519876689
0.3242599999999989,0.7425553100150708
0.3242799999999998,0.7425841203642614
0.32429999999999926,0.7426128940871235
0.32432000000000016,0.7426416524891587
0.3243399999999992,0.7426704062339404
0.32436000000000054,0.7426991477789855
0.32437999999999967,0.7427278717312844
0.3243999999999987,0.7427565765859916
0.32442000000000004,0.7427852619854947
0.3244399999999992,0.7428139265419733
0.3244600000000001,0.7428425755681662
0.32447999999999955,0.742871210699619
0.3245000000000009,0.7428998346680171
0.3245199999999995,0.7429284454734665
0.32453999999999905,0.7429570516668904
0.32455999999999996,0.7429856558308503
0.324579999999999,0.7430142554450305
0.32460000000000033,0.7430428500898398
0.32461999999999946,0.7430714376340366
0.3246400000000004,0.7431000065103366
0.32465999999999984,0.7431285580925566
0.32467999999999897,0.7431570947444648
0.32469999999999977,0.7431856202483103
0.3247199999999989,0.7432141252016519
0.32474000000000025,0.7432426149896815
0.32475999999999927,0.7432710876110732
0.3247800000000006,0.7432995426801547
0.32479999999999976,0.7433279720257414
0.3248199999999988,0.7433563761874102
0.3248399999999997,0.743384754557294
0.32485999999999926,0.7434131065973171
0.32488000000000006,0.7434414308559439
0.32489999999999963,0.7434697333188357
0.32492000000000054,0.7434980141339999
0.32493999999999956,0.7435262658294417
0.32495999999999914,0.743554479739972
0.32498000000000005,0.7435826618279122
0.32499999999999907,0.7436108161358816
0.3250200000000004,0.7436389576652371
0.32503999999999955,0.7436670953255213
0.3250599999999986,0.7436952378572981
0.3250799999999999,0.7437233821412952
0.32509999999999895,0.7437515281440448
0.32511999999999985,0.7437796732898093
0.32513999999999943,0.7438078202146834
0.32516000000000034,0.743835953815339
0.32517999999999936,0.7438640733527864
0.32519999999999893,0.7438921807102766
0.32521999999999984,0.7439202793311888
0.32523999999999886,0.7439483647760881
0.3252600000000002,0.7439764421441843
0.32527999999999924,0.744004522412166
0.32530000000000014,0.7440326102344692
0.3253199999999997,0.7440606987608702
0.32533999999999874,0.7440887934983687
0.32535999999999965,0.7441168748580349
0.3253799999999992,0.7441449327083713
0.32540000000000013,0.7441729575884184
0.32541999999999915,0.7442009537795875
0.3254400000000005,0.744228919699575
0.3254599999999995,0.7442568582299742
0.32547999999999866,0.7442847810065134
0.3255,0.7443126896315889
0.32551999999999903,0.7443405830077697
0.32553999999999994,0.7443684555286145
0.3255599999999995,0.7443962966467694
0.3255800000000004,0.7444241021294571
0.32559999999999945,0.7444518755389126
0.325619999999999,0.7444796259328659
0.3256399999999998,0.7445073718437296
0.32565999999999895,0.7445351065305741
0.3256800000000003,0.7445628202738287
0.3256999999999993,0.7445905180975971
0.32572000000000023,0.7446182083552135
0.3257399999999998,0.7446458931919224
0.32575999999999883,0.7446735729494038
0.32577999999999974,0.7447012373125241
0.3257999999999993,0.7447288717832559
0.3258200000000001,0.7447564783491809
0.32583999999999924,0.7447840532546464
0.3258600000000006,0.7448116048164549
0.3258799999999996,0.7448391446498744
0.3258999999999992,0.7448666822338876
0.3259200000000001,0.7448942140609076
0.3259399999999991,0.7449217378893669
0.32596,0.7449492529863087
0.3259799999999996,0.7449767584489764
0.32600000000000096,0.7450042479329365
0.32601999999999953,0.7450317186207169
0.326039999999999,0.7450591663357125
0.3260599999999999,0.7450865875347747
0.3260799999999995,0.7451139851626798
0.3261000000000004,0.7451413662723312
