# Date and Time: Thu Oct  3 09:55:55 2024
# Software Version: 4.25.30005.0
# Temperature (C): -30
# Model: DH334T-18F-03
# Data Type: Counts
# Acquisition Mode: Accumulate
# Trigger Mode: Internal
# Exposure Time (secs): 1
# Accumulate Cycle Time (secs): 1.4025
# Frequency (Hz): 0.71303
# Number of Accumulations: 20
# Readout Mode: Full Vertical Binning
# Horizontal binning: 1
# Vertical Shift Speed (usecs): 6.5
# Pixel Readout Rate (MHz): 3
# Clock Amplitude: Normal
# Serial Number: 5364
# Pre-Amplifier Gain: 4
# Intelligate: off
# Insertion delay: ultra fast
# Gain level: 3000
# Integrate on chip: off
# Gate Mode: DDG on
# Gate Width (nsecs): 1e+09
# Gate Delay (nsecs): 130
# Spurious Noise Filter Mode: No Filter
# Photon counted: false
# Data Averaging Filter Mode: No Filter
# Mechelle: 
# Calibration Temperature: 0.0
# Current Temperature: 21.9
Wavelength (nm),Brightness (photons/cm^2/s/nm),Brightness error (photons/cm^2/s/nm)
351.09552,157624825468.45135,271905837274.7312
351.11722,315902741205.27313,511103672146.41876
351.13892,552970843.7164495,766538728.0159043
351.16061,0.0,0.0
351.18231,0.0,0.0
351.20401,303345278810.7306,283576073741.7402
351.22571,254882248965.07724,212355254347.3438
351.24744,264630792159.99954,195579617043.22736
351.26913,226094074205.3519,157417791334.7492
351.29083,251342722249.92175,168903462956.39398
351.31256,273060555127.13547,165826845880.20258
351.33426,273489564100.4559,127257880675.42206
351.35599,290462211690.3263,79089113569.71094
351.37772,257354920353.8525,44100911233.14554
351.39941,235631994601.83066,57121704460.981346
351.42114,213249871209.57626,77377646479.12646
351.44287,179015597826.0718,81013026204.52234
351.46457,173688323323.49594,88919994534.3751
351.4863,157341809129.6289,85028240827.36333
351.50803,129329604464.37817,73194358051.51259
351.52975,138787690502.125,89113684163.61707
351.55148,153464062185.0535,109336288588.99464
351.57321,163356755123.42523,124166895026.58774
351.59494,202625347860.33826,171442116649.74567
351.61667,242417061697.05563,234599787129.90207
351.6384,232434149695.91486,249236339507.16974
351.66013,172854617420.7408,202553364351.51102
351.68188,154157076366.3941,195115367833.41437
351.70361,143013064484.9583,186817283058.86722
351.72534,165462999405.63245,218561934474.3491
351.7471,166326773615.79742,229824252308.7549
351.76883,154953029049.3443,222916893691.87247
351.79059,132037940912.33551,192261142706.0596
351.81232,138896514764.89514,203115480184.14633
351.83408,181256090106.95602,259497231281.8594
351.8558,173316146987.05887,235157344300.43954
351.87756,150777863456.45853,199452741979.11047
351.89932,150398208237.2114,199182985113.4026
351.92108,130125375020.04388,170654266352.56897
351.94281,120069810656.38039,157800309941.9015
351.96457,140677156750.07303,188837766250.14557
351.98633,134614036153.33907,179442258150.08325
352.00809,154630295871.37277,203226517384.8185
352.02985,177742123117.42383,237697675707.09482
352.05161,170426960350.53012,236639454855.48672
352.07336,187586796178.52176,274005896130.3876
352.09515,226801633224.53696,343484993498.9031
352.11691,208837356147.58292,317744977553.98663
352.13867,165887137397.7516,249924340012.4583
352.16043,183306240866.88904,276391212519.8345
352.18222,177532937395.36743,274623168002.45502
352.20398,214260939880.5824,342137144694.1395
352.22574,239004376525.24524,389139257723.5007
352.24753,181610333074.64294,298294717167.0039
352.26932,165399874722.78116,277342135012.62946
352.29108,173904832323.44904,302646472652.0983
352.31287,238353186180.5964,418834703226.76917
352.33463,337069037477.27814,574752346889.1047
352.35641,331896226921.83844,548219251832.39526
352.3782,310832425650.59344,516894835292.5682
352.39999,337510512682.53894,568621070791.9171
352.42178,316030616536.2459,503928541684.7815
352.44357,260077962903.4212,378052801007.32544
352.46536,306135859378.089,412470309035.401
352.48715,324164534261.3114,398749226409.15625
352.50894,315929227035.60376,341297553602.04425
352.53073,292330908259.6919,303489212762.4337
352.55252,332443430165.1277,393910405420.9415
352.57431,339880773504.117,473356638933.1735
352.5961,368978910793.02155,573924043678.8428
352.61792,399767383256.65173,637175497399.4996
352.63971,471159555713.4685,727696285719.1075
352.6615,463080028292.1397,671521441556.1151
352.68332,437457188797.3884,609314401734.2375
352.70511,434250114319.12195,592964106978.9005
352.72693,432500765022.56244,603016560298.538
352.74875,396632374240.4804,549791462979.9926
352.77054,404072681544.18866,546315814285.3143
352.79236,428349852019.99457,559637877888.1398
352.81418,489396766023.7568,609531556757.7332
352.83597,410791328863.81854,496698067545.2159
352.85779,377918298599.38715,452910471440.41223
352.87961,379603221089.5019,452611170221.38824
