# Results from black body fit 
# =========================== 
# Temperature [K]: 794.3 -/+ 51.6
# Scaling factor: 1.72E+01 -/+ 2.46E+01
# Fit local minima: True
# f_scale: 0.1
Wavelength (nm),Radiance (W/cm^2/ster/nm)
410.0329068609257,-6.693979123342286e-09
410.0585168609257,6.550333717796585e-08
410.0841168609257,1.9847524079703413e-07
410.1097168609257,3.6213269440206627e-07
410.1353268609257,4.385121509174933e-07
410.1609268609257,3.525600318618695e-07
410.1865368609257,1.7753701524681347e-07
410.2121368609257,5.7023316086850624e-08
410.2377768609257,5.13386396643609e-09
410.5452368609257,-1.0091368874797548e-08
410.5708668609257,-1.2909765905969864e-08
410.7760068609257,-1.120312934444916e-08
410.8016468609257,-1.03146616667625e-08
411.0069068609257,-6.9848431416769895e-09
411.0325768609257,-4.602684360238274e-09
411.0582368609257,-6.5785009733465485e-09
411.0839068609257,-1.1128440972127748e-08
411.4177068609257,-1.2295925925499413e-08
411.4433968609257,-9.236007339177638e-09
411.4690968609257,-1.1027573036433353e-08
411.4947868609258,-1.2446918520335623e-08
411.5204868609257,-1.2763850410638014e-08
411.5461868609258,-1.3134359205968385e-08
411.5718768609257,-1.3435025816502077e-08
411.5975768609257,-1.3528380875383177e-08
411.6232968609257,-1.1283696749008768e-08
411.6489968609257,-6.607031262142007e-09
411.6746968609257,-6.517514878644358e-09
411.7004168609257,-1.416013927451115e-08
411.9575568609257,-1.3567447801085961e-08
411.9832868609257,-4.043809677299412e-09
412.0090168609257,-1.0493594129261163e-08
412.0862268609257,-1.437889104973712e-08
412.4209068609257,-9.187876630192477e-09
412.4466368609257,-3.127013154250337e-10
412.4724268609257,-4.095092277255359e-09
412.4981768609257,-9.985076256029961e-09
412.5754468609257,-1.2796269662902486e-08
412.6012368609257,-5.951948355686976e-09
412.6269968609257,-2.4418431274757632e-09
412.6527468609257,-2.354019413190973e-10
412.6785368609257,5.509831332449873e-09
412.7042968609257,9.400650954073269e-09
412.7300868609257,5.638226287075218e-09
412.7558668609257,-6.67999338388713e-09
412.9105668609257,-1.3270191341044754e-08
412.9363468609257,-7.691228693341172e-09
412.9621368609257,-1.3486804127555776e-08
413.0394968609257,-7.102048435564635e-09
413.0653168609257,-2.051783499402626e-09
413.0911068609257,-5.1402620092784676e-09
413.1168968609257,-1.0667454465736045e-08
413.1427068609257,-1.3451067588284071e-08
413.1684968609257,-1.4041262407663862e-08
413.2201068609257,-1.4495625811495519e-08
413.6590968609258,-1.0886726692389739e-08
413.6849168609257,-1.1505224682574294e-08
413.7107668609257,-1.4556715199406595e-08
413.7624568609257,-1.357856492840495e-08
413.7882768609257,2.734652289188017e-10
413.8141268609257,3.5013261532289297e-09
413.8399768609257,2.3802992962386227e-09
413.8658268609257,1.2605616333784904e-09
413.8916768609257,-1.32160005557695e-09
413.9175168609258,-1.0786997086107296e-08
414.2020068609257,-7.255396524731706e-09
414.2278868609257,-1.4240754525330883e-09
414.2537668609257,3.3377696496223797e-09
414.2796468609257,3.2894847997326407e-09
414.3055168609257,-4.9203166081549896e-09
414.6161868609257,-9.14234228905813e-09
414.6420668609257,-7.805785461836297e-09
414.6679768609257,-1.3799577372449465e-08
414.9789268609257,-8.280189562254087e-09
415.0048668609257,-1.4280083912337036e-08
415.5756068609257,-5.4290330831865945e-09
418.2063368609257,-1.4515533195643259e-08
418.6246768609257,-1.1400017144791106e-08
418.6508268609257,-6.868783940172219e-09
418.6769768609257,-7.6297938200283e-09
418.7031668609257,-1.0299131822647409e-08
418.7293168609257,-1.0298072023285394e-08
418.7555068609257,-6.839852667354504e-09
418.7816568609257,-6.759418071178761e-09
418.8078368609257,-1.4657465689593745e-08
419.4626568609257,-1.3658150627676997e-08
419.4888668609257,-1.4563383606461114e-08
420.2498568609257,-1.2446525346433694e-08
420.2761368609257,-1.0256874045914634e-08
420.3024068609257,-1.363935447888441e-08
420.6966368609257,-1.7025831464328842e-09
420.7229068609257,2.1897394067216002e-08
420.7492168609257,2.2572630196086166e-08
420.7755268609257,1.194743782119499e-08
420.8018268609257,-2.559566106766784e-09
420.8281368609257,-1.3317405418739285e-08
420.9596668609257,-1.4680886488343956e-08
421.0386168609257,-1.1597150514735005e-08
421.0649168609257,-1.1248014625789735e-08
421.0912568609257,-1.4716258670645017e-08
421.1175668609257,-1.1798471846261441e-08
421.1438968609257,3.0844606699609394e-10
421.1702068609257,1.258392319827455e-08
421.1965468609257,1.3502720399598295e-08
421.2228768609257,1.5925323764156676e-11
421.3281968609257,-1.4648911017257634e-08
421.3545368609257,-8.361152680835493e-09
421.3808668609257,-7.011488670119667e-09
421.4072068609257,-1.3158253557699839e-08
421.4599068609257,-1.0872213606535478e-08
