# Results from black body fit 
# =========================== 
# Temperature [K]: 1062.1 -/+ 40.0
# Scaling factor: 3.77E-01 -/+ 2.36E-01
# Fit local minima: True
# f_scale: 0.1
Wavelength (nm),Radiance (W/cm^2/ster/nm)
401.8526777935923,8.861138765065389e-09
401.8777277935923,3.2846080866501203e-10
401.9027877935923,-1.8271694168440494e-08
401.9278777935923,-2.6940207602699214e-08
401.9529277935923,-1.2999905276806913e-08
401.9780177935923,1.0987076400841521e-08
402.0030677935923,3.106110408567651e-08
402.0281577935923,3.5805206172925655e-08
402.0532377935923,2.724403336369003e-08
402.0782977935923,1.8620773227543433e-08
402.1033777935923,1.753032442837701e-08
402.12846779359234,1.862335796957476e-08
402.15354779359234,1.500151656072943e-08
402.1786377935923,8.321638986898974e-09
402.2037177935923,3.906086373624265e-09
402.2288077935923,4.644790629885705e-09
402.2538877935923,1.985628084833347e-08
402.27897779359233,3.899742678702177e-08
402.3040677935924,5.957229303940611e-08
402.3291477935924,6.129680439064536e-08
402.3542677935923,4.617235692472715e-08
402.37934779359233,2.3816848242564437e-08
402.40446779359235,1.3912193382914083e-08
402.4295477935923,1.2240124591092574e-08
402.4546677935923,1.2996349100047142e-08
402.47975779359234,1.4316843179742803e-08
402.5048677935923,2.5074028982286367e-08
402.52998779359234,3.0290983145945445e-08
402.55506779359234,2.1122021696365995e-08
402.5801877935923,3.4164461106681485e-09
402.60529779359234,3.795015609428908e-10
402.6304177935923,4.041737809042121e-09
402.6555377935923,1.921830251478798e-09
402.6806477935923,5.461379411258807e-09
402.7057677935923,2.206728802384069e-08
402.7308777935923,3.1151029719397634e-08
402.7559977935923,3.146790073534812e-08
402.78111779359233,2.394980315288663e-08
402.8062577935923,2.3566479637347077e-08
402.8313777935924,2.828376782284812e-08
402.8564877935923,2.5725162207569933e-08
402.88163779359235,1.2506594703048313e-08
402.9067577935923,3.802893786360602e-09
402.9318977935923,1.8973534292370947e-08
402.9570477935923,3.465114651923466e-08
402.98216779359234,2.1645217442812026e-08
403.0073077935923,1.8863244967899767e-09
403.0324577935923,7.061433714927892e-09
403.0576077935923,2.8504199214236935e-08
403.08271779359234,3.685604042428936e-08
403.10786779359233,3.169491758039793e-08
403.1330077935923,3.039933041340714e-08
403.1581577935923,3.055617123300406e-08
403.18330779359235,2.8058983862711733e-08
403.2084777935923,2.6502347219703528e-08
403.23362779359235,3.5732276277952135e-08
403.25877779359234,2.9652000302313854e-08
403.2839177935924,2.0210953956213148e-08
403.30909779359234,4.822928921284291e-09
403.33424779359234,-7.563891226337188e-09
403.35941779359234,-9.426254735666595e-09
403.38456779359234,-4.388463287234991e-09
403.4097477935923,5.863517043955582e-09
403.43488779359234,8.144584305976909e-09
403.4600677935923,2.0802954323256098e-08
403.4852477935923,2.701848886520132e-08
403.5104277935923,9.672821592915664e-09
403.53559779359233,-1.3960313513365117e-08
403.5607477935923,-8.473462375970141e-09
403.5859277935923,2.0471510999899434e-09
403.6110977935923,-1.0788169557345035e-09
403.63627779359234,-4.0314925860431566e-09
403.6614877935923,3.4095517217050842e-09
403.6866577935923,8.863727606057086e-09
403.71183779359234,7.412278247330647e-09
403.7370177935923,8.024079032253011e-09
403.76222779359233,1.6993141293363175e-08
403.78739779359233,2.0106582152993197e-08
403.8125777935924,2.463673571388393e-08
403.8377877935923,1.7998938995888203e-08
403.8629877935924,7.911024879622593e-09
403.88816779359234,6.25341812162117e-09
