Time (s),Evaporation rate (atoms/s),Evaporation rate lb (atoms/s),Evaporation rate ub (atoms/s),DiMES temperature (K),Pebble rod temperature (K)
1.53629920000094,1671506929020296.0,437620541737669.2,7193520350828859.0,558.6755126953125,1591.6913795776823
1.5372952000034277,1634411170787958.5,426516896187616.7,7065257911326280.0,556.9525512695312,1590.7230465602947
1.5382901999983003,1643283578877328.8,429173371104344.25,7095929011598032.0,557.3649963378906,1590.955126887478
1.5392852000004495,1582786957274666.0,411048244812649.5,6886892393482642.0,554.5319580078125,1589.3655727864611
1.5402812000029371,1625521650084305.5,423854760251663.44,7034531984465917.0,556.538671875,1590.4901887364695
1.541276200005086,1630857220210376.5,425452664816855.44,7052973426694149.0,556.7871765136719,1590.6299926710242
1.5422722000002975,1630857220210376.5,425452664816855.44,7052973426694149.0,556.7871765136719,1590.6299926710242
1.5432672000024468,1625521650084305.5,423854760251663.44,7034531984465917.0,556.538671875,1590.4901887364695
1.5442622000045958,1614839581377101.5,420655045089940.06,6997616373302999.0,556.04013671875,1590.2099141277695
1.5452581999998074,1586343533562900.5,412114687311652.06,6899174753600961.0,554.7004760742187,1589.4595288945043
1.5462532000019564,1614839581377101.5,420655045089940.06,6997616373302999.0,556.04013671875,1590.2099141277695
1.547249200004444,1609494847944957.2,419053744746775.56,6979148434054854.0,555.7900756835937,1590.0694812532984
1.548244199999317,1582786957274666.0,411048244812649.5,6886892393482642.0,554.5319580078125,1589.3655727864611
1.549239200001466,1540412947413449.8,398331594839998.5,6740639537450311.0,552.4909729003906,1588.240169158586
1.5502352000039537,1573907228734220.8,408385089087331.4,6856231269851634.0,554.1096252441406,1589.1306757538332
1.5512301999988267,1597023926836031.5,415316481772890.9,6936064325720060.0,555.2045959472656,1589.7412634002621
1.5522262000013145,1581009517715988.2,410515230647162.25,6880754509767851.0,554.447607421875,1589.3185903968717
1.5532212000034633,1586343533562900.5,412114687311652.06,6899174753600961.0,554.7004760742187,1589.4595288945043
1.5542161999983364,1581009517715988.2,410515230647162.25,6880754509767851.0,554.447607421875,1589.3185903968717
