# Test Instrument: Cary 5000 (2223)
#
# Part No.: 100FL07-25
# Lot No.: 42128
# Serial No.: 26
# A.O.I. (deg): 0  (RANDOM Pol.)
# Temp. (C.): 23
#
Wavelength (nm),Tx. (%)
966.000000000,77.275283810
967.000000000,76.632865910
968.000000000,76.027915950
969.000000000,75.480453490
970.000000000,75.030532840
971.000000000,74.654144290
972.000000000,74.347984310
973.000000000,74.140052800
974.000000000,74.067970280
975.000000000,74.073211670
976.000000000,74.204078670
977.000000000,74.440361020
978.000000000,74.837265010
979.000000000,75.379142760
980.000000000,76.032890320
981.000000000,76.833320620
982.000000000,77.776016240
983.000000000,78.818710330
984.000000000,80.032142640
985.000000000,81.387519840
986.000000000,82.780105590
987.000000000,84.218727110
988.000000000,85.703231810
989.000000000,87.060073850
990.000000000,88.296279910
991.000000000,89.356246950
992.000000000,89.999855040
993.000000000,90.175407410
994.000000000,89.748298650
995.000000000,88.612098690
996.000000000,86.721885680
997.000000000,83.921058650
998.000000000,80.211624150
999.000000000,76.014778140
1000.000000000,71.015335080
1001.000000000,65.669212340
1002.000000000,60.177177430
1003.000000000,54.419452670
1004.000000000,48.774375920
1005.000000000,43.519920350
1006.000000000,38.608695980
1007.000000000,34.096309660
1008.000000000,30.030220030
1009.000000000,26.412105560
1010.000000000,23.117980960
1011.000000000,20.229600910
1012.000000000,17.814865110
1013.000000000,15.646598820
1014.000000000,13.763010030
1015.000000000,12.163089750
1016.000000000,10.717459680
1017.000000000,9.447504044
1018.000000000,8.407349586
1019.000000000,7.474744320
1020.000000000,6.658112049
1021.000000000,5.956924915
1022.000000000,5.331817150
1023.000000000,4.772704601
1024.000000000,4.291940689
1025.000000000,3.878409863
1026.000000000,3.500399351
1027.000000000,3.165247917
1028.000000000,2.873882532
1029.000000000,2.607374907
1030.000000000,2.375110149
1031.000000000,2.166949272
1032.000000000,1.980816007
1033.000000000,1.817476511
1034.000000000,1.669375420
1035.000000000,1.535727978
1036.000000000,1.405196905
1037.000000000,1.301447630
1038.000000000,1.205408335
1039.000000000,1.113978744
1040.000000000,1.034997821
1041.000000000,0.958729327
1042.000000000,0.892383575
1043.000000000,0.829057276
1044.000000000,0.778401196
1045.000000000,0.725186825
1046.000000000,0.673117340
1047.000000000,0.633879960
1048.000000000,0.594399750
1049.000000000,0.557390809
1050.000000000,0.524111450
1051.000000000,0.496549964
1052.000000000,0.463210046
1053.000000000,0.436684400
1054.000000000,0.413873941
1055.000000000,0.389108747
1056.000000000,0.370112479
1057.000000000,0.350919276
1058.000000000,0.328361541
1059.000000000,0.319025427
1060.000000000,0.301794052
1061.000000000,0.283890068
1062.000000000,0.266904116
1063.000000000,0.260573834
1064.000000000,0.247499391
1065.000000000,0.235825643
1066.000000000,0.222831920
1067.000000000,0.216541856
1068.000000000,0.206715897
1069.000000000,0.198060647
1070.000000000,0.188974634
1071.000000000,0.184058160
1072.000000000,0.176391587
1073.000000000,0.168328568
1074.000000000,0.164548382
1075.000000000,0.155403018
1076.000000000,0.153157145
1077.000000000,0.145872369
1078.000000000,0.146836966
1079.000000000,0.136368692
1080.000000000,0.135844082
1081.000000000,0.128809467
1082.000000000,0.123417973
1083.000000000,0.122041687
1084.000000000,0.116122328
1085.000000000,0.114430755
1086.000000000,0.112909429
1087.000000000,0.102904193
1088.000000000,0.100976109
1089.000000000,0.099427626
1090.000000000,0.093222864
1091.000000000,0.096394189
1092.000000000,0.092805341
1093.000000000,0.092250854
1094.000000000,0.090104304
1095.000000000,0.086365074
1096.000000000,0.086176358
1097.000000000,0.081252582
1098.000000000,0.083098546
1099.000000000,0.077410348
1100.000000000,0.077661671
