Wavelength (nm),Brightness (photons/cm^2/s/nm),Brightness error (photons/cm^2/s/nm)
352.66171,295933481109.8769,298723339392.3642
352.68335,1369335519466.1296,1358496875686.6697
352.70499,2257329905141.0015,2263101938500.282
352.72662,1086774523982.4658,1084714604387.8586
352.74829,300388105595.5099,290608398118.1281
352.76993,141190351252.7054,133766053998.21414
352.79156,172215620971.1014,157808239690.59573
352.81323,288270618136.3124,257240028670.04077
352.83487,517538404133.8295,445543781708.7951
352.85651,126661366691.45407,106980798080.96553
352.87817,55647338897.15267,48671081104.57695
352.89984,0.0,0.0
352.92148,0.0,0.0
352.94315,103712283659.85188,97658697876.09065
352.96478,273863895983.41507,233827994400.2573
352.98645,266347561521.47977,210465239504.50735
353.00812,203324544616.26346,155163486146.94946
353.02979,239482667128.25012,175787586083.958
353.05145,551635417496.4119,400981510878.2859
353.07309,384125439703.7077,288862997554.44904
353.09476,254923954777.09814,217568730288.4769
353.11642,584833868966.4001,558629265567.368
353.13809,376258822774.0986,380831057025.90985
353.15979,0.0,0.0
353.18146,156304149565.47772,165098341829.67828
353.20312,0.0,0.0
353.22479,5656244510.441072,5458070470.269046
353.24646,54430406365.16614,51764174393.45165
353.26816,0.0,0.0
353.28983,130208815375.47507,125900033082.21378
353.31149,0.0,0.0
353.33319,0.0,0.0
353.35486,0.0,0.0
353.37656,0.0,0.0
353.39822,0.0,0.0
353.41992,0.0,0.0
353.44162,19055730884.88857,17998485834.818363
353.46329,159499376056.2581,157498009562.14175
353.48499,481255343574.51843,485056077699.9022
353.50668,1155918019589.7458,1191836387144.0967
353.52838,472501444573.1967,503958217133.87555
353.55005,249163729951.86398,274206146685.36124
353.57175,347294648246.2957,391136919542.3715
353.59344,414616764812.96313,468787606223.4269
353.61514,16482467513.636606,18792667244.181065
353.63684,235342149214.5623,272443738532.94
353.65854,829440210665.1256,961261314730.3921
353.68027,372969500734.24133,427644355575.30945
353.70197,180030674738.13748,201840182344.56238
353.72366,467616046429.37134,510000647524.8532
353.74536,584923551361.5133,629477965169.2268
353.76709,652723410224.1089,704734581662.2238
353.78879,597657380322.1877,654179911749.0166
353.81049,237067354786.80948,259400751376.9674
353.83221,140409659690.8506,149681273538.60498
353.85391,156536736363.78152,164599375348.8294
353.87564,691557086139.2234,749935459251.2823
353.89734,764568819136.18,862455426851.5771
353.91907,378319881482.9746,441830296669.3174
353.9408,157066360515.88803,189248670484.68124
353.96249,312815576894.2445,389485290197.62366
353.98422,740457651297.6907,944910428379.7563
354.00595,979550186299.9678,1253753793150.791
354.02768,1688791637244.6953,2156866035367.6687
354.04941,2878067025718.843,3657221417155.4165
354.07114,3164246628384.7036,3963913231040.672
354.09286,1643014490246.3564,2015615858297.034
354.11459,399066021428.3304,483339788148.2263
354.13632,205531259371.40527,251147920180.719
354.15805,130321986968.15236,157086770626.75238
354.17978,221108316654.2255,269618617832.9307
354.20151,384148484569.91595,476397145807.18713
354.22324,238333199398.0264,295460000077.47925
354.245,75420179593.28,89157847343.03517
354.26672,176896515070.2305,193947573463.5967
354.28845,212655909520.38666,216456044654.53897
354.31021,87277690316.10657,80899405193.62114
354.33194,43487791090.921394,36568869522.54091
354.3537,86778645313.06325,66490266263.65219
354.37543,0.0,0.0
354.39719,0.0,0.0
354.41895,0.0,0.0
354.44067,0.0,0.0
354.46243,54486080124.14587,34931384458.28292
354.48419,12050955526.855196,7574735284.099616
354.50595,97117246646.99716,58555090024.82459
354.52768,0.0,0.0
354.54944,0.0,0.0
354.5712,0.0,0.0
354.59296,0.0,0.0
354.61472,0.0,0.0
354.63647,697902007304.4484,419380756397.73517
354.65826,1297045419111.4858,744380739492.8752
354.68002,886717230023.9343,493828305474.07245
354.70178,517088814798.70856,271420192194.78903
354.72354,513571167574.0182,243330423071.0289
354.74533,893118448627.7955,406391514998.8346
354.76709,1557204416902.9219,739342445105.0748
354.78885,1420913518023.52,708114751349.7898
354.81064,975194799815.0874,510289465551.25916
354.8324,980623441417.0422,538609102926.3777
354.85419,1476513536349.7312,830077987572.8877
354.87595,1327145133154.2024,740558934388.7452
354.89774,960554927117.7324,535929569993.7355
354.91953,1020348543877.5071,562518486497.4557
354.94128,880172074037.8488,480649004437.549
354.96307,335523045347.80646,192264495447.49393
354.98486,304905275738.81665,183642948850.52893
355.00665,478872473769.58624,283687510191.7905
355.02844,1632759410659.5122,909675771240.6045
355.0502,2423092334940.501,1344440075045.375
355.07199,777707077455.5753,461817754552.44965
355.09378,161092956253.34512,98432486924.06624
355.11557,100473742058.69704,58545708064.16446
355.13739,0.0,0.0
355.15918,0.0,0.0
355.18097,0.0,0.0
355.20276,75242321680.37688,38334615629.387184
355.22455,201241923595.1871,92556020550.31302
355.24637,235583958146.3384,93432346290.81073
355.26816,407704977776.4805,148183916924.06497
355.28998,871092521694.8658,308630606018.9474
355.31177,1071146175833.5419,367347158119.2635
355.33359,303878808552.4092,91307106987.46487
355.35538,285484514122.42975,70702906060.98875
355.3772,339824178065.59894,79282425513.50015
355.39899,329656913878.26044,86380306318.8669
355.42081,705391874031.9513,200898336713.35916
355.44263,1515554152150.6643,440912042604.8796
355.46442,1179657737065.5999,299859713197.18286
355.48624,295672118710.33026,56589366130.744125
355.50806,513974938369.01373,76909673361.35832
355.52988,992093922316.7102,119522813216.83301
355.5517,1247736589106.743,146622998763.29816
355.57352,610653155331.5156,85267689326.30667
355.59534,282222459986.2317,39594470285.79282
355.61716,448494671196.82947,60723471112.63086
355.63898,746144825855.3518,123695003183.49162
355.6608,295328749156.5718,56701200968.27549
355.68265,293815745731.2244,63021629816.46621
355.70447,506696407317.9184,119701055623.62593
355.72629,364902212424.02734,89066313614.4997
355.74814,222297472869.88196,51912116100.035484
355.76996,84519369143.6436,18516348842.715183
355.79178,49257711575.40051,11286245146.862198
355.81363,0.0,0.0
355.83545,0.0,0.0
355.8573,0.0,0.0
355.87915,0.0,0.0
355.90097,240293565553.29947,83412624862.5845
355.92282,206812563028.60605,83800807965.81909
355.94467,180958684066.31042,79895803005.55363
355.96649,0.0,0.0
355.98834,0.0,0.0
356.01019,0.0,0.0
356.03204,0.0,0.0
356.05389,0.0,0.0
356.07574,0.0,0.0
356.0976,193373552916.2621,102830322280.78046
356.11945,0.0,0.0
356.1413,65866087471.87892,39742091950.64178
356.16318,123750955189.4676,80745514385.77669
356.18503,65094003216.24069,46522178778.4864
356.20688,84318076661.4632,63059838477.2709
356.22873,96739600908.26146,71314809811.20479
356.25061,485355480713.36694,356710224458.37476
356.27246,620883490072.2201,466469109606.5204
356.29434,293779772003.3114,218575365481.81302
356.31619,176327270908.87262,132412742954.91257
356.33807,107258407673.59856,83268625267.5755
356.35992,48559499072.552025,37311467689.29228
356.38181,26795152282.722744,19446740546.110348
356.40369,93571487214.69211,68687791328.37835
356.42554,165233160316.61353,123763645191.12965
356.44742,97421497886.40685,73578680667.84744
356.4693,87828665107.66309,66651571536.51585
356.49118,0.0,0.0
356.51306,0.0,0.0
356.53494,8094235434.371958,6647143908.382707
356.55682,38718888034.39112,34558487592.33524
356.5787,0.0,0.0
356.60059,226039157259.88055,252175650638.20602
356.62247,0.0,0.0
356.64435,0.0,0.0
356.66623,0.0,0.0
356.68814,0.0,0.0
356.71002,0.0,0.0
356.7319,150117158656.1111,222927058086.3518
356.75381,101739736780.30841,153354071031.51956
356.7757,505110640415.2361,744029047484.188
356.79761,0.0,0.0
356.81949,0.0,0.0
356.8414,77174278362.6647,84870619582.61852
356.86328,1577010150.3779616,1634329154.7215314
356.88519,532731071067.68634,539078769736.5483
356.9071,732936363817.441,696467905678.2406
356.92899,568671101189.0973,472500566135.7836
356.9509,556346839504.1173,417895882464.32776
356.97281,1316952063937.3953,892678351140.7948
356.99472,1324500673276.7576,742630224029.5006
357.01663,609278173277.7413,280266742787.02826
357.03854,132743434749.73238,55391516529.92073
357.06046,0.0,0.0
357.08237,0.0,0.0
357.10428,0.0,0.0
357.12619,63739000524.30159,20263427900.247196
357.14813,3422873135.137569,1088940473.3696558
357.17004,61163711055.96667,17333647035.249935
357.19196,427880924871.3623,106245177797.09366
357.21387,622829417042.3944,144960014499.5029
357.23581,0.0,0.0
357.25772,0.0,0.0
357.27966,0.0,0.0
357.30157,0.0,0.0
357.32352,0.0,0.0
357.34543,241139183693.4411,100148899908.66443
357.36737,0.0,0.0
357.38931,0.0,0.0
357.41122,0.0,0.0
357.43317,0.0,0.0
357.45511,0.0,0.0
357.47705,686973480495.8802,386252917674.3135
357.49899,784504805569.3927,505617208251.53986
357.52094,406513498987.27637,287077533894.4069
357.54288,1066529659087.9331,811686285260.1332
357.56482,983368857712.909,775384799867.2992
357.58676,332775384402.24664,270552944579.7517
357.6087,34945470738.28462,29444193997.47733
357.63065,0.0,0.0
357.65262,0.0,0.0
357.67456,160743594492.9505,164235142989.2737
357.6965,1125602173798.8362,1165900574977.379
357.71848,2672033238649.63,2806207624822.777
357.74042,1980062965534.0076,2062185675851.3008
357.76236,857330065964.4489,868884499890.0945
357.78433,897341420994.5238,893839910790.793
357.80627,457384987739.09314,461339929024.96625
357.82825,0.0,0.0
357.85022,262508219300.5109,279254823243.89197
357.87216,2042471795024.8887,2139036077178.0276
357.89413,1787539528892.7937,1816811850693.1504
357.91611,2301211415479.9277,2300415446653.228
357.93808,2196071788107.0117,2146445708388.261
357.96005,799742305219.1266,792494362725.656
357.98199,308826492994.83154,325096148461.0116
358.00397,392623157116.3176,440057842453.4572
358.02594,438100950306.67725,498289186117.19025
358.04791,435828804488.2135,485343561878.91504
358.06989,180489370694.1869,202435923502.15228
358.09189,0.0,0.0
358.11386,62718968102.92444,69544655776.64738
358.13583,0.0,0.0
358.15781,0.0,0.0
358.17981,0.0,0.0
358.20178,146156889910.5787,185023952483.11862
