# ********************
# Shot #203783
# BD line brightness
# Wavelength range (Å): [4324, 4329] 
# ********************
time (s),Line brightness (photons/cm^2/ster/s),SX/B,Flux BD (molecules/s)
1.111112111111111,30826874392347.914,2.4242662575667873,3901802000104441.0
1.125001,20760745430322.633,2.2817126753304233,2473200442587334.5
1.1388898888888888,33783642046564.32,2.173390600802627,3833537084605566.0
1.1527787777777776,32180119510705.727,2.0469708098555586,3439178520123852.5
1.1666676666666664,31552649783549.07,2.0063606329697263,3305219089363209.0
1.1805565555555553,24712806312652.3,1.9687346343473378,2540181006368834.0
1.1944454444444441,22621544453375.5,1.943655225877939,2295603616214604.5
1.208334333333333,24792131479201.953,1.9121824490880681,2475133405028454.5
1.2222232222222218,26017281570074.69,1.8305666283108102,2486582514112029.5
1.236112111111111,32441559007540.758,1.754764156218716,2972185345571724.5
1.250001,39427422092930.98,1.7031789005784237,3506017407061717.5
1.2638898888888888,32447238671443.582,1.648214454973372,2792202292785461.0
1.2777787777777776,41928491073060.98,1.5710397597763626,3439155612745518.0
1.2916676666666664,38745335443983.84,1.5372536882887824,3109713552448230.5
1.3055565555555553,45215876813918.69,1.519997552504126,3588304279461969.0
1.3194454444444441,28177148671688.727,1.5031786614491316,2211378398525511.8
1.333334333333333,40047624688656.64,1.4888573028265681,3113043971782068.0
1.3472232222222218,31516948307233.8,1.485172881231903,2443861487128005.0
1.361112111111111,42507549525134.664,1.4854321038155642,3296661018128985.5
1.375001,33050237339592.77,1.4871359765529746,2566141972334334.5
1.3888898888888888,41837457332890.805,1.4884325719712224,3251246256667258.5
1.4027787777777776,34299691802490.555,1.491316431476781,2670640545490486.0
1.4166676666666664,33822268924445.973,1.5022199101355793,2652721574468845.0
1.4305565555555553,35824130342321.95,1.5166650320470543,2836747936771515.5
1.4444454444444441,35567765404190.25,1.4872779508739462,2761875756082191.0
1.458334333333333,33595335887425.54,1.4396886616268798,2525241914989314.0
1.4722232222222218,32316956322352.74,1.4297955146529455,2412458210265602.0
1.486112111111111,32983095294568.008,1.5080149864345687,2596883604575502.5
1.500001,38982530313353.5,1.5736796796319084,3202888201598875.0
1.5138898888888888,39266785521092.08,1.5326049009248504,3142034705105358.0
1.5277787777777776,33370974500155.863,1.4732744712643524,2566894208175782.0
1.5416676666666664,31570330441131.97,1.4748857565788833,2431044600332713.0
1.5555565555555553,39842733709364.72,1.5264385431136085,3175293466722015.0
1.5694454444444441,34951298451515.625,1.5451472862087419,2819607229556790.5
1.583334333333333,47515230035339.29,1.5126267467063272,3752494194588659.5
1.5972232222222218,22344578279774.14,1.4661381867332752,1710418893977741.0
1.6111121111111106,33348011993032.28,1.4670461409803521,2554283745839164.5
1.625001,37545404309536.055,1.5067906919478564,2953691488799432.0
1.6388898888888888,31978068464668.35,1.4994601242641241,2503471007930368.0
1.6527787777777776,29725935598442.414,1.4992086696130649,2326767746266834.5
1.6666676666666664,43283700070041.85,1.4962466821649483,3381294489982925.5
1.6805565555555553,30733586656508.383,1.4903314983313432,2391396249993701.5
1.6944454444444441,40568036478599.96,1.4465876884114734,3063967610894460.0
1.708334333333333,34890232003048.926,1.4168022302660586,2580884126610148.0
1.7222232222222218,35062375873746.254,1.4382458151704625,2632872798356038.5
1.7361121111111106,47302962931169.56,1.5056868144739213,3718590961004225.0
1.750001,31510381209646.133,1.5518512322743723,2553049058280282.0
1.7638898888888888,35015332080330.523,1.4907441799989989,2725315519900733.0
1.7777787777777776,45471764128623.86,1.4149776683855833,3359284659063744.5
