# ********************
# Shot #203781
# B-I line brightness
# Wavelength range (Å): [8194, 8196] 
# ********************
time (s),Line brightness (photons/cm^2/ster/s),SX/B,Flux BI (molecules/s)
0.8000010000000003,-71849513201.77097,151.40142277471776,-567948822995498.0
0.8200009999999999,479445685226.20154,156.85635724523743,3926421841651787.5
0.8400009999999999,183761614815.80664,153.3376613585667,1471157097406110.8
0.8600009999999999,261791614231.0933,154.58517106834555,2112900176264361.2
0.8800009999999999,191599369989.50995,158.12526618829276,1581797059060920.8
0.9000009999999999,-98962742878.22751,163.20394179986138,-843252786784345.4
0.920001,63706595279.93625,162.41093277277434,540200613945602.75
0.940001,18333505109.26139,160.83058651360972,153946410486091.06
0.960001,155467707895.73233,157.73784466759693,1280358283105278.8
0.980001,336657042720.9603,158.45241124930118,2785107572027880.5
1.000001,457673316751.44116,186.5411062651055,4457440537259504.5
1.020001,507694729574.6312,215.0751934147922,5700965259740578.0
1.040001,432519540019.1976,236.25418059201255,5335076511290195.0
1.060001,842432379567.6643,245.4270538089726,1.079475779447478e+16
1.080001,448507516966.5006,247.98520078397954,5806987717841776.0
1.100001,1360875830200.751,243.34908444643008,1.7290344042282268e+16
1.120001,1231654921041.3032,235.77245849417542,1.5161338212471234e+16
1.140001,411298304005.63745,234.0955837080408,5026961473035525.0
1.160001,723266983458.497,227.75002962793175,8600278199850483.0
1.180001,1298316900101.8774,215.97457627076824,1.4639921848379758e+16
1.200001,492344282892.6827,208.71429651559143,5365083864828676.0
1.2200010000000001,764904054843.6486,204.3558022857103,8161112296481982.0
1.2400010000000001,620513014850.4297,196.50266168442795,6366118960223701.0
1.2600010000000001,537777213937.2274,189.79699127797477,5329017394869621.0
1.2800010000000002,195729386236.42877,180.1747764939838,1841218982322115.2
1.3000010000000002,421518450898.64557,169.8159678235291,3737236067852398.5
1.3200009999999998,1056191448762.3073,165.2626007603019,9113236637024030.0
1.3400009999999998,395962530644.3508,163.0231836289655,3370224867310220.5
1.3600009999999998,373820552299.41315,162.29647067064113,3167580552279438.5
1.3800009999999998,751505620641.815,169.94331830931162,6667940940817519.0
1.4000009999999998,271046501156.57703,173.06936902489016,2449172831853183.5
1.4200009999999998,907207394038.1848,173.2375278692913,8205479716607653.0
1.4400009999999999,774693294974.7443,169.75383079045196,6866015795983120.0
1.4600009999999999,539783687919.6543,160.84135092706117,4532866052813392.0
1.480001,1004657816563.3408,163.9875579282485,8601703798525034.0
1.500001,362344323278.33954,162.65083798988402,3077040300668482.5
1.520001,387552115358.9758,166.81799564640966,3375424729814648.5
1.540001,495054014119.5038,167.6036254600013,4332029570124426.0
1.560001,887697629747.8423,164.23244989616575,7611661196241930.0
1.580001,384060897934.4662,165.03200388560182,3309205088531008.5
1.600001,600409687696.3475,172.12893761603073,5395814324515713.0
1.620001,1381787184687.5142,172.92157572712267,1.2475149599082788e+16
1.640001,713539943559.7651,170.0525673133383,6335149966986793.0
1.660001,777079264672.2119,174.0139651132724,7060002275190846.0
1.680001,417545983246.39343,173.5268094689362,3782912615890762.5
1.700001,722152577940.8881,172.16423197939528,6491234713895022.0
1.7200010000000001,1027564155976.3887,170.9668674059029,9172259184255512.0
1.7400010000000001,934045945628.6809,170.49968571177172,8314712552839839.0
1.7600010000000001,1739302702037.9915,160.2750793540422,1.4554476514465472e+16
1.7800010000000002,970114084927.129,156.02049848192107,7902416009103929.0
1.8000010000000002,140766082146.5173,162.50970132334876,1194353077316814.0
1.8200010000000002,593133256076.7242,166.0139985123104,5141056801221697.0
1.8400009999999998,523467624574.5174,162.6780174099144,4446047671139136.5
1.8600009999999998,1028287811054.4691,160.26484912322888,8604158148271461.0
1.8800009999999998,1211207688677.1853,158.12223082669897,9999239469190640.0
1.9000009999999998,482819150131.82764,154.92360687672726,3905327901170995.0
1.9200009999999998,395593285348.9848,151.41805283340736,3127389587855160.5
1.9400009999999999,687588786822.3121,154.345208780086,5540862277872192.0
1.9600009999999999,336181307725.3009,157.18964903790732,2759007772487199.0
1.980001,1432607271852.8599,154.98319364633028,1.1592234945430112e+16
2.000001,760100331534.9043,157.84713245026296,6264162798491965.0
2.020001,1023157439641.5542,159.29782626719407,8509572318283919.0
2.040001,943912487072.3951,163.07071975998645,8036429458538758.0
2.060001,675888579361.9197,169.4345405872239,5979053989050810.0
2.080001,967982952001.9457,172.2811570608098,8706846859490185.0
2.1000010000000002,1116966484339.5745,175.5896248034307,1.0239869223106442e+16
2.1200010000000002,1929346183981.4758,183.6682399770866,1.8501189103805164e+16
2.1400010000000003,3389745994172.684,209.98090064277807,3.716228141588449e+16
2.1600010000000003,4403443771268.119,236.4752014541957,5.436676309764621e+16
2.1800010000000003,7744671070487.9375,250.6767941645394,1.0136138279712085e+17
2.2000010000000003,21221886527397.293,256.92392045309947,2.8467147121882698e+17
2.2200010000000003,19356702868428.004,260.9302417243924,2.637006604906624e+17
2.2400010000000004,15770475830460.855,258.9457860088521,2.132107326126197e+17
2.2600010000000004,24663562550681.082,252.3884413999064,3.2499799969039334e+17
