#DataThief C:\Users\erick\OneDrive\Documents\ucsd\Postdoc\research\thermal camera\BFS-U3-16S2M_QE.png Wednesday 22-Feb-2023 12:12:16 PM
Wavelength (nm),Quantum efficiency (%)
642.815, 57.371
643.201, 57.306
643.585, 57.176
643.97, 57.111
644.355, 56.98
644.74, 56.849
645.124, 56.784
645.509, 56.523
645.894, 56.458
646.279, 56.327
646.663, 56.196
647.048, 56.131
647.433, 56.066
647.818, 55.935
648.202, 55.935
648.587, 55.805
648.972, 55.805
649.357, 55.738
649.741, 55.478
650.126, 55.478
650.511, 55.413
650.896, 55.347
651.281, 55.347
651.665, 55.282
652.05, 55.282
652.435, 55.282
652.819, 55.086
653.204, 55.086
653.589, 55.087
653.974, 55.021
654.359, 54.956
654.742, 54.956
655.128, 54.891
655.513, 54.825
655.898, 54.825
656.282, 54.76
656.667, 54.694
657.052, 54.629
657.437, 54.629
657.821, 54.499
658.206, 54.434
658.591, 54.434
658.976, 54.303
659.359, 54.303
659.745, 54.238
660.13, 54.172
660.515, 54.172
660.899, 54.107
661.284, 54.042
661.669, 53.976
662.054, 53.911
662.438, 53.846
662.823, 53.781
663.208, 53.65
663.593, 53.65
663.976, 53.585
664.362, 53.52
664.746, 53.454
665.132, 53.389
665.516, 53.389
665.901, 53.389
666.286, 53.258
666.671, 53.193
667.055, 53.193
667.44, 53.063
667.825, 53.063
668.21, 52.932
668.593, 52.932
668.979, 52.867
669.363, 52.801
669.749, 52.736
670.133, 52.736
670.518, 52.475
670.903, 52.41
671.288, 52.343
671.672, 52.279
672.057, 52.214
672.442, 52.083
672.827, 52.018
673.211, 51.887
673.596, 51.626
673.98, 51.561
674.366, 51.43
674.751, 51.3
675.135, 51.234
675.52, 51.234
675.905, 51.234
676.29, 51.169
676.674, 50.908
677.059, 50.843
677.444, 50.777
677.829, 50.647
678.213, 50.581
678.597, 50.581
678.983, 50.516
679.367, 50.451
679.752, 50.19
680.137, 50.19
680.522, 50.124
680.907, 50.059
681.291, 49.994
681.676, 49.733
682.061, 49.667
682.446, 49.601
682.83, 49.601
683.215, 49.537
683.6, 49.406
683.984, 49.276
684.369, 49.21
684.754, 49.08
685.139, 49.014
685.524, 48.948
685.908, 48.688
686.293, 48.623
686.678, 48.557
687.063, 48.427
687.447, 48.427
687.831, 48.296
688.217, 48.231
688.601, 48.166
688.986, 47.97
689.371, 47.97
689.756, 47.904
690.141, 47.839
690.525, 47.774
690.91, 47.709
691.295, 47.643
691.68, 47.513
692.064, 47.382
692.449, 47.382
692.834, 47.317
693.219, 47.251
693.603, 47.186
693.988, 47.121
694.373, 47.056
694.758, 47.056
695.142, 46.859
695.527, 46.859
695.912, 46.794
696.297, 46.599
696.681, 46.599
697.066, 46.533
697.451, 46.468
697.835, 46.403
698.221, 46.272
698.605, 46.272
698.99, 46.207
699.375, 46.142
699.76, 46.076
700.144, 46.011
700.529, 45.946
700.914, 45.88
701.299, 45.684
701.683, 45.619
702.068, 45.619
702.453, 45.423
702.838, 45.358
703.222, 45.293
703.607, 45.227
703.992, 45.162
704.377, 45.032
704.761, 44.966
705.146, 44.901
705.531, 44.77
705.916, 44.77
706.3, 44.705
706.685, 44.575
707.07, 44.509
707.455, 44.444
707.839, 44.379
708.224, 44.313
708.609, 44.183
708.994, 44.117
709.378, 44.052
709.763, 44.052
710.148, 43.987
710.533, 43.855
710.917, 43.855
711.302, 43.791
711.687, 43.791
712.072, 43.791
712.456, 43.726
712.841, 43.595
713.226, 43.595
713.611, 43.595
713.995, 43.53
714.38, 43.465
714.765, 43.399
715.15, 43.334
715.534, 43.269
715.919, 43.269
716.304, 43.269
716.689, 43.138
717.073, 43.138
717.458, 43.073
717.843, 42.942
718.228, 42.942
718.612, 42.877
718.996, 42.877
719.382, 42.812
719.767, 42.746
720.151, 42.681
720.536, 42.616
720.921, 42.551
721.306, 42.484
721.69, 42.42
722.075, 42.224
722.46, 42.224
722.845, 42.159
723.23, 42.094
723.613, 42.028
723.999, 41.898
724.384, 41.898
724.769, 41.831
725.153, 41.767
725.538, 41.702
725.923, 41.571
726.308, 41.571
726.692, 41.506
727.077, 41.31
727.462, 41.31
727.847, 41.31
728.231, 41.114
728.616, 41.114
729.001, 40.984
729.386, 40.918
729.77, 40.853
730.155, 40.657
730.54, 40.527
730.925, 40.461
731.309, 40.2
731.694, 40.135
732.079, 40.069
732.464, 39.742
732.847, 39.678
733.233, 39.612
733.617, 39.351
734.003, 39.286
734.387, 39.025
734.772, 38.959
735.157, 38.829
735.542, 38.698
735.926, 38.633
736.311, 38.568
736.696, 38.306
737.081, 38.241
737.465, 37.98
737.85, 37.915
738.234, 37.784
738.62, 37.718
739.004, 37.654
739.389, 37.523
739.774, 37.327
740.159, 37.262
740.543, 37.131
740.928, 37.066
741.313, 37.001
741.698, 36.935
742.082, 36.87
742.467, 36.87
742.851, 36.87
743.237, 36.805
743.621, 36.674
744.006, 36.609
744.391, 36.478
744.776, 36.413
745.161, 36.347
745.545, 36.282
745.93, 36.217
746.315, 36.217
746.7, 36.021
747.084, 36.021
747.468, 35.956
747.854, 35.694
748.238, 35.694
748.623, 35.629
749.008, 35.629
749.393, 35.564
749.778, 35.564
750.162, 35.564
750.547, 35.499
750.932, 35.499
751.317, 35.434
751.701, 35.434
752.086, 35.367
752.471, 35.367
752.855, 35.367
753.24, 35.367
753.625, 35.303
754.01, 35.303
754.395, 35.303
754.779, 35.303
755.164, 35.238
755.549, 35.238
755.934, 35.238
756.318, 35.173
756.702, 35.173
757.088, 35.173
757.472, 35.173
757.857, 35.107
758.242, 35.107
758.627, 35.042
759.012, 35.042
759.396, 35.042
759.781, 34.976
760.166, 34.846
760.551, 34.846
760.935, 34.846
761.32, 34.65
761.705, 34.65
762.09, 34.52
762.474, 34.52
762.859, 34.52
763.244, 34.324
763.629, 34.324
764.013, 34.324
764.398, 33.932
764.783, 33.932
765.168, 33.867
765.552, 33.801
765.937, 33.736
766.322, 33.736
766.706, 33.736
767.091, 33.671
767.476, 33.41
767.861, 33.41
768.246, 33.343
768.631, 33.279
769.015, 33.214
769.4, 33.149
769.785, 33.083
770.17, 33.018
770.554, 32.822
770.939, 32.757
771.324, 32.626
771.709, 32.496
772.093, 32.43
772.478, 32.3
772.863, 32.234
773.248, 32.104
773.632, 31.972
774.017, 31.908
774.402, 31.777
774.787, 31.516
775.171, 31.451
775.556, 31.386
775.94, 31.32
776.326, 31.255
776.71, 30.994
777.095, 30.929
777.48, 30.863
777.865, 30.601
778.249, 30.537
778.634, 30.472
779.019, 30.406
779.404, 30.341
779.788, 30.21
780.173, 30.145
780.558, 30.014
780.943, 29.884
781.327, 29.884
781.712, 29.819
782.097, 29.688
782.482, 29.623
782.866, 29.427
783.251, 29.427
783.636, 29.362
784.021, 29.296
784.405, 29.231
784.79, 29.035
785.175, 28.97
785.56, 28.904
785.944, 28.839
786.329, 28.839
786.714, 28.774
787.099, 28.577
787.483, 28.577
787.867, 28.513
788.253, 28.447
788.638, 28.382
789.022, 28.252
789.407, 28.186
789.792, 28.121
790.177, 27.99
790.562, 27.925
790.946, 27.859
791.331, 27.795
791.716, 27.729
792.101, 27.533
792.484, 27.468
792.87, 27.403
793.255, 27.403
793.64, 27.337
794.024, 27.207
794.409, 27.076
794.794, 27.011
795.179, 26.88
795.563, 26.88
795.948, 26.815
796.333, 26.685
796.718, 26.619
797.102, 26.488
797.487, 26.423
797.871, 26.358
798.257, 26.228
798.641, 26.162
799.026, 26.097
799.411, 25.966
799.796, 25.901
800.18, 25.835
800.565, 25.835
800.95, 25.77
801.335, 25.64
801.718, 25.575
802.104, 25.509
802.488, 25.444
802.874, 25.379
803.258, 25.313
803.643, 25.313
804.028, 25.248
804.413, 25.183
804.797, 25.117
805.182, 25.052
805.567, 24.922
805.952, 24.922
806.336, 24.855
806.721, 24.791
807.106, 24.726
807.491, 24.661
807.875, 24.595
808.26, 24.53
808.645, 24.399
809.03, 24.399
809.414, 24.334
809.799, 24.269
810.184, 24.204
810.569, 24.073
810.952, 24.073
811.338, 24.008
811.722, 23.746
812.108, 23.746
812.492, 23.681
812.877, 23.551
813.262, 23.484
813.647, 23.42
814.032, 23.355
814.416, 23.289
814.801, 23.159
815.186, 23.094
815.571, 23.028
815.955, 23.028
816.34, 22.963
816.725, 22.831
817.11, 22.702
817.494, 22.636
817.879, 22.506
818.264, 22.506
818.649, 22.441
819.033, 22.31
819.418, 22.245
819.803, 22.179
820.188, 22.114
820.572, 22.049
820.956, 21.984
821.342, 21.918
821.726, 21.788
822.111, 21.657
822.496, 21.657
822.881, 21.592
823.266, 21.461
823.65, 21.396
824.035, 21.331
824.42, 21.265
824.805, 21.2
825.189, 21.069
825.573, 21.004
825.959, 20.939
826.343, 20.939
826.728, 20.874
827.113, 20.678
827.498, 20.612
827.883, 20.547
828.267, 20.417
828.652, 20.417
829.037, 20.351
829.422, 20.09
829.806, 20.09
830.191, 20.09
830.576, 20.025
830.96, 19.96
831.345, 19.829
831.73, 19.764
832.115, 19.698
832.5, 19.568
832.884, 19.502
833.269, 19.437
833.654, 19.371
834.039, 19.307
834.423, 19.111
834.808, 19.111
835.193, 19.045
835.577, 18.98
835.962, 18.915
836.347, 18.784
836.732, 18.784
837.117, 18.718
837.502, 18.523
837.886, 18.523
838.271, 18.458
838.656, 18.197
839.041, 18.197
839.425, 18.131
839.81, 18.131
840.195, 18.131
840.58, 18.066
840.964, 18.066
841.349, 18.001
841.734, 18.001
842.119, 18.001
842.503, 18.001
842.888, 18.001
843.273, 18.001
843.658, 18.001
844.042, 17.936
844.427, 17.87
844.812, 17.87
845.197, 17.87
845.581, 17.805
845.966, 17.805
846.351, 17.805
846.736, 17.805
847.12, 17.805
847.505, 17.74
847.89, 17.674
848.275, 17.674
848.659, 17.674
849.044, 17.674
849.429, 17.609
849.814, 17.544
850.198, 17.544
850.583, 17.544
850.968, 17.479
851.353, 17.413
851.737, 17.347
852.121, 17.347
852.507, 17.283
852.892, 17.217
853.276, 17.217
853.661, 17.152
854.046, 17.087
854.431, 17.087
854.815, 17.022
855.2, 16.956
855.585, 16.956
855.97, 16.956
856.354, 16.891
856.738, 16.826
857.124, 16.826
857.509, 16.76
857.893, 16.694
858.278, 16.63
858.663, 16.63
859.048, 16.499
859.432, 16.499
859.817, 16.434
860.202, 16.303
860.587, 16.303
860.972, 16.238
861.355, 16.173
861.741, 16.108
862.126, 16.108
862.511, 16.042
862.895, 15.976
863.28, 15.781
863.665, 15.781
864.05, 15.716
864.434, 15.651
864.819, 15.585
865.204, 15.585
865.589, 15.52
865.972, 15.455
866.358, 15.259
866.742, 15.259
867.128, 15.193
867.512, 15.128
867.897, 15.063
868.282, 14.998
868.667, 14.932
869.051, 14.867
869.436, 14.736
869.821, 14.736
870.206, 14.671
870.589, 14.605
870.975, 14.541
871.359, 14.41
871.745, 14.41
872.129, 14.345
872.514, 14.214
872.899, 14.214
873.284, 14.214
873.668, 13.952
874.053, 13.952
874.438, 13.952
874.823, 13.822
875.207, 13.757
875.592, 13.692
875.976, 13.626
876.362, 13.561
876.746, 13.431
877.131, 13.431
877.516, 13.365
