#Procedure: <__main__.ExtruderPIDProcedure>
#Parameters:
#	Experiment Time: 10 min
#	Kd: 0
#	Ki: 0
#	Kp: 2000
#	Temperature Setpoint: 100 C
#Data:
Time (min),Temperature (C),Voltage (V),PID Control (V)
2.076161750157674,603.75,0.0,0
2.086206837495168,603.25,0.0,0
2.0929468472798667,603.0,0.0,0
2.102903477350871,602.25,0.0,0
2.112717390060425,601.75,0.0,0
2.1183956782023112,601.25,0.0,0
2.126937941710154,601.0,0.0,0
2.140073565642039,600.25,0.0,0
2.148357864220937,599.5,0.0,0
2.155111837387085,599.25,0.0,0
2.1649758855501813,598.75,0.0,0
2.1708532611529034,598.25,0.0,0
2.181922213236491,597.75,0.0,0
2.1875930507977803,597.25,0.0,0
2.201614022254944,596.75,0.0,0
2.2087579488754274,596.25,0.0,0
2.2185362180074057,595.75,0.0,0
2.22423019806544,595.25,0.0,0
2.2327023188273114,594.75,0.0,0
2.2460213621457417,594.25,0.0,0
2.2538578112920127,593.5,0.0,0
2.2608440041542055,593.0,0.0,0
2.2732540369033813,592.75,0.0,0
2.280685297648112,592.0,0.0,0
2.2876623352368672,591.5,0.0,0
2.3006086428960164,591.0,0.0,0
2.308875815073649,590.5,0.0,0
2.314536003271739,590.0,0.0,0
2.3276797850926716,589.5,0.0,0
2.3349399169286094,589.0,0.0,0
2.342630910873413,588.5,0.0,0
2.3524598042170206,588.0,0.0,0
2.3619902888933817,587.75,0.0,0
2.3694894909858704,587.0,0.0,0
2.3765390674273172,586.75,0.0,0
2.389224108060201,586.25,0.0,0
2.3977470358212787,585.5,0.0,0
2.4062774380048118,585.25,0.0,0
2.413221792380015,584.75,0.0,0
2.420207413037618,584.25,0.0,0
2.4337347030639647,583.75,0.0,0
2.4403923392295837,583.25,0.0,0
2.448409390449524,582.75,0.0,0
2.4583969871203104,582.25,0.0,0
2.4682719071706134,582.0,0.0,0
2.4754190961519877,581.5,0.0,0
2.482353985309601,581.0,0.0,0
2.4949885487556456,580.5,0.0,0
2.5006850639979046,580.0,0.0,0
2.5120545506477354,579.5,0.0,0
2.5176947951316833,579.0,0.0,0
2.526052482922872,578.75,0.0,0
2.5373231371243796,578.0,0.0,0
2.543084454536438,577.75,0.0,0
2.556498110294342,577.0,0.0,0
2.5642494440078734,576.5,0.0,0
2.5711978673934937,576.25,0.0,0
2.5810670375823976,575.5,0.0,0
2.586776312192281,575.25,0.0,0
2.598141344388326,575.0,0.0,0
2.603606843948364,574.5,0.0,0
2.6183208068211874,574.0,0.0,0
2.6263415495554607,573.5,0.0,0
2.6350323796272277,573.0,0.0,0
2.6458240509033204,572.5,0.0,0
2.6554497122764587,572.0,0.0,0
2.661440634727478,571.5,0.0,0
2.6699371457099916,571.0,0.0,0
