Time (s),TC1 (C),TC2 (C)
11.04,23.0,51.75
11.055,23.0,51.75
11.07,23.0,51.75
11.085,23.0,51.75
11.1,23.0,51.75
11.115,23.0,51.75
11.13,23.0,51.75
11.145,23.0,52.0
11.16,23.0,52.0
11.175,23.0,52.0
11.19,23.0,52.0
11.205,23.0,52.0
11.22,23.0,51.75
11.235,23.0,51.75
11.25,23.0,51.75
11.265,23.0,51.75
11.28,23.0,51.75
11.295,23.0,51.75
11.31,23.0,51.75
11.325,23.0,51.75
11.34,23.0,51.75
11.355,23.0,51.75
11.37,23.0,52.0
11.385,23.0,52.0
11.4,23.0,52.0
11.415,23.0,52.0
11.43,23.0,52.0
11.445,23.0,51.75
11.46,23.0,51.75
11.475,23.0,51.75
11.49,23.0,51.75
11.505,23.0,51.75
11.52,23.0,51.75
11.535,22.75,51.75
11.55,22.75,51.75
11.565,22.75,51.75
11.58,22.75,51.75
11.595,22.75,51.75
11.61,23.0,51.75
11.625,23.0,51.75
11.64,23.0,51.75
11.655,23.0,51.75
11.67,23.0,52.0
11.685,22.75,52.0
11.7,22.75,52.0
11.715,22.75,52.0
11.73,22.75,52.0
11.745,22.75,52.0
11.76,23.0,52.0
11.775,23.0,52.0
11.79,23.0,52.0
11.805,23.0,52.0
11.82,23.0,51.75
11.835,23.0,51.75
11.85,23.0,51.75
11.865,23.0,51.75
11.88,23.0,51.75
11.895,23.0,51.75
11.91,23.0,51.75
11.925,23.0,51.75
11.94,23.0,51.75
11.955,23.0,51.75
11.97,23.0,51.75
11.985,23.0,51.75
12.0,23.0,51.75
12.015,23.0,51.75
12.03,23.0,51.75
12.045,23.0,51.75
12.06,23.0,51.75
12.075,23.0,51.75
12.09,23.0,51.75
12.105,23.0,51.75
12.12,23.0,51.75
12.135,23.0,51.75
12.15,23.0,51.75
12.165,23.0,51.75
12.18,23.0,51.75
12.195,23.0,51.75
12.21,23.0,51.75
12.225,23.0,51.75
12.24,23.0,51.75
12.255,23.0,51.75
12.27,23.0,51.75
12.285,23.0,51.75
12.3,23.0,51.75
12.315,23.0,51.75
12.33,23.0,51.75
12.345,23.0,51.75
12.36,23.0,51.75
12.375,23.0,51.75
12.39,23.0,51.75
12.405,23.0,51.75
12.42,23.0,51.75
12.435,23.0,51.75
12.45,23.0,51.75
12.465,23.0,51.75
12.48,23.0,51.75
12.495,23.0,51.75
12.51,23.0,51.75
12.525,23.0,51.75
12.54,23.0,51.75
12.555,23.0,51.75
12.57,23.0,52.0
12.585,23.0,52.0
12.6,23.0,52.0
12.615,23.0,52.0
12.63,23.0,52.0
12.645,23.0,52.0
12.66,23.0,52.0
12.675,23.0,52.0
12.69,23.0,52.0
12.705,23.0,52.0
12.72,23.0,52.0
12.735,22.75,52.0
12.75,22.75,52.0
12.765,22.75,52.0
12.78,22.75,52.0
12.795,23.0,52.0
12.81,23.0,52.0
12.825,23.0,52.0
12.84,23.0,52.0
12.855,23.0,52.0
12.87,23.0,52.0
12.885,23.0,52.0
12.9,23.0,52.0
12.915,23.0,52.0
12.93,23.0,52.0
12.945,23.0,52.0
12.96,23.0,52.0
12.975,23.0,52.0
12.99,23.0,52.0
13.005,23.0,52.0
13.02,23.0,52.0
13.035,23.0,52.0
13.05,23.0,52.0
13.065,23.0,52.0
13.08,23.0,52.0
13.095,23.0,52.0
13.11,23.0,52.0
13.125,23.0,52.0
13.14,23.0,52.0
13.155,23.0,52.0
13.17,23.0,52.0
13.185,23.0,52.0
13.2,23.0,52.0
13.215,23.0,52.0
13.23,23.0,52.0
13.245,23.0,52.0
13.26,23.0,52.0
13.275,23.0,52.0
13.29,23.0,52.0
13.305,23.0,52.0
13.32,23.0,52.0
13.335,23.0,52.0
13.35,23.0,52.0
13.365,23.0,52.0
13.38,23.0,52.0
13.395,23.0,52.0
13.41,23.0,52.0
13.425,23.0,52.0
13.44,23.0,52.0
13.455,23.0,52.25
13.47,23.0,52.25
13.485,23.0,52.25
13.5,23.0,52.25
13.515,23.0,52.25
13.53,23.0,52.0
13.545,23.0,52.0
13.56,23.0,52.0
13.575,23.0,52.0
13.59,23.0,52.0
13.605,23.0,52.25
13.62,23.0,52.25
13.635,23.0,52.25
13.65,23.0,52.25
13.665,23.0,52.25
13.68,23.0,52.25
13.695,23.0,52.25
13.71,23.0,52.25
13.725,23.0,52.25
13.74,23.0,52.25
13.755,23.0,52.0
13.77,23.0,52.0
13.785,23.0,52.0
13.8,23.0,52.0
13.815,23.0,52.0
13.83,23.0,52.25
13.845,23.0,52.25
13.86,23.0,52.25
13.875,23.0,52.25
13.89,23.0,52.25
13.905,23.0,52.25
13.92,23.0,52.25
13.935,23.0,52.25
13.95,23.0,52.25
13.965,23.0,52.25
13.98,23.0,52.0
13.995,23.0,52.0
14.01,23.0,52.0
14.025,23.0,52.0
14.04,23.0,52.0
14.055,23.0,52.25
14.07,23.0,52.25
14.085,23.0,52.25
14.1,23.0,52.25
14.115,23.0,52.25
14.13,23.0,52.25
14.145,23.0,52.25
14.16,23.0,52.25
14.175,23.0,52.25
14.19,23.0,52.25
14.205,23.0,52.25
14.22,22.75,52.25
14.235,22.75,52.25
14.25,22.75,52.25
14.265,22.75,52.25
14.28,22.75,52.0
14.295,23.0,52.0
14.31,23.0,52.0
14.325,23.0,52.0
14.34,23.0,52.0
14.355,23.0,52.0
14.37,23.0,52.0
14.385,23.0,52.0
14.4,23.0,52.0
14.415,23.0,52.0
14.43,23.0,52.25
14.445,23.0,52.25
14.46,23.0,52.25
14.475,23.0,52.25
14.49,23.0,52.25
14.505,22.75,52.25
14.52,22.75,52.25
14.535,22.75,52.25
14.55,22.75,52.25
14.565,22.75,52.25
14.58,23.0,52.0
14.595,23.0,52.0
14.61,23.0,52.0
14.625,23.0,52.0
14.64,23.0,52.25
14.655,23.0,52.25
14.67,23.0,52.25
14.685,23.0,52.25
14.7,23.0,52.25
14.715,23.0,52.25
14.73,23.0,52.25
14.745,23.0,52.25
14.76,23.0,52.25
14.775,23.0,52.25
14.79,23.0,52.25
14.805,23.0,52.25
14.82,23.0,52.25
14.835,23.0,52.25
14.85,23.0,52.25
14.865,23.0,52.25
14.88,23.0,52.25
14.895,23.0,52.25
14.91,23.0,52.25
14.925,23.0,52.25
14.94,23.0,52.25
14.955,22.75,52.25
14.97,22.75,52.25
14.985,22.75,52.25
15.0,22.75,52.25
15.015,22.75,52.25
15.03,23.0,52.25
15.045,23.0,52.25
15.06,23.0,52.25
15.075,23.0,52.25
15.09,23.0,52.25
15.105,22.75,52.25
15.12,22.75,52.25
15.135,22.75,52.25
15.15,22.75,52.25
15.165,22.75,52.25
15.18,22.75,52.25
15.195,22.75,52.25
15.21,22.75,52.25
15.225,22.75,52.25
15.24,22.75,52.25
15.255,22.75,52.25
15.27,22.75,52.25
15.285,22.75,52.25
15.3,22.75,52.25
15.315,22.75,52.25
15.33,23.0,52.25
15.345,23.0,52.25
15.36,23.0,52.25
15.375,23.0,52.25
15.39,23.0,52.25
15.405,23.0,52.25
15.42,23.0,52.25
15.435,23.0,52.25
15.45,23.0,52.25
15.465,23.0,52.25
15.48,23.0,52.25
15.495,23.0,52.25
15.51,23.0,52.25
15.525,23.0,52.25
15.54,23.0,52.25
15.555,23.0,52.25
15.57,23.0,52.25
15.585,23.0,52.25
15.6,23.0,52.25
15.615,23.0,52.25
15.63,23.0,52.25
15.645,23.0,52.25
15.66,23.0,52.25
15.675,23.0,52.25
15.69,23.0,52.25
15.705,23.0,52.25
15.72,23.0,52.25
15.735,23.0,52.25
15.75,23.0,52.25
15.765,23.0,52.0
15.78,23.0,52.0
15.795,23.0,52.0
15.81,23.0,52.0
15.825,23.0,52.0
15.84,23.0,52.0
15.855,23.0,52.0
15.87,23.0,52.0
15.885,23.0,52.0
15.9,23.0,52.0
15.915,23.0,52.0
15.93,23.0,52.0
15.945,23.0,52.0
15.96,23.0,52.0
15.975,23.0,52.0
15.99,23.0,52.0
16.005,23.0,52.0
16.02,23.0,52.0
16.035,23.0,52.0
16.05,23.0,52.0
16.065,23.0,52.0
16.08,23.0,52.0
16.095,23.0,52.0
16.11,23.0,52.0
16.125,23.0,52.0
