# Results from black body fit 
# =========================== 
# Temperature [K]: 766.1 -/+ 104.6
# Scaling factor: 1.97E+01 -/+ 6.10E+01
# Fit local minima: True
# f_scale: 0.1
Wavelength (nm),Radiance (W/cm^2/ster/nm)
422.2609856062921,-5.944801120200629e-10
422.2873856062921,-2.904711733429107e-09
422.3137756062921,-1.8445789903331634e-09
422.34017560629206,1.7621431007038325e-09
422.3665756062921,6.021363702826534e-09
422.39297560629205,9.324970786783508e-09
422.4193956062921,1.06698279039137e-08
422.44579560629205,9.11222311322369e-09
422.4721956062921,5.52191232871771e-09
422.4986256062921,-7.789242164040885e-12
422.5250256062921,-3.820595602960402e-09
422.5514456062921,-6.399958034978136e-09
422.5778756062921,-8.276254650079044e-09
422.6042756062921,-6.790535592932491e-09
422.63070560629205,5.119959823084709e-10
422.65713560629206,6.194442224273645e-09
422.6835556062921,4.80236024998313e-09
422.7099856062921,7.854034523201179e-10
422.7364156062921,3.759225984642868e-10
422.7628456062921,4.569045570513174e-09
422.7892756062921,2.1771309979045946e-09
422.81570560629206,-7.124701174265147e-10
422.8421256062921,-2.601231294369009e-09
422.8685556062921,2.138401671923407e-09
422.8950156062921,5.58310660695971e-09
422.9214456062921,3.153124603442029e-09
422.9478756062921,-4.84798295429454e-09
422.9743356062921,-1.0083630827046554e-08
423.00079560629206,-7.945881560798998e-09
423.0272156062921,-7.198169751094451e-09
423.0536756062921,-1.2337466019166681e-08
423.2123956062921,-8.467786685185356e-09
423.2388556062921,8.604656254830148e-10
423.26531560629206,3.241969128021603e-09
423.2917756062921,-4.286410581957297e-09
423.3182356062921,-1.1210097483781407e-08
423.371185606292,-1.1550659679948392e-08
423.3976456062921,-6.157974389337441e-09
423.4241256062921,-2.87373247327087e-09
423.45058560629207,-8.374256060588753e-09
423.635955606292,-1.110452180921524e-08
423.7419356062921,-7.792747798364364e-09
423.76842560629206,-4.362612663984988e-09
423.7949156062921,-1.1092309820640006e-08
425.06878560629207,-4.859166296256466e-09
426.26662560629205,-6.793958248879574e-09
426.29327560629207,-4.877230845757042e-09
426.9069156062921,-1.1198895695096844e-08
426.933595606292,-1.2252206744484155e-08
427.7889056062921,-1.1727803282772714e-08
427.8156756062921,-7.0484760892399064e-09
427.8424356062921,-1.1101027283637339e-08
427.89596560629207,-1.2095754108551036e-08
428.4315756062921,-9.187130349390455e-09
428.45837560629207,-7.669143674747094e-09
428.48516560629207,-1.0061544857005658e-08
428.51198560629206,-8.636492653506808e-09
428.5387856062921,-1.1497577832194003e-08
428.8605656062921,-1.202307876251185e-08
428.88738560629207,-1.4709280373982012e-09
428.9142156062921,2.1779694960385306e-09
428.9410356062921,-9.240425934108401e-10
428.9678956062921,-1.0973622198371907e-08
429.1289056062921,-1.2131896346733669e-08
429.1557556062921,-8.932658444887798e-09
429.1826156062921,-4.579285487708999e-09
429.20943560629206,5.902338749223499e-10
429.23629560629206,2.206258934104665e-09
429.2631456062921,1.5758436963738025e-09
429.2900056062921,-5.479137918868021e-09
429.4780256062921,-6.811369611953446e-09
429.5048756062921,2.9458094096118974e-09
429.5317656062921,-7.107442918143709e-10
429.6661356062921,-1.0380589257802645e-08
429.6929856062921,-5.725655842680009e-10
429.7198756062921,1.2719983738155311e-08
429.74676560629206,1.5035907354244217e-08
429.77364560629206,1.578148206778585e-08
429.800535606292,1.5310873335081975e-08
429.8274156062921,2.683056657872073e-08
429.8543056062921,2.9710690260356326e-08
429.88119560629207,2.3062400122590265e-08
429.90810560629205,6.512705681059331e-09
429.9349956062921,-9.00627492443412e-09
430.1502056062921,2.1500308675053393e-09
430.17712560629207,9.868590971228935e-09
430.20403560629205,8.032836799151916e-09
430.23095560629207,5.981768248181248e-11
430.2578756062921,-7.686756704710767e-09
430.2847856062921,-5.923749558115235e-09
430.3117056062921,4.282977202238321e-09
430.3386156062921,1.2907730665668078e-08
430.3655356062921,1.5326326857201775e-08
430.39245560629206,1.1203456236267397e-08
430.4193956062921,5.103809345186531e-09
430.4463156062921,-4.0804973310801895e-09
430.47323560629206,-1.0126802136899187e-08
430.5001756062921,-7.559749497963361e-09
430.5270956062921,-1.0127384752194468e-09
430.5540456062921,3.096340687211416e-09
430.5809956062921,1.0498496653431572e-09
430.6079056062921,-1.3418345863875636e-09
430.6348556062921,3.5633752936839804e-09
430.6618056062921,2.1894015398343894e-08
430.68874560629206,3.43601918770342e-08
430.71569560629206,2.725959178275839e-08
430.74264560629206,5.003153125437554e-09
430.7695856062921,-1.2413258040603323e-08
430.8234856062921,-1.0355228025228042e-08
430.8504256062921,-6.213549852332599e-09
430.8774056062921,-6.1167360144274995e-09
430.9043556062921,-3.349698765364518e-09
430.9313056062921,1.3742450753934057e-08
430.9582756062921,3.209824162926353e-08
430.9852256062921,3.801208887447363e-08
431.01220560629207,2.7131633661748057e-08
431.0391856062921,1.5883145382723348e-08
431.0661256062921,1.563333657953579e-08
431.09310560629206,2.1921473341073397e-08
431.1200856062921,2.477463901228462e-08
431.1470656062921,1.578606598868777e-08
431.1740356062921,6.310135255720382e-09
431.2009856062921,5.933142573603769e-10
431.22796560629206,-2.933821109497929e-09
431.2549756062921,-3.210331194647862e-09
431.2819456062921,4.4193327210949344e-09
431.30892560629206,1.1992333280661481e-08
431.335905606292,9.8811754079332e-09
431.3628856062921,2.4864210707053003e-09
431.38988560629207,-2.9846380811778273e-09
431.4168656062921,-2.525641957904862e-09
431.44387560629207,-1.6873952853071038e-09
431.4708556062921,-4.211460006762565e-09
431.49786560629207,-5.81808075454409e-09
431.52486560629205,1.0137702124666046e-09
431.5518456062921,1.138547554473417e-08
431.57885560629205,1.6324600563426657e-08
431.60586560629207,1.2081659820582696e-08
431.6328756062921,8.699895716996853e-09
431.6598756062921,9.299715998108715e-09
431.6868856062921,6.391264228783142e-09
431.71389560629206,6.298674434233803e-09
431.7409056062921,9.354320730634257e-09
431.7679156062921,4.269500033679459e-09
431.7949156062921,-4.707721293353094e-09
431.8219256062921,-7.439175812215253e-09
431.8489656062921,-5.740770172927384e-09
431.87597560629206,-3.6516045491970155e-09
431.90301560629206,-2.9840071922694134e-09
431.9300156062921,-5.428468737847226e-09
431.957055606292,-6.271400489939096e-09
431.98406560629206,-5.045402763593257e-09
432.01110560629206,-2.3424604906084924e-09
432.03814560629206,-7.183433040719337e-09
