# Results from black body fit 
# =========================== 
# Temperature [K]: 541.0 -/+ 293.4
# Scaling factor: 8.19E+03 -/+ 1.39E+05
# Fit local minima: True
# f_scale: 0.1
# lm_window_size: 150
Wavelength (nm),Radiance (W/cm^2/ster/nm)
601.6928249118448,4.11758068693532e-09
601.7303049118449,3.82213913511444e-09
601.7678349118448,3.738736721032437e-09
601.8053749118449,3.819366637755713e-09
601.8428449118448,4.2233235881924175e-09
601.8803849118449,5.578118699971425e-09
601.9179249118448,8.812832677762706e-09
601.9554549118449,1.228479030022541e-08
601.9929349118448,1.2729445886723825e-08
602.0304749118449,1.0287723462246326e-08
602.0680049118448,7.942899148235679e-09
602.1055449118448,6.864269787316402e-09
602.1430849118449,7.207819666369872e-09
602.1806149118448,7.05260218728475e-09
602.2181549118449,6.124053060972119e-09
602.2556949118448,5.268528180898991e-09
602.2932249118448,4.98392587829531e-09
602.3307649118449,5.642450294011132e-09
602.3683649118449,7.517377336063352e-09
602.4058949118448,1.2155856605015395e-08
602.4434349118449,1.9054879691163415e-08
602.4809749118448,2.2102895263948247e-08
602.5185649118448,1.855355702003821e-08
602.5561049118448,1.246945457955051e-08
602.5936449118449,9.200809155615648e-09
602.6312449118449,9.250845383609714e-09
602.6687749118448,1.0642717760059166e-08
602.7063749118448,1.406561456447383e-08
602.7439149118449,1.8397501446831396e-08
602.7815049118449,1.9648188960269472e-08
602.8191049118449,1.609609953855606e-08
602.8566449118448,1.0726446086475719e-08
602.8942449118448,6.8791552591485206e-09
602.9318349118448,5.161453766571151e-09
602.9693749118449,5.619106073018247e-09
603.0069749118448,6.6949209886580925e-09
603.0445749118448,6.620162472909872e-09
603.0821649118449,5.844634284507082e-09
603.1197649118449,5.452155495527847e-09
603.1573649118449,4.971294457280504e-09
603.1949649118449,4.869678882063504e-09
603.2325549118449,5.416835376164849e-09
603.2701549118449,6.39278223596595e-09
603.3077549118449,7.72126211043232e-09
603.3453549118449,9.4849565211884e-09
603.3829449118448,1.0662236884273554e-08
603.4205449118448,1.251326144173033e-08
